time,temperature_2m_mean (Â°C),temperature_2m_max (Â°C),temperature_2m_min (Â°C),precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
1/01/2022,24.2,27.7,22.1,8.8,8.8,30749.66,42147.79,16.2,2.88
2/01/2022,24.1,27.5,22.7,10.2,10.2,23970.31,42153.58,14.3,2.45
3/01/2022,23.9,27.6,21.7,17.8,17.8,22517.95,42159.86,14.8,2.55
4/01/2022,24.2,27.7,22.4,7.9,7.9,26296.07,42166.72,16.6,2.57
5/01/2022,23.9,27.2,22.2,10.9,10.9,22326.09,42174.16,13.7,2.28
6/01/2022,25,28.5,22.2,2.9,2.9,38021.83,42182.18,21.4,3.48
7/01/2022,25.3,28.9,22.8,2.5,2.5,39029.27,42190.75,13.2,3.57
8/01/2022,24.6,28.1,22.4,3.4,3.4,38901.18,42199.84,16.6,3.12
9/01/2022,24.5,28.2,22.5,5.4,5.4,19594.17,42209.46,15.3,2.35
10/01/2022,23.8,26.3,22.3,15,15,12215.44,42219.57,12.9,1.99
11/01/2022,24.8,28.2,22.5,4,4,36594.66,42230.16,15.1,2.98
12/01/2022,25.4,29.3,22.8,2.3,2.3,38937.7,42241.21,13.2,3.58
13/01/2022,25.5,30.1,22.1,2.8,2.8,38824.34,42252.71,10.8,3.64
14/01/2022,25.5,29.7,22,2.6,2.6,38913.46,42264.63,10,3.61
15/01/2022,25.7,29.6,22.1,0.9,0.9,38895.01,42276.96,13.5,4.11
16/01/2022,25.4,28.8,23.3,5.5,5.5,33676.11,42289.69,15.1,3.01
17/01/2022,25.6,29,23.2,3.5,3.5,38930.65,42302.79,16.8,4.16
18/01/2022,25,28.4,22.7,1.1,1.1,38853.46,42316.25,15.3,3.72
19/01/2022,25.1,28.9,22.7,0.8,0.8,38842.78,42330.04,17.1,4.22
20/01/2022,24.3,29.4,19.8,0,0,38965.03,42344.16,16.1,4.41
21/01/2022,23.4,29.9,19.1,0,0,39260.54,42358.59,14.5,4.85
22/01/2022,23.7,30.5,18.2,0,0,39178.97,42373.3,11.2,4.92
23/01/2022,23.6,30.3,18.9,0,0,39174.72,42388.3,11.6,4.75
24/01/2022,24.1,30.1,19,0,0,39171.29,42403.73,10.8,4.88
25/01/2022,24.3,29.4,19.8,0,0,38924.28,42419.63,10.5,4.39
26/01/2022,24.2,29,19.8,0,0,39249.19,42435.98,11.3,4.38
27/01/2022,24.2,28.9,20,0,0,38660.64,42452.76,14.3,4.1
28/01/2022,24.7,28.4,21.2,1.9,1.9,37262.36,42469.93,15.7,3.77
29/01/2022,25.8,29.1,22.7,1.5,1.5,39165.16,42487.49,12,3.8
30/01/2022,25.6,29.5,22.6,1.7,1.7,38992.86,42505.39,13,3.92
