time,temperature_2m_mean (Â°C),temperature_2m_max (Â°C),temperature_2m_min (Â°C),precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
1/01/2022,24.2,28.7,21.6,8.7,8.7,24309.56,41929.89,20.3,2.7
2/01/2022,24,26.8,22.7,3.3,3.3,17754.42,41936.56,18.4,1.91
3/01/2022,24.1,27.1,22.5,8.2,8.2,34647.2,41943.81,20.4,2.57
4/01/2022,24.7,28.3,22.1,0,0,36340.08,41951.73,20.1,3.4
5/01/2022,24.5,27.8,21.9,1.7,1.7,35204.93,41960.32,16.9,2.78
6/01/2022,25.6,29.8,22.5,0.3,0.3,36000,41969.57,20.2,3.86
7/01/2022,25.3,29,22.8,1.6,1.6,37810.73,41979.45,16.3,3.6
8/01/2022,25.1,28.6,22.3,1,1,37036.08,41989.95,17.9,3.72
9/01/2022,25.5,29.9,22.4,1.3,1.3,38578.65,42001.04,15.8,4.29
10/01/2022,23.8,24.9,22.9,3.1,3.1,0,42012.7,11.8,1
11/01/2022,24.8,29.6,22.7,4.5,4.5,36450.32,42024.92,15.8,3.24
12/01/2022,25.3,30.3,21.8,0.8,0.8,38528.09,42037.67,14.1,3.82
13/01/2022,26,30.6,22.4,0.2,0.2,38647.16,42050.93,10.9,4.2
14/01/2022,26.3,30.9,22.7,0,0,38630.82,42064.69,10.4,4.2
15/01/2022,26,30.5,22.7,0.8,0.8,38693.62,42078.91,12.1,4.22
16/01/2022,26,30.5,23.1,0.2,0.2,38600.02,42093.59,18.3,4.3
17/01/2022,25.9,29.9,22.7,0,0,38585.7,42108.7,16.7,4.43
18/01/2022,25.1,28.8,22.2,0.6,0.6,38655.38,42124.21,19.1,4.06
19/01/2022,25,29.9,21.4,0,0,38728.77,42140.12,15.5,4.53
20/01/2022,24.3,29.7,20.2,0,0,38977.66,42156.41,11.2,4.84
21/01/2022,24,30.4,19,0,0,39060.71,42173.04,9.2,4.66
22/01/2022,24.2,31.3,18.9,0,0,39146.99,42190,9,4.77
23/01/2022,24.9,31.1,19.9,0,0,38698.65,42207.29,11.4,4.57
24/01/2022,25.6,31.8,20.6,0.1,0.1,38784.3,42225.08,8.1,4.66
25/01/2022,25.4,30.8,20.7,0,0,38413.87,42243.41,10.1,4.76
26/01/2022,25,29.6,21.1,0,0,38964.56,42262.26,11.5,4.11
27/01/2022,24.6,30.4,20.5,0,0,38404.42,42281.6,15.8,4.59
28/01/2022,24.4,28.7,19.8,1,1,38377.18,42301.39,18.5,3.64
29/01/2022,25.4,29.1,23.2,2.5,2.5,38754.32,42321.62,15.8,3.18
30/01/2022,25.5,29.4,22.7,1.2,1.2,38584.35,42342.25,14.5,3.81
31/01/2022,26,30.3,22.9,0.6,0.6,39266.67,42363.26,15.1,4.44
1/02/2022,25.5,31.5,21.3,0,0,39568.06,42384.62,15.6,5.09
2/02/2022,24.4,30.4,19.8,0,0,39478.45,42406.31,13.8,5.06
3/02/2022,24.7,31,19.2,0,0,39787.08,42428.3,10.5,4.99
4/02/2022,25.7,32.4,20.6,0,0,39698.48,42450.56,10.2,5.13
5/02/2022,26,32,21.5,0,0,39507.79,42473.07,15.4,5.18
6/02/2022,25.4,31.1,21.9,0,0,39925.86,42495.8,14.9,5.23
7/02/2022,25.1,30.7,21.1,0,0,32150.69,42518.73,17.6,4.72
8/02/2022,25.2,31.3,20.6,0,0,38468.5,42541.84,17.6,5.21
9/02/2022,25.1,30.5,21.5,0,0,31761.96,42565.1,17.7,4.31
