time,temperature_2m_mean (Â°C),temperature_2m_max (Â°C),temperature_2m_min (Â°C),precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
1/01/2022,21.5,24,20.6,8.6,8.6,32400,42205.74,8.8,2.56
2/01/2022,21.4,24.7,20.3,6.9,6.9,23567.48,42211.28,9.8,2.39
3/01/2022,21.2,23.7,20,19.9,19.9,22537.69,42217.31,9.5,2.12
4/01/2022,20.8,22.1,20.1,23.6,23.6,16032.03,42223.89,12.7,1.62
5/01/2022,20.8,22.3,19.9,12.5,12.5,12829.85,42231.03,11.8,1.73
6/01/2022,21.5,23.9,20.1,7.1,7.1,28933.61,42238.72,14.5,2.46
7/01/2022,21.6,24.9,18,3.5,3.5,38912.74,42246.93,10.2,3.57
8/01/2022,20.7,23.3,18.3,5.4,5.4,34753.6,42255.66,12.1,2.55
9/01/2022,21.1,23.7,19.3,6.1,6.1,25577.83,42264.88,13,2.66
10/01/2022,20.8,22.8,18.6,16.7,16.7,11216.94,42274.58,9.8,1.67
11/01/2022,21.4,24.7,18,6.1,6.1,36850.83,42284.73,8.7,3
12/01/2022,21.7,24.9,19,1.3,1.3,38808.49,42295.34,10.7,3.26
13/01/2022,21.9,26.4,17.8,1.2,1.2,38851.96,42306.36,10.9,3.58
14/01/2022,21.8,26.3,17.5,2.1,2.1,37127.53,42317.8,9.5,3.69
15/01/2022,21.7,26,17.2,1.6,1.6,38892.09,42329.63,10.8,4.07
16/01/2022,21,24.7,17.6,4.3,4.3,38747.68,42341.84,9.6,3.17
17/01/2022,21.6,24.6,19.7,6.2,6.2,33520.13,42354.4,11.7,3.1
18/01/2022,20.8,24,18.4,4.2,4.2,34534.18,42367.31,11.9,3.1
19/01/2022,21,23.8,19,3.4,3.4,36000,42380.55,14.6,3.05
20/01/2022,20.1,23.8,15.8,0.1,0.1,39073.52,42394.09,13.8,3.81
21/01/2022,19.8,25.3,13.7,0,0,39666.87,42407.93,14.1,4.79
22/01/2022,21.7,26,15.3,0,0,39580.83,42422.05,13.6,5.72
23/01/2022,22,26.8,16.2,0,0,39493.06,42436.43,9,5.42
24/01/2022,20.3,26.5,14.2,0,0,39760.86,42451.24,8.4,4.83
25/01/2022,20.4,25.3,14.4,0,0,38669.64,42466.5,9,4.47
26/01/2022,20.4,25,15.5,0,0,38666.37,42482.18,12.1,4.2
27/01/2022,20.3,24.2,15.8,0,0,38664.07,42498.28,14,3.99
28/01/2022,20.2,24.6,14.4,2.3,2.3,39126.52,42514.76,11.5,3.52
29/01/2022,22.5,26.2,20.4,4.3,4.3,33143.52,42531.6,7.4,3.46
30/01/2022,22.6,26.5,18.9,1.4,1.4,39410.68,42548.79,11.4,4.06
31/01/2022,21.6,23.4,20.1,8.7,8.7,21481.31,42566.28,9.7,2.15
1/02/2022,20.8,25.1,17.1,0,0,39899.74,42584.07,12.3,4.48
2/02/2022,20.1,25.6,14.4,0,0,40005.02,42602.14,10.4,4.66
3/02/2022,21.4,27.5,14.6,0.2,0.2,39721.11,42620.45,5.2,4.72
4/02/2022,22.5,27.4,16.1,0,0,40024.11,42639,7.4,4.87
5/02/2022,21.9,26.2,17.6,0,0,40142.44,42657.76,12.3,4.87
6/02/2022,20.4,24.9,15.6,0,0,38750.31,42676.7,9.9,4.74
7/02/2022,20.4,23.2,18,5,5,18673.12,42695.81,13.1,2.4
8/02/2022,20.4,24.4,17.4,0,0,31794.86,42715.07,11,4.06
9/02/2022,20.8,25.2,17.8,0,0,32955.41,42734.46,11.4,4.05
10/02/2022,21.3,26.2,17.3,10,10,35048.89,42753.95,6.5,3.68
11/02/2022,21.5,25.9,19.3,22.9,22.9,28391.92,42773.54,8.6,2.64
12/02/2022,21.7,24.5,20.4,14.5,14.5,19808.81,42793.2,8.8,2.44
13/02/2022,20.5,21.6,19.8,20.8,20.8,0,42813.11,10,1.03
14/02/2022,20.8,23.5,18.3,5.6,5.6,24999.32,42833.31,13.9,2.65
