time,temperature_2m_mean (Â°C),temperature_2m_max (Â°C),temperature_2m_min (Â°C),precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
1/01/2022,24.6,26.9,22.9,17.3,17.3,32332.6,42060.75,20.4,2.69
2/01/2022,24.5,26.5,23.2,20.6,20.6,17776.02,42066.89,19.8,2.14
3/01/2022,24.7,27.1,23.5,24.9,24.9,24832.57,42073.57,19.9,2.56
4/01/2022,25,27.3,23.8,11.2,11.2,33026.28,42080.84,23.6,2.67
5/01/2022,24.6,26.4,23.3,14.4,14.4,33827.2,42088.75,17.3,2.69
6/01/2022,25.9,28.1,23.6,2.1,2.1,38995.04,42097.25,23.5,3.55
7/01/2022,26,28.1,23.8,2.4,2.4,38975.21,42106.34,16.2,3.69
8/01/2022,25.2,27.2,23.1,5.9,5.9,38019.96,42116,18.8,3.36
9/01/2022,25.8,28.2,23.8,6.2,6.2,29425.61,42126.2,17.5,3.1
10/01/2022,24.5,25.6,23.2,12.9,12.9,3600,42136.93,16.6,1.64
11/01/2022,25.5,27.1,24.2,5.6,5.6,38901.83,42148.18,15.8,2.85
12/01/2022,25.8,28.2,23.5,2.1,2.1,38885.2,42159.91,15.6,3.75
13/01/2022,25.8,28.2,23.2,0,0,38869.35,42172.11,11.9,3.85
14/01/2022,26.1,28.5,23.8,0.7,0.7,38865.53,42184.77,12.1,3.77
15/01/2022,26.3,28.6,23.7,0.4,0.4,38912.61,42197.85,15,4.09
16/01/2022,26.3,28.4,24.2,3.2,3.2,38826.89,42211.36,22.1,3.67
17/01/2022,26.8,28.8,25.3,1.2,1.2,38951.23,42225.26,19.7,4.53
18/01/2022,25.6,27.9,23.6,6.7,6.7,37424.89,42239.54,18.9,3.67
19/01/2022,26.1,28.2,24.3,1.5,1.5,38855.93,42254.18,20.1,4.58
20/01/2022,24.7,27.9,21.8,0.2,0.2,38990.75,42269.16,17.6,4.3
21/01/2022,23.7,27.9,20.1,0,0,39132.47,42284.47,12.7,4.6
22/01/2022,23.5,28.1,19.4,0,0,39113.13,42300.08,12.5,4.46
23/01/2022,24.3,28.7,19.7,0,0,39202.25,42315.99,13.7,4.59
24/01/2022,25,29.2,21.2,0,0,39043.13,42332.36,14.4,4.86
25/01/2022,24.9,28.3,21.4,0.1,0.1,38879.79,42349.23,12.2,4.3
26/01/2022,25.2,28.4,21.4,0.1,0.1,39037.63,42366.59,12.8,4.38
27/01/2022,25.3,28.5,21.3,0.1,0.1,38517.93,42384.39,15.6,4.37
28/01/2022,25,27.6,22.1,6.9,6.9,39035.24,42402.61,18.1,3.68
29/01/2022,26.3,28.5,24.4,2.5,2.5,35350.18,42421.23,14.7,3.73
30/01/2022,25.9,28.3,23.8,8,8,38864.89,42440.22,14.6,4.01
31/01/2022,26.2,28.7,23.7,6.8,6.8,36039.28,42459.56,16.8,4.18
1/02/2022,25.9,28.4,23.8,0.4,0.4,39389.33,42479.23,12.2,4.66
2/02/2022,25,28.1,21.2,0,0,39395.88,42499.2,11.2,4.56
3/02/2022,25.5,29.4,20.9,0,0,39492.1,42519.45,16.3,4.82
4/02/2022,25.7,29.1,22,0,0,39500.63,42539.95,16.5,4.96
5/02/2022,25.6,29,22.1,0,0,39690.99,42560.67,13.8,4.79
6/02/2022,26.4,28.9,23.1,0.5,0.5,38787.87,42581.61,14.5,5.09
7/02/2022,25.8,28.3,23.4,5,5,31311.31,42602.73,22.9,3.21
8/02/2022,25.8,29.1,22.6,1.2,1.2,38805.31,42624.01,18,4.76
9/02/2022,26.4,29,23.7,0,0,35813.44,42645.43,19.5,4.3
10/02/2022,25.6,28.2,23.3,7.3,7.3,32364.2,42666.96,13.2,3.73
11/02/2022,25.5,28,23.7,4.3,4.3,37499.71,42688.6,14.4,3.85
12/02/2022,25.1,27.1,23,17.8,17.8,26494.33,42710.32,14.3,2.81
13/02/2022,23.8,25.3,22.6,53,53,0,42732.32,13.8,0.94
14/02/2022,26.1,28.4,23.9,1.2,1.2,38876.92,42754.63,21.7,4.76
15/02/2022,25.7,28.7,22.4,0,0,39825.73,42777.25,19.5,4.73
16/02/2022,25.3,28.9,21.6,0,0,38908.62,42800.16,19.3,4.79
17/02/2022,25.1,28.2,21.4,0,0,39667.73,42823.32,15.2,4.75
18/02/2022,25.7,28.1,22.3,3.9,3.9,38176.5,42846.71,16.2,4.22
19/02/2022,25.2,26.8,23.8,6.5,6.5,23396.75,42870.33,14.3,2.81
20/02/2022,25.9,28.3,23.7,1.4,1.4,39627.28,42894.13,17.3,4.04
21/02/2022,26.1,28.8,23.3,0.1,0.1,40135.64,42918.11,11.6,4.48
22/02/2022,26.2,28.9,23.5,0.5,0.5,40244.95,42942.23,12.1,4.79
23/02/2022,25.6,27.9,23.8,6.2,6.2,38316.28,42966.49,18.8,3.66
24/02/2022,26.3,29.3,23.1,3.3,3.3,40005.88,42990.86,19.9,4.8
25/02/2022,27,29.7,25.2,0.7,0.7,39091.85,43015.31,16.8,4.88
26/02/2022,25.5,27.5,23.3,5.1,5.1,36816.82,43039.83,15.4,3.61
27/02/2022,25.9,28.9,22.5,1.4,1.4,40272,43064.4,21.5,4.66
28/02/2022,26.3,29,23.1,1.5,1.5,39162.93,43088.99,19.9,4.9
1/03/2022,26.9,29.5,24.7,1,1,38384.2,43113.6,19.4,4.56
2/03/2022,25.6,26.2,24.7,9,9,4095.21,43138.19,19.8,2.19
3/03/2022,26.2,28.7,23.9,7.3,7.3,34083.25,43162.76,24.4,4.26
4/03/2022,25.1,28,23.4,6.4,6.4,1728.94,43187.27,19.3,1.98
5/03/2022,25.9,30,22.9,0.4,0.4,39286.81,43211.93,22.7,4.45
6/03/2022,26,29.3,23.1,0.3,0.3,39753.88,43236.78,13.6,4.37
7/03/2022,26.5,29.5,23.7,0.3,0.3,40076.01,43261.8,15.9,4.58
8/03/2022,26.7,29.3,24.3,0.5,0.5,40300.02,43286.98,16.3,4.7
9/03/2022,26.6,29.3,24.3,0,0,40622.55,43312.29,14.4,5.05
10/03/2022,26.4,29.4,23.5,0,0,40552.03,43337.73,13.2,5.02
11/03/2022,26.6,29.8,23.3,1.4,1.4,39893.64,43363.27,18.9,4.85
12/03/2022,26,28.8,23.8,12.2,12.2,39483.87,43388.88,16.7,4.06
13/03/2022,26.7,29.2,23.9,0.8,0.8,39513.93,43414.57,17.6,4.61
14/03/2022,27.1,29.7,24.4,0.1,0.1,39544.28,43440.3,18.1,4.94
15/03/2022,26.6,29.8,23.8,0.1,0.1,39574.82,43466.07,13.2,4.52
16/03/2022,26.4,29,23.8,0,0,17302.3,43491.84,7.9,2.73
17/03/2022,26.7,28.9,24.4,1.2,1.2,15141.4,43517.61,15.9,2.66
18/03/2022,26.9,30.8,24.8,2.6,2.6,19672.7,43543.36,9,3.3
19/03/2022,26.9,30.1,24.1,2.4,2.4,39749.1,43569.08,11.5,4.38
20/03/2022,27.7,32.4,23.2,0.1,0.1,40521.77,43594.73,14.8,5.13
21/03/2022,28.3,31.9,24.8,0,0,40424.59,43620.3,14,5.25
22/03/2022,28.3,32.4,24.6,0,0,40423.97,43645.79,14.3,5.21
23/03/2022,28.3,32.1,25.7,0.1,0.1,40231.46,43671.16,14.3,4.81
24/03/2022,27.2,30.8,24.5,1.8,1.8,39600,43696.41,10.2,4.68
25/03/2022,27.4,32,24.7,3,3,39944.21,43721.71,14.2,4.85
26/03/2022,27.6,31.4,23.7,0.3,0.3,40517.08,43747.1,19.1,5.26
27/03/2022,28.1,31.2,25,0.4,0.4,40421.05,43772.57,16.4,5.32
28/03/2022,28.2,31.2,25.6,0.1,0.1,40515.4,43798.11,18.1,5.24
29/03/2022,28.2,31.9,25,0.6,0.6,40135.42,43823.7,17.7,5.45
30/03/2022,28,31.9,25.3,3.5,3.5,40135.43,43849.31,16,4.82
31/03/2022,28.1,32.8,24.2,0.1,0.1,40135.46,43874.95,18.7,5.37
1/04/2022,28.3,32.3,25.3,1.1,1.1,39947.31,43900.58,16.6,5.26
2/04/2022,27.4,31.5,24.8,8.2,8.2,39947.8,43926.18,13.7,4.93
3/04/2022,27.4,31.6,24.3,3.7,3.7,40041.95,43951.76,16.3,4.93
4/04/2022,27.1,30.4,24.3,0.5,0.5,39762.02,43977.28,15.3,4.88
5/04/2022,27.2,30.3,24.6,3.9,3.9,39762.97,44002.72,13.6,4.56
6/04/2022,26.4,29.9,24.1,10.4,10.4,39600,44028.09,12.1,4.25
7/04/2022,26.8,30.2,24,1.8,1.8,39672.06,44053.34,15.7,4.99
8/04/2022,25.8,28.8,24,18.9,18.9,34859.98,44078.46,13.1,3.43
9/04/2022,25.9,30.9,23.3,25.2,25.2,36000,44103.44,9.3,4.32
10/04/2022,25.8,30,23.2,9,9,33056.14,44128.25,12,4.11
11/04/2022,26.2,30.2,23.7,12.7,12.7,32400,44152.89,8.4,4
12/04/2022,26.2,29.7,24.1,6,6,26828.51,44177.33,12.3,3.59
13/04/2022,26.3,31.4,23.9,5.3,5.3,33407.67,44201.55,17.5,4.48
14/04/2022,26.7,30.2,23.7,1.9,1.9,38526.62,44225.72,11.2,4.51
15/04/2022,27.7,31.1,24.7,0,0,39679.33,44249.88,14.3,4.96
16/04/2022,27.9,32.5,25.3,1.8,1.8,39987.09,44274.03,15.3,4.84
17/04/2022,27.4,31.4,25.2,1.6,1.6,39722.62,44298.14,14.1,4.66
18/04/2022,27.5,30.4,24.3,2.9,2.9,39802.8,44322.19,11.9,4.88
19/04/2022,27.6,30.4,25.3,6.1,6.1,39682.31,44346.17,9.4,4.4
20/04/2022,27.6,30.3,24.7,1.5,1.5,40139.18,44370.06,13.2,4.81
21/04/2022,27.5,30.3,24.9,3.1,3.1,39891.11,44393.84,15.5,4.51
