time,temperature_2m_mean (Â°C),temperature_2m_max (Â°C),temperature_2m_min (Â°C),precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
1/01/2022 0:00,25.7,30.3,22.6,3.5,3.5,37617.29,42220.21,11.6,3.85
2/01/2022 0:00,26.2,30.8,23.2,8,8,38743.27,42225.7,14.6,4.11
3/01/2022 0:00,25.7,31.6,23.4,14.2,14.2,31520.95,42231.66,15.9,3.8
4/01/2022 0:00,26.3,30.8,23.3,4,4,36323.74,42238.17,22.6,4.45
5/01/2022 0:00,25.8,29.8,23.5,3,3,30000.44,42245.24,19.8,3.91
6/01/2022 0:00,26.6,31.3,23.2,0.8,0.8,38657.33,42252.84,20.8,4.42
7/01/2022 0:00,26.2,30.7,23.3,3.7,3.7,38637.02,42260.97,11.6,4.18
8/01/2022 0:00,26.5,31.5,22.8,0.8,0.8,38617.22,42269.6,12.5,4.55
9/01/2022 0:00,26.4,32,23.4,1.4,1.4,31397.99,42278.72,15.2,4.15
10/01/2022 0:00,25.9,29.6,23.4,0.9,0.9,35313.47,42288.32,13.8,3.25
11/01/2022 0:00,26.3,31.2,22.8,2.1,2.1,38158.65,42298.37,19.2,4.35
12/01/2022 0:00,25.7,29.8,22.9,3.8,3.8,38544.14,42308.86,12.5,4.07
13/01/2022 0:00,26,30.2,22.2,2.2,2.2,38905.48,42319.77,13.5,3.95
14/01/2022 0:00,26.3,29.4,22.6,0.1,0.1,38710.73,42331.09,12.6,4.16
15/01/2022 0:00,26.3,29.7,23.3,2.5,2.5,38966.64,42342.79,11.3,4.18
16/01/2022 0:00,26.5,31.7,23,1.2,1.2,38860.75,42354.87,13.6,4.26
17/01/2022 0:00,26.3,31.6,22.7,4.1,4.1,38752.98,42367.3,15.1,4.13
18/01/2022 0:00,26.9,33.1,22.1,1.6,1.6,38643.56,42380.07,16.8,4.88
19/01/2022 0:00,27.5,33.1,24,0,0,38446.94,42393.16,22.3,5.94
20/01/2022 0:00,26.4,32.9,21.6,0,0,39590.59,42406.56,19.2,5.84
21/01/2022 0:00,25.1,30.6,18.7,0,0,39588.47,42420.26,18.7,5.38
22/01/2022 0:00,24.8,29.6,18.2,0,0,39288.43,42434.23,17.2,4.73
23/01/2022 0:00,25.4,29.4,20.9,0.1,0.1,38983.5,42448.46,13,4.62
24/01/2022 0:00,25.9,30,21.8,0.3,0.3,39180.55,42463.11,15.3,4.66
25/01/2022 0:00,25.5,29.4,21.7,1.7,1.7,39177.5,42478.21,13.7,4.38
26/01/2022 0:00,25.2,29.5,21.7,2.8,2.8,38660.3,42493.73,14.8,4.18
27/01/2022 0:00,26.3,32.3,21.5,1.1,1.1,38398.63,42509.65,18.5,5.25
28/01/2022 0:00,25.7,31.2,21.2,0.6,0.6,39590.67,42525.96,18.2,4.69
29/01/2022 0:00,26.8,31.3,22.9,0.4,0.4,39593.36,42542.62,14,4.56
30/01/2022 0:00,26.9,30.9,23.7,0.3,0.3,39808.44,42559.62,15.9,4.46
31/01/2022 0:00,25.1,29.1,22.9,9.5,9.5,34828.3,42576.94,10.4,3.02
1/02/2022 0:00,25.6,30.5,22,0,0,40033.64,42594.54,17.5,4.58
2/02/2022 0:00,25.8,29.6,22.6,0.5,0.5,40041.04,42612.42,13.3,4.38
3/02/2022 0:00,25.5,29.4,22.2,0,0,39723.91,42630.54,14.2,4.59
4/02/2022 0:00,25.4,29.8,20.9,0,0,40130.36,42648.89,13,4.94
5/02/2022 0:00,26.1,30.3,22,0,0,40152.57,42667.45,16.1,4.62
6/02/2022 0:00,26.2,30.9,21.5,0,0,39636.01,42686.2,18.4,5.55
7/02/2022 0:00,26.9,33.4,22.7,0.2,0.2,36201.42,42705.11,26,5.14
8/02/2022 0:00,26.9,32.8,23.7,0,0,35429.67,42724.16,24.3,5.5
9/02/2022 0:00,27.1,32.7,22.2,0,0,36108.17,42743.35,21.7,5.73
10/02/2022 0:00,26.7,31.7,23.5,0.9,0.9,34761.24,42762.64,20.2,4.62
11/02/2022 0:00,26.3,30.7,23,2.7,2.7,28663.98,42782.02,13.1,4.06
12/02/2022 0:00,25.5,30.2,23.3,24,24,23384.54,42801.48,10.4,3.06
13/02/2022 0:00,25.1,29,23,6.9,6.9,18000,42821.18,17.4,3.19
14/02/2022 0:00,26.7,32.5,23,3.5,3.5,35877.26,42841.17,17.8,4.86
