time,temperature_2m_mean (Â°C),temperature_2m_max (Â°C),temperature_2m_min (Â°C),precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
1/01/2022,24.9,28.6,22.3,9.3,9.3,37334.73,42393.63,10.7,3.51
2/01/2022,25.4,29.6,22.8,2.1,2.1,35382.02,42398.41,17.2,3.48
3/01/2022,25.1,29.2,22.8,6.2,6.2,26513.71,42403.6,8.5,3.25
4/01/2022,24.9,28.3,22.3,10.7,10.7,27787.56,42409.27,10.7,2.84
5/01/2022,24.9,27.6,22.4,18,18,27625.21,42415.43,13.7,3.13
6/01/2022,25.7,28.1,22.6,3.7,3.7,37686.98,42422.05,16.7,3.51
7/01/2022,25.4,28.6,23.2,3.8,3.8,38802.4,42429.13,11.9,3.95
8/01/2022,25.3,28.6,22.6,1.4,1.4,38782.05,42436.65,10.3,3.85
9/01/2022,25.4,28.2,23.1,1.5,1.5,31562.22,42444.6,11.1,3.57
10/01/2022,25.3,28.9,23.1,8.4,8.4,22457.68,42452.96,12.9,3.05
11/01/2022,25.9,28.6,23,1.9,1.9,38841.73,42461.72,12.4,3.73
12/01/2022,25.9,28.7,23.8,1.2,1.2,38820.3,42470.86,10.5,3.93
13/01/2022,26.2,28.5,24.2,1,1,39155.23,42480.36,13.8,3.96
14/01/2022,26.3,29.3,24.3,1.8,1.8,38959.69,42490.23,11.6,3.95
15/01/2022,26,29.1,23.6,2.3,2.3,38657.12,42500.43,8.4,3.97
16/01/2022,25.7,29,23.5,1.7,1.7,38642.36,42510.95,12.2,3.8
17/01/2022,25.3,28.6,22.5,5.8,5.8,38910.48,42521.79,12.2,3.81
18/01/2022,25.4,28.5,22.7,1.5,1.5,39085.92,42532.93,12.6,4.05
19/01/2022,25.7,28.4,22.8,0.2,0.2,38977.7,42544.34,11.5,4.13
20/01/2022,26.1,29.2,22.9,0.4,0.4,39841.65,42556.02,13.4,4.82
21/01/2022,25,28.2,21.6,0,0,39349.78,42567.96,13.3,4.74
22/01/2022,25,28.9,20.7,1,1,39639.03,42580.14,14.6,4.61
23/01/2022,24.9,27.8,21.1,0,0,39135.27,42592.55,10.5,4.44
24/01/2022,25.4,28.4,21.8,0.3,0.3,39633.8,42605.32,14.1,4.37
25/01/2022,25.1,28.4,21.8,0.5,0.5,39530.32,42618.49,14,4.31
26/01/2022,25.1,29.2,21.7,2.8,2.8,39528.46,42632.03,14.1,4.44
27/01/2022,25.7,29.8,22,0,0,37988.23,42645.92,13.7,4.55
28/01/2022,25.4,29.1,22.5,1.5,1.5,39526.69,42660.14,11.7,4.3
29/01/2022,25.8,28.9,22.6,0.5,0.5,39840.98,42674.68,10.6,4.46
30/01/2022,26.7,30.3,24.3,2,2,39632.86,42689.51,14.9,4.42
31/01/2022,25.6,30.2,23.5,7.4,7.4,32432.89,42704.62,10.8,3.53
1/02/2022,25.9,28.9,22.2,0.1,0.1,39957.16,42719.98,11.1,4.65
2/02/2022,25.6,29.7,22.2,0.1,0.1,39123.01,42735.58,13.4,4.58
3/02/2022,25.8,29.6,22.5,0,0,40234.06,42751.4,12.2,4.81
4/02/2022,26,29.7,22.3,0,0,40081.48,42767.42,12.6,4.81
5/02/2022,26.5,30.1,24.1,0.4,0.4,39653.94,42783.62,14.1,4.57
6/02/2022,26.1,30.2,23.1,0.6,0.6,38896.25,42799.98,13.3,4.56
7/02/2022,25.8,29.8,22.8,3.5,3.5,32035.21,42816.5,12,4.05
8/02/2022,25.9,29.3,23,0,0,27793.26,42833.14,10.6,3.67
9/02/2022,26.9,29.1,23.7,0.8,0.8,39557.49,42849.89,14.7,4.37
10/02/2022,26.7,28.7,24.9,1,1,20659.88,42866.74,12,3.16
11/02/2022,26.2,29.6,23.5,11.2,11.2,38553.94,42883.66,9.7,3.7
12/02/2022,25.2,29.7,23.3,28.5,28.5,27363.18,42900.66,12.2,3.09
13/02/2022,25.2,28.1,23.3,9.8,9.8,13487.98,42917.87,10,2.65
14/02/2022,25.9,28.8,23.6,4.3,4.3,36289.53,42935.34,9.6,4.13
15/02/2022,26.4,29.1,23.6,2.9,2.9,39964.06,42953.05,11.1,4.74
16/02/2022,26.7,30.9,23.2,0.1,0.1,39306.25,42970.99,12.7,5.13
17/02/2022,26.9,29.5,24.3,0.4,0.4,38869.17,42989.13,12.6,4.79
18/02/2022,26.5,30.2,23.3,1.8,1.8,39221.95,43007.46,13.1,4.55
19/02/2022,26,29.6,23.3,4.9,4.9,31296.45,43025.96,10.5,3.73
20/02/2022,26.5,29.9,23.1,0.4,0.4,40375.62,43044.62,14.7,4.39
21/02/2022,26.9,29.5,23.9,0.9,0.9,38926.2,43063.41,11.4,4.5
22/02/2022,26.4,28.8,24.2,1.7,1.7,40185.85,43082.32,7.9,4.23
23/02/2022,26.4,30.8,24,8.5,8.5,39417.64,43101.34,10.2,4.81
24/02/2022,26.1,30.6,23.2,5,5,39324.02,43120.45,13.8,4.17
25/02/2022,25.8,30.1,22.8,5,5,40690.33,43139.63,11.2,4.16
26/02/2022,25.6,30.3,23.1,5.5,5.5,40214.44,43158.87,12.7,4.07
27/02/2022,26,29.8,22.5,6.7,6.7,39607.87,43178.15,10.1,4.47
28/02/2022,26.2,29.1,23,2.7,2.7,39852.82,43197.45,10.7,4.53
1/03/2022,26.8,30,23,3,3,37309.71,43216.77,9.7,4.41
2/03/2022,26.7,29.8,24.1,2.9,2.9,20140.91,43236.08,12.4,3.39
3/03/2022,26.9,29.4,24.3,0.3,0.3,28246.46,43255.37,11,3.84
4/03/2022,26.6,30.4,24,3.1,3.1,38969.75,43274.63,20.6,4.61
5/03/2022,27,30.9,23.9,0.1,0.1,40860.96,43294,20.9,4.94
6/03/2022,26.8,29.5,24.7,2.8,2.8,39373.46,43313.54,12.4,4.69
7/03/2022,26.9,30.8,23.4,2.9,2.9,39113.01,43333.2,16.1,4.9
8/03/2022,26.2,31.1,23.7,13.8,13.8,36573.11,43352.99,11.7,4.25
9/03/2022,26.4,29.8,23,4.1,4.1,40944.15,43372.9,10.1,4.4
10/03/2022,26.3,29.2,23.7,4.6,4.6,40523.91,43392.9,12.9,4.35
11/03/2022,25.8,29.2,23.1,5.1,5.1,39440.78,43412.99,12.7,4.15
