time,temperature_2m_mean (Â°C),temperature_2m_max (Â°C),temperature_2m_min (Â°C),precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
1/01/2022 0:00,25.7,31.4,22.5,7.3,7.3,37238.61,42191.26,13.9,3.57
2/01/2022 0:00,26.2,30.6,23.1,4.5,4.5,38742.48,42196.86,15,3.94
3/01/2022 0:00,25.8,31.2,23.4,11.9,11.9,31565.54,42202.95,16.5,3.9
4/01/2022 0:00,26.1,31,23,4.2,4.2,38698.69,42209.6,22.3,4.2
5/01/2022 0:00,25.8,30.4,22.8,3.5,3.5,33667.27,42216.82,18,3.93
6/01/2022 0:00,27,32.5,23.2,1,1,38209.74,42224.59,20.9,4.3
7/01/2022 0:00,26.5,32.5,22.4,3.6,3.6,38690.57,42232.89,13.2,4.36
8/01/2022 0:00,26.6,32.1,22.5,1.7,1.7,38616.91,42241.71,14,4.66
9/01/2022 0:00,26.7,32.6,23.4,0.3,0.3,31397.77,42251.03,16.3,4.59
10/01/2022 0:00,25.7,29.8,22.9,2.1,2.1,30067.59,42260.83,12.9,2.79
11/01/2022 0:00,26.6,32.5,22.4,4.2,4.2,37075.8,42271.09,12.1,4.28
12/01/2022 0:00,26,32,22.7,2.3,2.3,38576.41,42281.81,11.4,4.14
13/01/2022 0:00,26.1,31.2,22,2.7,2.7,36331.31,42292.95,12.6,4.09
14/01/2022 0:00,26.4,30.9,22.9,2,2,38889.89,42304.52,10.6,4.06
15/01/2022 0:00,26.7,32.1,23.2,3.1,3.1,38694.82,42316.47,13.6,4.35
16/01/2022 0:00,27,34,22.6,1.7,1.7,38483.68,42328.8,12,4.38
17/01/2022 0:00,27.1,33.7,22.9,4.5,4.5,38470.77,42341.5,13,4.46
18/01/2022 0:00,27.3,33.5,22.1,0.5,0.5,38741.43,42354.55,17.3,5.16
19/01/2022 0:00,27.9,33.7,23.9,0,0,38447.96,42367.92,19.7,6.1
20/01/2022 0:00,26.9,33.6,22.3,0,0,39487.19,42381.61,17.5,6.02
21/01/2022 0:00,25.3,33.3,18.8,0,0,39484.55,42395.6,18.8,5.53
22/01/2022 0:00,24.9,31.9,18.1,0,0,39384.13,42409.87,18.2,4.93
23/01/2022 0:00,25.8,31.3,20.9,0.4,0.4,38885.11,42424.41,13.1,4.79
24/01/2022 0:00,26.1,31.8,21.3,0.6,0.6,39380.28,42439.36,17.9,4.79
25/01/2022 0:00,25.7,31.5,21,0.8,0.8,39075.99,42454.79,14.1,4.64
26/01/2022 0:00,25.5,31.1,21.6,0.9,0.9,39277.15,42470.64,15.2,4.28
27/01/2022 0:00,27.1,34.6,21.4,0,0,38865.65,42486.91,18.6,5.97
28/01/2022 0:00,26.3,33.9,21,1.6,1.6,39587.58,42503.56,16.1,4.77
29/01/2022 0:00,27.5,33.4,23.1,0.2,0.2,39173.62,42520.58,12.6,4.7
30/01/2022 0:00,27.4,33,23.5,0.1,0.1,39699.41,42537.94,14.1,4.66
31/01/2022 0:00,25.7,31.6,22.5,6.5,6.5,34702.44,42555.62,13,3.4
1/02/2022 0:00,26.7,34,22,0.1,0.1,39816.18,42573.61,14,5.11
2/02/2022 0:00,26.1,32.1,21.5,0.1,0.1,40036.64,42591.86,14,4.95
3/02/2022 0:00,25.8,30.8,21.4,0.2,0.2,39722.55,42610.36,13.4,4.67
4/02/2022 0:00,26,32,20.7,0,0,40109.71,42629.11,13,5.22
5/02/2022 0:00,26.6,32.6,22.2,0.2,0.2,40132.31,42648.06,14.8,4.81
6/02/2022 0:00,27,34.7,20.5,0,0,39745.76,42667.2,17.7,5.91
7/02/2022 0:00,27.7,34.7,22.7,0.8,0.8,36126.17,42686.52,17.4,5.24
8/02/2022 0:00,27.9,35,23.1,0,0,33678.88,42705.98,14.8,6.02
9/02/2022 0:00,27.9,34.9,22.2,0,0,38047.41,42725.57,15.8,6.02
10/02/2022 0:00,27.1,33.6,23.4,3.8,3.8,34862.87,42745.27,18.3,4.7
11/02/2022 0:00,26.6,33,23,2.6,2.6,27673.36,42765.05,13.6,4.09
12/02/2022 0:00,25.9,31.5,23.5,12.6,12.6,26111.27,42784.92,10.8,3.3
13/02/2022 0:00,24.6,28.5,22.7,9.6,9.6,13305.25,42805.04,16.8,2.7
14/02/2022 0:00,26.8,33,22.5,1.6,1.6,34552.45,42825.46,17.4,5.1
15/02/2022 0:00,26.9,32.3,22.2,0,0,40363.8,42846.15,19.1,5.92
16/02/2022 0:00,26.8,32.9,22,0,0,39974.85,42867.11,18.7,5.93
17/02/2022 0:00,27.1,33.7,21.9,0,0,39346.24,42888.3,13.1,5.87
18/02/2022 0:00,26.7,32.2,22.6,1.7,1.7,38881.22,42909.71,14.4,4.8
19/02/2022 0:00,26.8,32.4,23.3,2.2,2.2,29917.09,42931.32,10.4,3.77
20/02/2022 0:00,27.1,32.4,22.9,1.3,1.3,40485.51,42953.1,12.6,4.81
21/02/2022 0:00,27.5,32.4,23.8,0.8,0.8,40510.25,42975.04,11.9,4.87
22/02/2022 0:00,27.2,32.1,23.6,2.6,2.6,40535.04,42997.12,14.4,4.64
23/02/2022 0:00,27.2,33.8,21.9,0.4,0.4,40559.91,43019.33,16.9,5.36
24/02/2022 0:00,27.2,33.5,23.6,2.4,2.4,32586.84,43041.63,14.7,4.27
25/02/2022 0:00,27.5,33.9,23.8,0.7,0.7,38713.91,43064.02,15,5.03
26/02/2022 0:00,26.6,32.8,23.1,3.7,3.7,35651.25,43086.46,10.3,4.53
27/02/2022 0:00,27.8,34.7,23,0.1,0.1,40659.35,43108.96,14.8,5.57
28/02/2022 0:00,27.9,34.2,22.1,0,0,39982.34,43131.48,15.8,6.06
1/03/2022 0:00,28.4,34.7,23.7,0.3,0.3,39098.86,43154.02,17.4,6.35
2/03/2022 0:00,27.5,33.7,23.2,0.9,0.9,30786.25,43176.54,21,5.24
3/03/2022 0:00,27.8,33.6,24.6,0,0,26531.21,43199.04,20.3,4.98
