time,temperature_2m_mean (Â°C),temperature_2m_max (Â°C),temperature_2m_min (Â°C),precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
1/01/2022,26.8,31,24.1,1.8,1.8,39141.93,42379.2,21.9,4.57
2/01/2022,26.8,31.2,24,0.3,0.3,39118.1,42384.04,24.7,5.03
3/01/2022,26.6,31.1,24.1,0.8,0.8,38115.48,42389.29,24.4,4.66
4/01/2022,26.7,31.6,24.5,3.3,3.3,37078.42,42395.03,26.3,4.77
5/01/2022,25.2,28.9,23.7,1.7,1.7,29271.43,42401.26,19.6,2.89
6/01/2022,26.9,30.6,24.3,2,2,39037.9,42407.97,29.2,4.42
7/01/2022,26.9,30.4,24.1,0.9,0.9,39147.74,42415.13,21,4.63
8/01/2022,26.7,31.7,24,1,1,38989.45,42422.75,18.7,4.59
9/01/2022,26.3,30.4,24.4,5.9,5.9,28006.69,42430.8,22.4,3.9
10/01/2022,25.5,28.7,23.6,7.8,7.8,23378.62,42439.26,17.6,2.96
11/01/2022,26.7,30.9,23.9,1.6,1.6,38991.63,42448.12,19,4.23
12/01/2022,26.2,31,23.3,2.2,2.2,38970.38,42457.38,9.8,3.99
13/01/2022,26.3,29.2,22.9,0.7,0.7,39104.92,42467,11,4.1
14/01/2022,26.7,29.3,23.9,1,1,39167.08,42476.98,11.9,3.97
15/01/2022,27.1,30.8,24.1,1.4,1.4,38990.68,42487.3,17.6,4.44
16/01/2022,27,30.7,24.6,1.1,1.1,39137.63,42497.96,23.7,4.72
17/01/2022,27.3,30.9,24.3,0.3,0.3,39207.34,42508.93,24.2,5.27
18/01/2022,27.3,31.3,24.6,0.6,0.6,39110.68,42520.2,23.3,5.49
19/01/2022,27.4,32.2,24.3,0.4,0.4,38811.81,42531.76,22.9,5.49
20/01/2022,26.5,30.4,23.7,0.4,0.4,39348.8,42543.58,18.9,5.14
21/01/2022,25.9,30.6,21.5,0,0,39430.11,42555.66,15.1,5.23
22/01/2022,25.9,30.1,21.1,0,0,38470.04,42568,15.5,5.07
23/01/2022,25.6,29.1,21,0,0,39510.89,42580.55,13.7,4.77
24/01/2022,25.8,29.7,22.1,0,0,37306.19,42593.48,13.1,4.75
25/01/2022,26,29.7,22.4,0,0,38858.37,42606.81,17,4.92
26/01/2022,26.3,31.1,22.7,1.4,1.4,39224.26,42620.52,24.2,4.99
27/01/2022,26.8,31.8,22.7,0,0,39220.81,42634.58,24.9,5.7
28/01/2022,26.5,30.6,23.6,1.5,1.5,39218.14,42648.98,20,5.13
29/01/2022,26.8,29.9,23.2,1.2,1.2,39695.74,42663.69,15.8,4.63
30/01/2022,27.1,30.5,24.4,1.9,1.9,39408.33,42678.7,17.7,4.64
31/01/2022,27,30.1,24.2,3.7,3.7,39019.79,42693.99,22,4.36
1/02/2022,26.9,32.2,24,0,0,39999.4,42709.54,27.7,5.73
2/02/2022,26.7,31.1,23.2,0,0,39413.36,42725.33,24.2,6.2
3/02/2022,27.4,32.4,23.6,0,0,40012.37,42741.34,16.1,5.73
4/02/2022,27.2,31.4,23.8,0,0,39819.75,42757.55,18.2,5.25
5/02/2022,27.1,31.5,23.7,0.9,0.9,40127.71,42773.95,25.2,5.41
6/02/2022,27.5,33.6,23.4,0,0,37933.11,42790.51,24.6,6.46
7/02/2022,27.6,32.7,24.4,6.8,6.8,32400.76,42807.22,18.9,4.72
8/02/2022,27,31.6,23.4,0,0,24855.47,42824.07,23.2,4.6
9/02/2022,27.8,32.2,24.7,0.1,0.1,31974.71,42841.02,27.1,5.68
10/02/2022,26.6,29.4,24.5,0.6,0.6,28287.1,42858.07,13,3.77
11/02/2022,26.5,30.4,23.2,7.3,7.3,39774.54,42875.2,20.6,4.6
12/02/2022,26.1,30.5,23.7,8.7,8.7,35828.73,42892.4,18.8,3.81
13/02/2022,25.1,28.2,22.9,8.2,8.2,22621.06,42909.82,18.3,3.09
14/02/2022,27.3,31.2,24.3,0.1,0.1,38842.77,42927.5,24.7,6.03
15/02/2022,27.5,32.4,23.9,0.1,0.1,37152.54,42945.43,21.8,5.61
16/02/2022,27.9,32.8,24.3,0,0,33877.6,42963.58,22.8,6.4
17/02/2022,27.3,32.3,24.3,0,0,40001.85,42981.93,26.1,6.23
18/02/2022,27.5,31.8,24.4,0.1,0.1,38900.36,43000.48,23,5.61
19/02/2022,27.1,30.3,24.3,3,3,34493.2,43019.21,20.9,4.69
20/02/2022,27.2,31.2,23.8,0.6,0.6,39477.33,43038.08,18.1,4.65
21/02/2022,27.2,30.1,24.4,0.6,0.6,39494.45,43057.1,12.5,4.54
22/02/2022,26.5,30.1,24.1,1.8,1.8,39407.25,43076.24,11.5,4.31
23/02/2022,26.9,30.9,23.8,1.3,1.3,39425.66,43095.49,20.2,4.96
24/02/2022,27.8,31.8,24.2,1.5,1.5,40285.22,43114.82,23.4,5.84
25/02/2022,27.8,31.5,25.1,0.5,0.5,39030.51,43134.24,22.8,5.9
26/02/2022,27.1,31.6,24.3,1,1,36693.34,43153.7,22,4.91
27/02/2022,28.3,33.4,24.3,0,0,40555.09,43173.21,22.9,6.71
28/02/2022,28.7,33.5,24.6,0.3,0.3,39210.76,43192.75,22.7,6.8
1/03/2022,28.6,33.8,23.9,0.5,0.5,37000.95,43212.29,23.3,6.45
2/03/2022,27.8,32.5,25.1,1.1,1.1,15049.28,43231.83,31.9,5.31
3/03/2022,27.8,33,24.6,0.7,0.7,25600.58,43251.36,23.5,4.92
4/03/2022,27.1,30.4,24.6,7,7,39182.25,43270.84,16.4,4.56
5/03/2022,27,30.4,23.9,0.4,0.4,38727.54,43290.44,15.1,4.76
6/03/2022,27.4,30.5,24.6,1.4,1.4,39658.11,43310.2,10.8,4.71
7/03/2022,27.6,31.1,24.4,1.1,1.1,40204.15,43330.1,20.6,4.98
8/03/2022,27.3,31.9,24.2,4.8,4.8,38562.59,43350.12,23.4,4.74
9/03/2022,27.6,32.4,24.4,0.3,0.3,40773.12,43370.27,24.5,5.8
10/03/2022,27.7,32.7,23.9,0.8,0.8,40693.55,43390.5,18.1,5.71
11/03/2022,27.1,33.2,23.8,8.2,8.2,39578.9,43410.82,15.3,5.03
12/03/2022,25.9,31,24,8.4,8.4,34426.18,43431.22,11.1,4.09
13/03/2022,27.2,31.6,23.6,0.8,0.8,40047.22,43451.67,20.5,4.69
14/03/2022,27.4,32.1,24.3,1.7,1.7,39457.43,43472.16,14.7,4.86
15/03/2022,26.9,30.1,24.3,1.9,1.9,23703.17,43492.68,14.5,3.55
16/03/2022,26.5,28.7,25.4,5.7,5.7,0,43513.21,11.1,1.76
17/03/2022,27,30.8,25.1,13.6,13.6,16823.48,43533.75,18.2,3.03
18/03/2022,27.4,30.5,24.5,1.8,1.8,40084.23,43554.27,17.4,4.66
19/03/2022,28.1,31.7,25.6,0.5,0.5,40721.62,43574.77,25.1,5.57
20/03/2022,28.6,32.2,25.9,0.2,0.2,40841.96,43595.21,27.3,6.11
21/03/2022,28.6,32.3,25.7,1.1,1.1,40638.22,43615.61,23.1,5.9
22/03/2022,29.1,33.4,26.2,0.3,0.3,40838.54,43635.93,20.1,5.92
