time,temperature_2m_mean (Â°C),temperature_2m_max (Â°C),temperature_2m_min (Â°C),precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
1/01/2022,24.5,26.6,23.4,13.9,13.9,31347.03,41652.26,20.1,2.53
2/01/2022,24.9,27,22.6,6.6,6.6,23861.51,41660.07,23.1,2.51
3/01/2022,25.9,27.6,24.7,0.5,0.5,38457.96,41668.56,25.2,3.83
4/01/2022,25.5,27.4,24.3,0,0,38437.73,41677.82,26.5,4.2
5/01/2022,25.6,28.3,23,0.1,0.1,38418.03,41687.87,19,4.18
6/01/2022,25.9,28.4,24.4,0.9,0.9,38398.85,41698.69,25.3,3.74
7/01/2022,25.7,27.8,24.1,1.2,1.2,37193.67,41710.25,19.2,3.53
8/01/2022,25.8,28.4,23.8,0.3,0.3,38375.44,41722.54,23,3.99
9/01/2022,25.6,28.3,23.1,0.6,0.6,38345.04,41735.52,18.6,3.87
10/01/2022,25.2,27.7,23,0.9,0.9,19611.82,41749.17,16.6,2.2
11/01/2022,25.4,27.7,23.5,3,3,38230.31,41763.46,17.1,3.41
12/01/2022,25.8,28.7,23.5,1.4,1.4,38364.64,41778.38,12.8,3.63
13/01/2022,26.2,29.1,23.6,1.9,1.9,38420.39,41793.89,11.3,3.88
14/01/2022,26.4,29.3,24.1,1,1,38405.59,41809.98,10.4,3.95
15/01/2022,26.5,29.6,24,0.1,0.1,38468.02,41826.62,16.9,4.11
16/01/2022,26.8,29.3,24.8,0.2,0.2,38456.22,41843.79,22,4.33
17/01/2022,26.4,28.7,25.2,2.1,2.1,38236.02,41861.45,22.4,4.21
18/01/2022,26.3,28.6,24.9,0,0,38597.91,41879.6,23.2,4.79
19/01/2022,25.5,28,23.3,0,0,38591.41,41898.21,19.5,4.29
20/01/2022,24.6,28.3,21.5,0,0,38754.8,41917.25,13.8,4.6
21/01/2022,25.3,28.9,21.9,0,0,38752.66,41936.69,9.8,4.47
22/01/2022,25,28.5,20.7,0,0,38576.7,41956.53,13.9,4.33
23/01/2022,25.5,28.2,22.7,0,0,38839.27,41976.75,15.3,4.38
24/01/2022,26.1,29.4,23.7,0,0,38661.23,41997.54,14.8,4.5
25/01/2022,26.1,29.8,23.7,0,0,38388.27,42018.97,14.8,4.55
26/01/2022,26,29.3,23.6,0.1,0.1,38385.52,42041,13.8,4.22
27/01/2022,25.9,29.2,23.2,0,0,38164.62,42063.6,21,4.67
28/01/2022,26.4,28.8,24.1,1.5,1.5,38158.13,42086.74,22.4,4.71
29/01/2022,26.3,27.6,24.9,3.7,3.7,25200,42110.38,26,3.26
30/01/2022,25.8,28.6,24.1,4.8,4.8,37164.93,42134.49,17.9,3.4
31/01/2022,26.4,29.4,24.4,0.4,0.4,39162.15,42159.04,17.4,4.48
1/02/2022,25.8,29.4,23.1,0,0,39171.87,42184,16.9,4.64
2/02/2022,24.7,28.7,21.7,0,0,39478.82,42209.34,14.2,4.83
3/02/2022,24.4,28.9,20.2,0,0,39492.13,42235.02,9.4,4.73
4/02/2022,25.7,29.4,22.3,0,0,39405.4,42261.02,10.4,4.74
5/02/2022,26.2,30.2,22.9,1.1,1.1,39520.11,42287.31,15.1,4.42
6/02/2022,26.6,30,24.4,0,0,39636.75,42313.86,17.4,5.2
7/02/2022,25.9,29.2,23.3,0,0,37137.71,42340.64,21.3,4.94
8/02/2022,25.7,29.2,22.4,0,0,38281.21,42367.62,19.7,5.25
9/02/2022,25.9,29.2,22.7,0,0,33018.73,42394.78,22.1,4.93
10/02/2022,24.8,28.6,23.3,21.6,21.6,10054.02,42422.08,19.7,2.13
11/02/2022,25.3,27.6,23.5,7.8,7.8,33147.36,42449.5,21.7,3.32
12/02/2022,24.7,26.4,22.7,26.9,26.9,8792.79,42477.02,18.1,2.02
13/02/2022,25.4,26.9,24.4,3.7,3.7,0,42504.88,16.9,1.79
14/02/2022,25.8,28.5,23.6,0.2,0.2,39669.64,42533.16,22.7,4.57
15/02/2022,25.6,28,23,0,0,39689.53,42561.82,19.9,4.73
16/02/2022,24.9,28.1,22.3,0,0,39388.54,42590.82,18.6,4.63
17/02/2022,25.3,28.1,21.9,0,0,37232.09,42620.14,17.4,4.75
18/02/2022,26.3,29.3,22.9,0.7,0.7,38674.87,42649.77,19.4,4.64
19/02/2022,26.1,28.3,24,0.7,0.7,39606.08,42679.66,20.4,3.91
20/02/2022,26.7,29.6,24,0,0,38824.03,42709.79,13.9,4.53
21/02/2022,26.4,29.6,23.7,0.5,0.5,40257.92,42740.12,10.5,4.58
22/02/2022,26.4,30.4,23.2,0.2,0.2,40291.25,42770.66,13.9,4.85
23/02/2022,26.9,29.6,24.6,0.6,0.6,39110.21,42801.34,23.1,4.92
24/02/2022,27,29.6,25.2,0,0,40228.59,42832.16,22.9,5.42
25/02/2022,26.5,29.1,24.5,0,0,39707.38,42863.09,20.2,4.69
26/02/2022,26.9,29.2,25.1,1,1,39843.36,42894.09,20.9,4.75
27/02/2022,26.6,29.8,24.3,0.4,0.4,40458.62,42925.16,21.2,5.17
28/02/2022,26.6,29.6,24.7,0,0,40492.03,42956.25,19.3,5
1/03/2022,26.7,29.8,24.4,0,0,40525.35,42987.35,20.3,5.28
2/03/2022,26.8,29.8,24.6,0,0,37064.46,43018.43,23.4,5.08
3/03/2022,27.2,29.3,25.7,0,0,27455.49,43049.46,25.5,4.92
4/03/2022,26.4,28,24.7,2.1,2.1,29656.86,43080.45,25.9,3.93
5/03/2022,26.9,29.3,25.5,0.2,0.2,36192.01,43111.59,23.9,5.12
6/03/2022,26.9,29,25.3,0.6,0.6,39257.78,43142.97,20.2,4.74
7/03/2022,26.5,29.5,24.3,1.7,1.7,37596.25,43174.57,14.6,4.25
8/03/2022,27.1,30,25,0,0,40679.01,43206.36,16.3,5.2
9/03/2022,26.8,30.3,24.1,0,0,40789.34,43238.32,15.4,5.14
10/03/2022,26.7,30.1,24.2,0,0,40822.6,43270.42,14.4,5.23
11/03/2022,26.9,30.2,24.2,0,0,40441.57,43302.65,18.1,5.1
12/03/2022,27.2,30.4,25.1,0.4,0.4,40806.34,43334.97,17.8,4.87
13/03/2022,27,30.2,24.8,0,0,40064.04,43367.38,18.2,5.3
14/03/2022,27.2,30.4,25.1,0,0,40955.75,43399.84,17.6,5.36
15/03/2022,26.8,30.7,24.2,0,0,40352.11,43432.33,12.3,5.26
16/03/2022,26.4,29.9,22.9,0,0,36502.39,43464.84,9.8,4.44
17/03/2022,27.8,31.2,25.1,0,0,40419.38,43497.34,12.4,5.29
18/03/2022,28.1,31,25.4,0,0,41087.92,43529.8,15.1,5.22
19/03/2022,28.5,30.6,26.9,0.2,0.2,41120.64,43562.21,17.7,5.28
20/03/2022,29.1,31.3,27.6,0.1,0.1,41072.21,43594.54,21.3,5.63
21/03/2022,29.1,31,27.7,0,0,40995.06,43626.77,23.2,5.51
22/03/2022,29.7,33.1,27.9,0.2,0.2,40476.68,43658.87,24.5,5.55
