time,temperature_2m_mean (Â°C),temperature_2m_max (Â°C),temperature_2m_min (Â°C),precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
1/01/2022,24.8,26.7,23.4,23.5,23.5,28760.55,42118.8,17.4,2.74
2/01/2022,24.9,26.5,23.5,14.4,14.4,30445.95,42124.7,19.3,2.63
3/01/2022,24.9,26.7,23.6,20.4,20.4,21287.2,42131.11,18.1,2.56
4/01/2022,25.2,26.4,24.1,19.6,19.6,33918.32,42138.11,24.2,2.81
5/01/2022,24.6,25.9,22.6,43.2,43.2,26421.58,42145.71,17.7,2.53
6/01/2022,26.4,27.7,24.7,3.6,3.6,39067.93,42153.89,24.6,3.67
7/01/2022,26.6,28.3,24.4,3.1,3.1,39047.92,42162.63,15.9,3.82
8/01/2022,25.4,26.8,24.2,5.8,5.8,36980.77,42171.91,18.7,3.15
9/01/2022,25.8,27.7,24.1,7.9,7.9,10621.98,42181.72,17.9,2.31
10/01/2022,24.8,25.8,23.7,16.1,16.1,10446.09,42192.04,18.8,1.88
11/01/2022,25.9,27.4,24.8,6,6,37704.9,42202.85,17.1,3.19
12/01/2022,26.2,28,24.5,2.6,2.6,38956.86,42214.13,16.2,3.63
13/01/2022,25.9,27.9,23.9,0.4,0.4,38940.78,42225.86,11.3,3.77
14/01/2022,26.3,28.3,24.2,1,1,38938.38,42238.02,13,3.61
15/01/2022,26.6,28.3,24.6,1.3,1.3,38984.33,42250.61,15.3,4.05
16/01/2022,26.5,28.2,25,4.3,4.3,37422.58,42263.59,20.2,3.61
17/01/2022,27.1,28.5,25.7,1.6,1.6,38954.18,42276.96,20,4.72
18/01/2022,26.3,27.8,24.6,3.3,3.3,38873.41,42290.69,19.3,4.07
19/01/2022,26.4,28,24.5,4.4,4.4,38862.87,42304.77,21.6,4.59
20/01/2022,25.4,27.7,23.1,0.2,0.2,38915.03,42319.17,20.2,4.36
21/01/2022,24.4,27.1,21.6,0,0,39199.33,42333.89,16.2,4.56
22/01/2022,24,27.4,19.9,0,0,39194.84,42348.91,10.7,4.5
23/01/2022,24.1,27.7,20.5,0,0,39117.14,42364.21,12.7,4.41
24/01/2022,25.1,28.2,21.7,0,0,39110.52,42379.95,12.5,4.65
25/01/2022,25,28,21.9,0,0,39028.13,42396.18,10.5,4.35
26/01/2022,25.6,27.9,22.5,0.3,0.3,39184.89,42412.86,12.7,4.37
27/01/2022,25.6,28,21.8,0.1,0.1,37015.41,42429.98,16.3,4.24
28/01/2022,25.5,27.4,23.1,4.7,4.7,36201.25,42447.5,19,3.72
29/01/2022,26.4,28.4,24.1,1.7,1.7,39023.82,42465.41,13.8,3.9
30/01/2022,26.2,28,23.9,2,2,39102.11,42483.68,15.1,4.04
31/01/2022,26.6,28.6,24.2,3.5,3.5,36861.14,42502.29,16.8,4.26
1/02/2022,26.3,28.1,25,0.8,0.8,39537.11,42521.2,14,4.87
2/02/2022,25.7,28.3,22,0,0,39195.41,42540.41,12.7,4.72
3/02/2022,25.7,28.4,23,0,0,39463.89,42559.88,14.4,4.63
4/02/2022,26.2,28.4,23,0,0,39560.15,42579.6,15.1,4.88
5/02/2022,26.3,28.4,24.1,0,0,39658.5,42599.54,14,4.75
6/02/2022,26.5,28,24.3,1.4,1.4,38851.35,42619.67,16.2,5.08
7/02/2022,25.9,27.5,24,8.8,8.8,29485.77,42639.99,23.9,3.33
8/02/2022,26.2,28.5,23.6,2.8,2.8,38867.98,42660.46,19.5,4.56
9/02/2022,27,28.6,25.1,0.4,0.4,34050.67,42681.06,20,4.66
10/02/2022,25.9,28,24,4.2,4.2,37592.84,42701.79,13.5,3.95
11/02/2022,25.6,27.5,23.5,9.1,9.1,37354.49,42722.6,14,3.63
12/02/2022,25.4,27.6,23.5,25.3,25.3,34102.86,42743.5,15.8,3.2
13/02/2022,24.3,25.2,23,39.5,39.5,0,42764.66,15,1.11
14/02/2022,26.5,28.2,24.3,3.8,3.8,37906,42786.13,22.2,4.96
15/02/2022,26.5,28.8,23.6,0,0,39310,42807.89,22.3,5.26
16/02/2022,25.9,28.3,22.6,0,0,38967.92,42829.93,22,5.02
17/02/2022,25.8,28,22.9,0,0,39436.36,42852.22,16.9,4.97
18/02/2022,26.2,27.9,23.9,3.2,3.2,39002.55,42874.73,16.1,4.27
19/02/2022,25.6,26.8,24.4,6.7,6.7,20180.74,42897.45,15.6,2.63
20/02/2022,26.2,28.2,24,0.1,0.1,36449.47,42920.36,17,4.13
21/02/2022,26.3,28.5,23.9,0,0,40087.78,42943.43,11.8,4.28
22/02/2022,26.5,28.6,23.4,0.1,0.1,40205.36,42966.64,11.2,4.68
23/02/2022,25.9,27.6,24.1,5.4,5.4,39840.23,42989.98,19.8,3.76
24/02/2022,26.7,29.2,23.6,2.5,2.5,40055.48,43013.43,20.5,5.01
25/02/2022,27.1,29.1,24.4,4.2,4.2,39147.06,43036.97,17.3,4.65
26/02/2022,25.6,27.6,23.7,8.7,8.7,36308.28,43060.57,15.6,3.58
27/02/2022,26.4,28.8,23.8,0.9,0.9,40123.39,43084.21,22.2,4.68
28/02/2022,26.6,28.7,24.1,1.8,1.8,39503.15,43107.89,21.7,4.98
1/03/2022,27.2,29,25.8,2.3,2.3,38671.07,43131.57,22,4.74
2/03/2022,25.9,26.6,24.3,8.1,8.1,6387.87,43155.24,22.4,2.51
3/03/2022,26.2,28.6,24.6,9.5,9.5,32400,43178.89,24.9,4.22
4/03/2022,25.7,29.2,24.2,12.4,12.4,4132.54,43202.48,19.6,2.46
5/03/2022,26.4,29.7,23.9,0.1,0.1,39338.3,43226.22,24.1,4.67
6/03/2022,26.4,29.1,23.9,0.1,0.1,39514.34,43250.14,14.5,4.34
7/03/2022,26.9,29.1,24.8,0.3,0.3,40123.04,43274.23,15.5,4.47
8/03/2022,27,28.9,25.3,1.4,1.4,40440.54,43298.47,17.9,4.77
9/03/2022,27,28.9,24.7,0,0,40564.24,43322.84,15.6,5.17
10/03/2022,26.9,29,24.7,0.1,0.1,40494.75,43347.33,14.4,4.96
11/03/2022,26.6,29.3,24.1,2.2,2.2,40039.71,43371.91,20.5,4.77
12/03/2022,26,28.2,24.2,6.9,6.9,38698.25,43396.58,17.9,3.96
13/03/2022,26.8,28.6,24.5,1.2,1.2,38696,43421.31,19.2,4.43
14/03/2022,27.5,29.1,25.6,0.5,0.5,39591.5,43446.09,19.3,5.03
15/03/2022,26.7,28.9,24.7,0.1,0.1,39401.54,43470.89,15,4.3
16/03/2022,26.4,28.6,24.9,0,0,7806.24,43495.72,11.7,2.48
17/03/2022,26.7,28.4,24.9,0.2,0.2,21924.86,43520.54,15.6,2.85
18/03/2022,26.9,29.6,25.2,4,4,28456.52,43545.33,8.6,3.2
19/03/2022,26.9,29.2,24.5,3.9,3.9,40229.79,43570.09,12.9,4.3
20/03/2022,27.2,29.5,24.1,0,0,40324.17,43594.79,13.9,4.74
21/03/2022,28,30.5,24.4,0.1,0.1,40418.13,43619.43,15.4,4.88
22/03/2022,28.2,30,26.4,0.2,0.2,40228.66,43643.97,14.1,4.71
23/03/2022,28,30.9,25.3,1.5,1.5,40322.5,43668.41,15.4,4.83
24/03/2022,27.2,30.2,24.2,0.4,0.4,39664.22,43692.73,13,4.55
25/03/2022,27.4,30,24.3,0.5,0.5,40040.2,43717.09,18.4,4.68
26/03/2022,27.6,30.1,24.4,0.4,0.4,40508.03,43741.55,17.4,5.12
27/03/2022,27.8,29.9,25.5,0.7,0.7,40413.71,43766.08,15.6,5.13
28/03/2022,27.8,29.8,25.3,2.5,2.5,40412.88,43790.68,16,4.9
29/03/2022,27.9,30,25.5,0.5,0.5,39947.91,43815.33,15.5,4.97
30/03/2022,27.6,29.6,25.8,2.6,2.6,40040.89,43840,18.6,4.49
31/03/2022,27.8,30.9,24.7,0.3,0.3,40041.06,43864.7,17.9,5.07
1/04/2022,27.8,30.1,25.9,0.6,0.6,40133.29,43889.39,17.6,4.88
2/04/2022,27.6,30.8,25.5,0.9,0.9,39674.19,43914.05,13.7,4.91
3/04/2022,27.4,30.2,25,1.5,1.5,40041.59,43938.69,16.6,4.57
4/04/2022,27,29.4,24.5,2.6,2.6,40041.78,43963.28,13,4.72
5/04/2022,27.2,29.9,24.9,9.7,9.7,40133,43987.8,13.2,4.76
6/04/2022,26.6,29.3,24.4,12.7,12.7,37614.91,44012.23,12.3,4.14
7/04/2022,27,29.6,24.2,1.7,1.7,39770.65,44036.56,12.9,4.96
8/04/2022,26,28,24.8,17.2,17.2,27883.98,44060.76,13.4,3.39
9/04/2022,26.1,29.5,24.4,9.5,9.5,36000,44084.83,8.4,4.48
10/04/2022,26.3,29.1,23.9,10.3,10.3,35368.16,44108.75,10,4.02
11/04/2022,26.8,29.7,24.1,0.8,0.8,36000,44132.48,9.4,4.48
12/04/2022,27,29,25,5.4,5.4,30486.03,44156.03,10.6,3.55
13/04/2022,27.1,30.3,24.8,6.1,6.1,36255,44179.37,18.8,4
14/04/2022,27,30.4,24.4,1.1,1.1,39600,44202.66,12.3,4.56
15/04/2022,27.7,31.1,25,0.1,0.1,39899.84,44225.95,20.5,4.79
16/04/2022,27.9,30.7,26.1,1,1,39357.32,44249.22,19.7,4.49
17/04/2022,28,31.2,26,1,1,39720.35,44272.45,21.7,4.96
18/04/2022,27.6,30,25.3,0,0,39986.26,44295.64,11.2,4.81
19/04/2022,27.9,30.8,25.4,2.4,2.4,39868.07,44318.75,11.5,4.25
20/04/2022,27.9,29.9,25.4,1.5,1.5,39957.3,44341.77,13.3,4.6
21/04/2022,27.6,29.8,25.5,2.5,2.5,39885.17,44364.69,13.9,4.52
22/04/2022,26.8,30.2,25.3,10.7,10.7,36647.48,44387.49,18.7,3.87
23/04/2022,26.9,29.3,24.8,7.8,7.8,39709.43,44410.15,11.8,4.13
24/04/2022,27.8,30.4,25.4,0.8,0.8,39870.64,44432.65,16.9,4.85
25/04/2022,28,30.1,25.4,0.9,0.9,39892.17,44454.97,13.5,4.9
26/04/2022,28,29.9,25.6,0.8,0.8,39801.14,44477.09,11.4,4.3
27/04/2022,28.3,30.3,26.2,1.4,1.4,39960.54,44499.01,15.2,4.86
28/04/2022,27.7,30.8,25.1,7.4,7.4,39883.18,44520.68,15.9,4.62
29/04/2022,27.7,30.1,24.7,0.3,0.3,39697.2,44542.09,11.7,4.51
30/04/2022,28.4,30.7,25.6,0.5,0.5,40057.61,44563.24,12.3,5
1/05/2022,28.4,30.8,26.6,4.7,4.7,35611.58,44584.08,10.1,4.11
2/05/2022,28.5,30.9,25.4,0.4,0.4,40144.9,44604.61,16.6,4.98
3/05/2022,29.2,31.7,26.8,0,0,39600,44624.8,11.9,4.95
4/05/2022,28.6,31.6,24.7,2.2,2.2,39696.34,44644.8,20,4.94
5/05/2022,28,31,25.7,1.6,1.6,38672.77,44664.66,12.8,4.48
6/05/2022,28.6,31.4,26,0.2,0.2,37467.68,44684.36,11.5,4.43
7/05/2022,29.4,32.9,26.4,0.2,0.2,39600,44703.88,14.3,4.73
8/05/2022,29.3,31.5,27.1,0,0,23767.63,44723.2,12.1,3.65
9/05/2022,30.1,33.5,26.3,0,0,39600,44742.3,12.9,4.91
10/05/2022,29.3,33.1,25.7,0.2,0.2,39604.31,44761.18,16.1,4.79
11/05/2022,29.9,35.1,26.4,0.3,0.3,38653.16,44779.8,24.8,5.57
12/05/2022,29.3,33.8,25.4,0.4,0.4,39602.77,44798.15,16.3,4.99
