time,temperature_2m_mean (Â°C),temperature_2m_max (Â°C),temperature_2m_min (Â°C),precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
1/01/2022 0:00,25.4,29.4,21.3,0,0,38832.52,42292.54,11.6,4.28
2/01/2022 0:00,25.7,29.9,22.2,1.5,1.5,37944.25,42297.72,11.7,3.88
3/01/2022 0:00,25.2,29.6,22.8,6.7,6.7,30134.25,42303.37,8.5,3.66
4/01/2022 0:00,25.5,31.3,22,5.1,5.1,30658.66,42309.52,9.7,3.83
5/01/2022 0:00,25.2,29.1,23.1,7.9,7.9,32927.34,42316.21,12.1,3.15
6/01/2022 0:00,25.5,29.8,21.6,0.5,0.5,38286.34,42323.41,13.3,4.03
7/01/2022 0:00,25.6,29,23,2.9,2.9,38701.66,42331.1,13.9,4.03
8/01/2022 0:00,25.8,29.7,22.7,2.2,2.2,38681.63,42339.27,13.3,4.29
9/01/2022 0:00,25.3,29.9,22.4,7.5,7.5,33759.27,42347.9,12.5,3.72
10/01/2022 0:00,25.3,29.2,23.1,8.2,8.2,29208.67,42356.98,9,3.27
11/01/2022 0:00,25.9,29.3,22.4,0.3,0.3,38915.1,42366.49,12.2,4.25
12/01/2022 0:00,25.8,29.9,22.4,0.8,0.8,38633.91,42376.42,10.6,4.19
13/01/2022 0:00,26,30,22.4,1.6,1.6,38968.31,42386.74,12,4.06
14/01/2022 0:00,26.1,29.6,22.5,0,0,39133.38,42397.45,10.5,4.21
15/01/2022 0:00,26.5,29.9,23.4,2.3,2.3,38845.38,42408.53,10.9,4.04
16/01/2022 0:00,26,29.8,23.3,0.6,0.6,38829.38,42419.96,12.5,4.21
17/01/2022 0:00,25.6,29.8,21.8,14,14,39002.61,42431.72,12.5,4.14
18/01/2022 0:00,25.7,30.5,22.1,0.1,0.1,38990.43,42443.81,17.2,4.44
19/01/2022 0:00,26.3,31.9,22.3,0.2,0.2,38979,42456.21,12,4.5
20/01/2022 0:00,26.2,32.8,21.8,0,0,39749.3,42468.89,15.5,5.39
21/01/2022 0:00,25,29.6,20.1,0,0,39649.03,42481.85,15.6,5.06
22/01/2022 0:00,24.4,29.4,18.4,0.4,0.4,39646.93,42495.07,15.4,4.63
23/01/2022 0:00,25,28.9,19.8,0,0,38841.59,42508.55,11.9,4.58
24/01/2022 0:00,25.6,29.7,21.2,0.2,0.2,39340.65,42522.41,14,4.67
25/01/2022 0:00,25.3,29,21.4,2.6,2.6,39235.77,42536.7,11.8,4.45
26/01/2022 0:00,24.9,29.2,21.4,1.8,1.8,38512.04,42551.4,11.9,4.32
27/01/2022 0:00,25.8,31,21.2,0,0,38327.64,42566.48,14.9,4.87
28/01/2022 0:00,26.1,29.7,22.2,0.3,0.3,39647.41,42581.91,12.6,4.63
29/01/2022 0:00,26.2,30.7,21.9,0.2,0.2,39754.71,42597.7,14,4.69
30/01/2022 0:00,26.7,31.1,22.7,0.4,0.4,39969.79,42613.79,13.9,4.69
31/01/2022 0:00,25.5,29.8,23.3,7.7,7.7,34692.89,42630.18,12.8,3.36
1/02/2022 0:00,25.6,29.8,20.7,0,0,39873.59,42646.85,17.4,4.77
2/02/2022 0:00,26.2,29.1,23.1,2.2,2.2,39771.54,42663.77,11.5,4.44
