time,temperature_2m_mean (Â°C),temperature_2m_max (Â°C),temperature_2m_min (Â°C),precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
1/01/2022 0:00,23.3,26.5,21.4,0.5,0.5,38901.88,42147.79,20.5,3.52
2/01/2022 0:00,23.2,26.7,21.3,0.7,0.7,34823.41,42153.58,20.2,3.29
3/01/2022 0:00,23.1,26.9,21.4,5.6,5.6,32813.89,42159.86,21.3,3.22
4/01/2022 0:00,23.1,27,21,3.7,3.7,31299.53,42166.72,16.5,2.93
5/01/2022 0:00,23.1,26.7,21,0.8,0.8,30317.05,42174.16,14.9,2.86
6/01/2022 0:00,23.7,27.9,21.1,0.3,0.3,38732.75,42182.18,22.1,3.94
7/01/2022 0:00,24,27.8,20.6,0,0,38844.08,42190.75,19.8,4.17
8/01/2022 0:00,23.3,27.8,20.2,0.5,0.5,38753.66,42199.84,17,4.01
9/01/2022 0:00,23.6,27.6,21.1,0.4,0.4,36638.61,42209.46,18.1,4.12
10/01/2022 0:00,22.8,25.9,21.2,8.8,8.8,4922.57,42219.57,19.4,2
11/01/2022 0:00,23.3,28.1,19,1.5,1.5,38832.97,42230.16,16.2,3.72
12/01/2022 0:00,23.9,28.3,20.6,2.4,2.4,37411.3,42241.21,14.1,3.73
13/01/2022 0:00,23.9,28.9,19.6,1.5,1.5,38795.92,42252.71,8.2,4.07
14/01/2022 0:00,24,29.2,20,0.6,0.6,38778.18,42264.63,8.5,4.12
15/01/2022 0:00,24.1,29.3,19.1,0.4,0.4,38842.44,42276.96,17.1,4.67
16/01/2022 0:00,23.9,28.4,21.2,0.3,0.3,38910.37,42289.69,20.9,4.4
17/01/2022 0:00,23.9,27.9,21.4,0.3,0.3,38981.89,42302.79,20.6,4.4
18/01/2022 0:00,23.7,27.7,21,0.2,0.2,38971.14,42316.25,19.1,4.43
19/01/2022 0:00,24,28.6,21.3,0,0,38874.1,42330.04,16.3,4.64
20/01/2022 0:00,22.9,28.8,18.1,0,0,39304.97,42344.16,10.6,4.94
21/01/2022 0:00,22.3,29.7,15.5,0,0,39569.77,42358.59,10.9,5.07
22/01/2022 0:00,22.9,30.9,15.9,0,0,39479.61,42373.3,10.1,5.33
23/01/2022 0:00,23,30.7,15.8,0.3,0.3,39296.25,42388.3,9.1,5.11
24/01/2022 0:00,23.3,30.1,16.2,0,0,38550.39,42403.73,11.4,4.79
25/01/2022 0:00,23.2,29.6,17.1,0.4,0.4,38546.46,42419.63,7.7,4.38
26/01/2022 0:00,22.9,28.9,17.9,0.7,0.7,37328.07,42435.98,12.7,4.35
27/01/2022 0:00,22.6,28.1,17.7,0,0,38541.57,42452.76,15.8,4.96
28/01/2022 0:00,23.2,28.3,17.2,1.2,1.2,39295.66,42469.93,20.5,4.53
29/01/2022 0:00,24.9,30.4,22,0.4,0.4,32962.49,42487.49,15.1,4.05
