time,temperature_2m_mean (Â°C),temperature_2m_max (Â°C),temperature_2m_min (Â°C),precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
1/01/2022,25.2,29.8,21.9,5.8,5.8,38847.01,42147.79,14,3.98
2/01/2022,25.3,30,22.3,1.1,1.1,38296.59,42153.58,14.7,3.96
3/01/2022,24.7,29.8,22.4,7.6,7.6,38305.09,42159.86,16.4,3.67
4/01/2022,24.5,29.6,21.7,0.8,0.8,38788.31,42166.72,17.8,3.75
5/01/2022,24.3,28,21.6,2.5,2.5,34846.54,42174.16,15.1,3.29
6/01/2022,25.4,30.3,22.1,0.6,0.6,38876.79,42182.18,18.2,4.21
7/01/2022,25.4,30.8,21.5,2.1,2.1,38785.01,42190.75,13,4.4
8/01/2022,24.6,30.1,20.1,1.6,1.6,38698.79,42199.84,12.5,4.3
9/01/2022,25.4,30.4,21.8,0,0,32790.14,42209.46,13.6,4.43
10/01/2022,24.1,27,21.8,3.5,3.5,5641.71,42219.57,11.4,1.92
11/01/2022,24.7,30.9,20.4,1.8,1.8,38324.6,42230.16,10.7,3.88
12/01/2022,24.8,29.9,21.1,0.8,0.8,38626.77,42241.21,8,3.83
13/01/2022,25.1,30.2,20.5,0.7,0.7,38818.3,42252.71,9.9,4.28
14/01/2022,25.2,30.3,21.1,0.9,0.9,38636.19,42264.63,8.3,4.28
15/01/2022,26,31.5,20.9,0.2,0.2,38869.81,42276.96,8.7,4.6
16/01/2022,25.9,31.4,22.1,0.5,0.5,38770.16,42289.69,15.3,4.72
17/01/2022,25.9,31.1,22.4,1.7,1.7,38842.5,42302.79,16,4.8
18/01/2022,25.6,31,21.4,1.3,1.3,38918.28,42316.25,16,4.98
19/01/2022,25.6,31,21.6,0,0,39087.05,42330.04,16.2,5.26
20/01/2022,24.7,30.6,19.9,0,0,39352.33,42344.16,14.2,5.54
21/01/2022,24.7,31.5,18.3,0,0,39441.25,42358.59,14.1,5.65
22/01/2022,25,32.8,17.9,0,0,39533.01,42373.3,13.8,5.8
23/01/2022,24.5,32.1,17.8,0.1,0.1,39156.84,42388.3,17,5.04
24/01/2022,25,31.6,19,0.2,0.2,38868.47,42403.73,17.4,5.04
25/01/2022,25,31,19.8,0.2,0.2,37650.65,42419.63,17.5,4.64
26/01/2022,24.6,31.2,20.4,0.5,0.5,38488.45,42435.98,12.9,4.71
27/01/2022,25.1,31.7,20,0,0,39345.02,42452.76,14,5.41
28/01/2022,25.4,32.4,19.2,0.8,0.8,38852.96,42469.93,13.6,4.91
29/01/2022,25.9,31.4,22.2,0.7,0.7,34729.45,42487.49,11.5,4.29
30/01/2022,26.2,31.6,21.9,0.4,0.4,39050.75,42505.39,9.6,4.52
31/01/2022,24.7,30.4,21.6,4.7,4.7,37752.34,42523.63,11.5,3.45
1/02/2022,25.9,31.9,21,0,0,39969.82,42542.17,14.5,5.74
2/02/2022,25.4,31.6,20.5,0,0,39876.21,42561,13.5,5.3
3/02/2022,25.4,31.9,20.3,0,0,39678.7,42580.08,12.4,5.19
4/02/2022,26.3,33.6,20.6,0,0,40078.68,42599.41,11.2,5.57
5/02/2022,26.3,33,20,0,0,40101.88,42618.95,16.3,5.77
6/02/2022,26.1,33.2,19.2,0,0,40018.3,42638.69,16.1,6.24
7/02/2022,25.7,31.1,21.8,1.3,1.3,35995.62,42658.61,19.6,4.63
8/02/2022,26,32.4,20.1,0,0,37965.85,42678.67,17.5,5.88
9/02/2022,26,32.3,21,0,0,35089.78,42698.87,14,5.45
10/02/2022,24.5,30.3,21.1,31.6,31.6,35146.07,42719.18,12.4,3.79
11/02/2022,24.7,30.4,21.2,9.5,9.5,30225.25,42739.59,10.6,3.86
12/02/2022,23.8,28.8,21.6,38,38,13572.27,42760.07,8.6,2.48
13/02/2022,22.9,24.9,21.5,16.2,16.2,0,42780.81,10.9,1.44
14/02/2022,25,30.4,21.6,0.7,0.7,39904.4,42801.87,13.8,4.66
15/02/2022,24.7,29.8,20.2,0,0,40136.09,42823.2,18.3,5.29
16/02/2022,24.6,29.8,20.3,0,0,40364.25,42844.8,16,5.44
17/02/2022,24.6,30.6,19.5,0,0,40389.12,42866.65,13.8,5.35
18/02/2022,25,31.2,19.9,0.9,0.9,38989.63,42888.73,16,4.81
19/02/2022,25.1,30.4,22.1,1.5,1.5,29574.95,42911,11.6,3.64
20/02/2022,25.8,30.8,21.2,1.3,1.3,39897.62,42933.46,8.3,4.73
21/02/2022,26.2,31.7,21.2,0,0,40490.08,42956.08,11.8,5.04
22/02/2022,26,32,22,0,0,40515.56,42978.84,11.8,5.16
23/02/2022,25.8,32.2,19.7,0.8,0.8,40066.98,43001.73,9.3,5.24
24/02/2022,26,31.5,23.1,3.6,3.6,38992.29,43024.71,14.7,4.89
25/02/2022,25.8,31.9,21.5,1.1,1.1,37629.08,43047.79,13.4,5.21
26/02/2022,25.1,31,22.2,9.8,9.8,39144.52,43070.93,14.3,4.29
27/02/2022,26.1,31.6,22.1,0.5,0.5,40643.33,43094.12,14.7,5.58
28/02/2022,25.8,31.3,20.4,0.2,0.2,39957.03,43117.33,13.8,5.51
1/03/2022,26,31.8,21.7,0.9,0.9,38901.37,43140.55,15.9,5.53
2/03/2022,25.5,30.8,21.4,0.6,0.6,24966.05,43163.76,20.5,4.72
3/03/2022,25.8,31,22,0.2,0.2,26809.2,43186.95,17.6,4.42
4/03/2022,25.5,30.6,22.3,0.8,0.8,30143.28,43210.09,11.9,3.97
5/03/2022,25.9,30.9,21.3,0.7,0.7,39854.35,43233.37,12.4,4.84
6/03/2022,26.5,32.5,21.5,0,0,40819.2,43256.82,10.6,5.45
7/03/2022,26.7,33.7,21.6,2.5,2.5,40342.85,43280.45,13.1,5.46
8/03/2022,26.3,32.8,21.6,2.6,2.6,36646.5,43304.21,10.2,4.71
9/03/2022,26.6,34.2,20.5,0,0,40894.3,43328.11,15.4,5.84
10/03/2022,26.6,33.7,20.7,0.3,0.3,39985.71,43352.12,14.2,5.67
