time,temperature_2m_mean (Â°C),temperature_2m_max (Â°C),temperature_2m_min (Â°C),precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
1/01/2022,24.2,26.2,22.5,29.4,29.4,32247.38,41710.87,18.9,2.59
2/01/2022,24.4,27,23.1,4.7,4.7,13510.35,41718.44,20.6,2.08
3/01/2022,25.7,27.4,24.1,1.6,1.6,38568.31,41726.67,24.3,3.47
4/01/2022,25.7,27.4,24.6,0,0,38551.44,41735.64,23.3,4.48
5/01/2022,25.7,27.7,24,0.4,0.4,36484.35,41745.39,19.7,3.53
6/01/2022,25.7,28,24.1,1.5,1.5,38512.23,41755.88,24.5,3.69
7/01/2022,25.3,27.7,23.1,1.8,1.8,36000,41767.09,19.7,3.52
8/01/2022,25.5,28.1,23.2,0.3,0.3,38493.87,41778.99,21.6,3.96
9/01/2022,25.8,28,24,0.3,0.3,38396.72,41791.57,18.6,3.99
10/01/2022,24.9,26.1,23.8,1.2,1.2,5261.25,41804.8,14,1.63
11/01/2022,25.2,27.1,23.5,3.3,3.3,36359.89,41818.66,16.8,2.98
12/01/2022,25.5,28.8,23.2,0.6,0.6,38413.02,41833.12,12.9,3.67
13/01/2022,25.6,29.1,22.4,0.5,0.5,38463.82,41848.16,11.6,3.79
14/01/2022,25.7,29.7,22.3,1.9,1.9,38447.43,41863.75,11.5,3.88
15/01/2022,25.7,29.1,22.6,0,0,38431.7,41879.88,15.9,4.07
16/01/2022,26.4,28.7,24.4,0,0,38491.87,41896.52,20.7,4.35
17/01/2022,26.1,28.5,25,1.8,1.8,38402.41,41913.64,21,4.25
18/01/2022,25.7,28.1,23.8,0.1,0.1,38546.12,41931.24,21.7,4.47
19/01/2022,25.2,27.8,23.3,0.1,0.1,38616.91,41949.27,18.9,4.42
20/01/2022,24.2,27.8,21.2,0,0,38773.18,41967.73,13.6,4.62
21/01/2022,23.6,28.6,19.3,0,0,38852.96,41986.59,9.2,4.53
22/01/2022,23.6,29.7,18.2,0,0,38767.46,42005.81,9.7,4.52
23/01/2022,24.8,29.9,20.8,0,0,38765.87,42025.41,13.5,4.49
24/01/2022,25.1,30.1,21.8,0,0,38504.32,42045.57,16.1,4.4
25/01/2022,25.3,30.3,22,0,0,38302.39,42066.35,16.7,4.51
26/01/2022,24.9,29.2,21,0,0,38676.66,42087.71,13.9,4.44
27/01/2022,25,28.5,20.6,0,0,37993.76,42109.62,19.3,4.61
28/01/2022,25.4,27.6,23.1,1.5,1.5,38495.33,42132.05,20.4,3.87
29/01/2022,25.5,27.2,24.5,7.9,7.9,26588.36,42154.96,22.4,2.73
30/01/2022,25.4,27.7,23.8,2.5,2.5,37394.47,42178.34,17,3.14
31/01/2022,25.9,28.8,23.8,0,0,39064.62,42202.14,17.1,4.4
1/02/2022,25.1,28.8,21.4,0,0,39168.04,42226.35,15.6,4.59
2/02/2022,23.7,28,19.9,0,0,39466.38,42250.91,14.2,4.74
3/02/2022,24,28.6,19.7,0,0,39479,42275.82,9.7,4.77
4/02/2022,24.7,30.1,20,0,0,39492.08,42301.03,9.9,4.9
