time,temperature_2m_mean (Â°C),temperature_2m_max (Â°C),temperature_2m_min (Â°C),precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
1/01/2022,25.5,29.9,22.8,2.2,2.2,38818.56,42104.29,17.1,4
2/01/2022,25.2,28.5,22.9,2.1,2.1,37004.17,42110.25,20.3,3.68
3/01/2022,25.1,29.6,23.2,1.6,1.6,35104.79,42116.73,20.5,3.7
4/01/2022,25.2,29.2,22.7,0.8,0.8,36603.39,42123.8,21.7,3.7
5/01/2022,25.1,28.5,23.2,0.8,0.8,29903.7,42131.48,18.5,3.27
6/01/2022,26,30.4,23,0.1,0.1,36117.95,42139.73,22.7,4.09
7/01/2022,25.9,31.7,22.1,0.6,0.6,38758.63,42148.56,15,4.49
8/01/2022,25.4,30.3,22,0.7,0.7,38671.14,42157.94,18.9,4.35
9/01/2022,26.2,30.6,22.7,0,0,37858.68,42167.85,18.8,4.78
10/01/2022,24.2,26.3,22.3,3.1,3.1,2873.72,42178.27,14.3,1.46
11/01/2022,25.5,30.7,21.9,1.6,1.6,38749.01,42189.18,16.6,4.18
12/01/2022,25.8,31.2,22.1,0.9,0.9,38599.77,42200.58,11.7,4.29
13/01/2022,26.1,31.6,21.5,0.8,0.8,38711.59,42212.43,6.8,4.4
14/01/2022,26.1,31.9,21.1,0.6,0.6,38775.68,42224.71,10,4.32
15/01/2022,26.6,32.3,21.8,0,0,39010.44,42237.43,15.3,4.87
16/01/2022,26.2,31.3,22.4,0.3,0.3,38659.84,42250.54,21.1,4.57
17/01/2022,26.5,31.4,23.1,1.5,1.5,38816.79,42264.04,19.3,5.05
18/01/2022,25.9,31.1,22.5,0.2,0.2,38716.8,42277.91,20.4,4.77
19/01/2022,26.2,31.3,22.9,0,0,38882.07,42292.12,17.9,5.35
20/01/2022,25.5,31.2,21.2,0,0,38872.7,42306.68,14.3,5.49
21/01/2022,25,32.1,18.2,0,0,39321.32,42321.54,14.2,5.38
22/01/2022,25,33.7,17.1,0,0,39411.85,42336.7,12.4,5.52
23/01/2022,25.6,33.5,18.8,0,0,39224.46,42352.16,15.8,5.18
24/01/2022,26.1,33.3,19.9,0.1,0.1,39317.49,42368.06,15.3,5
25/01/2022,25.6,32.8,20.1,1,1,36275.14,42384.45,9.8,4.71
26/01/2022,25.6,32.5,21.2,0.4,0.4,38464.66,42401.3,15.5,4.94
27/01/2022,25.5,31.4,21,0,0,39319.66,42418.59,17.7,5.4
28/01/2022,25.3,31.3,19.3,1.3,1.3,39125.11,42436.29,18.3,4.76
29/01/2022,26.4,31.1,23.1,1.4,1.4,36465.46,42454.37,13,3.97
30/01/2022,26.8,33,22.4,0,0,39127.8,42472.82,15.9,4.98
31/01/2022,26.3,31.4,23.2,1.5,1.5,39331.49,42491.61,15.3,4.21
1/02/2022,26.2,32.3,21.2,0,0,39944.23,42510.71,16.5,5.77
2/02/2022,25.4,32.9,18.3,0,0,39953.54,42530.11,16.1,5.71
3/02/2022,26.3,33.9,20,0,0,39655.16,42549.78,12.7,5.34
4/02/2022,27,34.7,20.1,0,0,39973.46,42569.69,15.1,5.59
5/02/2022,27.1,34.5,21.3,0,0,40071.39,42589.83,15.9,5.86
6/02/2022,26,32.7,19.6,0,0,39681.75,42610.16,19.1,6.23
7/02/2022,26.2,31.8,21.9,0.3,0.3,38504.31,42630.68,21.4,5.07
8/02/2022,26.4,32.4,21.1,0,0,35584.5,42651.35,18.2,5.88
9/02/2022,26.3,32.1,22.4,0,0,31275.63,42672.16,19.6,5.62
10/02/2022,25.8,31.8,22.2,4.7,4.7,38533.09,42693.08,16.5,4.2
11/02/2022,25.1,31.5,21.9,7.7,7.7,24586.91,42714.1,12.9,3.59
12/02/2022,24.6,29.8,22.6,15.6,15.6,21557.37,42735.21,14.9,2.69
13/02/2022,23,24.6,22,16.6,16.6,0,42756.57,15.8,1.23
14/02/2022,25.4,29.8,22,0,0,39669.7,42778.25,20.1,4.71
15/02/2022,25.4,30.5,20.8,0,0,40008.96,42800.23,17.7,5.25
16/02/2022,25.3,30.4,20.8,0,0,40133.92,42822.49,16.6,5.45
17/02/2022,25.3,30.9,20.4,0,0,40028.61,42844.99,15.1,5.44
18/02/2022,25.4,32,19.8,1.2,1.2,39082.28,42867.73,12.6,4.52
19/02/2022,25.6,31.2,22,3.8,3.8,37504.52,42890.67,14.5,3.9
20/02/2022,26.6,31.8,22.6,1.1,1.1,39990.23,42913.8,12.7,4.68
21/02/2022,27.2,32.7,22.6,0,0,40469.86,42937.1,10.5,5.16
22/02/2022,27.1,33.2,22.2,0,0,40057.07,42960.54,12.6,5.41
23/02/2022,25.6,31.9,20.2,2.7,2.7,40489.3,42984.11,14.3,4.94
24/02/2022,26.7,31.7,23.1,4.1,4.1,39087.59,43007.79,17.6,5.1
25/02/2022,26.6,32.2,22.8,0.6,0.6,38794.07,43031.55,17.1,5.43
26/02/2022,26,31.9,22.4,2.8,2.8,39569.32,43055.39,13.9,4.39
27/02/2022,26.5,31.9,22.5,0,0,40627.27,43079.26,20.4,5.71
28/02/2022,26.4,31.6,21.6,0,0,40272.8,43103.16,19.4,5.68
1/03/2022,26.6,32.3,22.6,0.6,0.6,38888.09,43127.08,21.1,5.39
2/03/2022,25.7,30.4,22.4,0.6,0.6,28160.64,43150.98,24.1,4.14
3/03/2022,26.4,30.7,23.6,0,0,26705.34,43174.85,21.6,4.39
4/03/2022,26.2,31.4,23.4,1.8,1.8,29151.76,43198.69,13.7,3.97
5/03/2022,26.7,32.2,21.8,0.5,0.5,39842.89,43222.65,15.2,4.87
6/03/2022,27.1,32.5,22.7,0,0,40808,43246.8,12,5.13
7/03/2022,27.4,34.7,21.8,0.2,0.2,40332.3,43271.12,17.7,5.5
8/03/2022,27.6,33.4,23.1,1.9,1.9,39066.07,43295.6,14.9,5.22
9/03/2022,27,33.6,20.6,0,0,40885.23,43320.2,18.9,6.14
10/03/2022,27.1,34.1,20.3,0,0,40849.96,43344.93,17.1,5.99
11/03/2022,27.8,33.9,22.2,0,0,40440.9,43369.75,16.6,6.02
12/03/2022,26.5,32.6,23.5,8.4,8.4,36440.94,43394.66,19.2,4.3
13/03/2022,27.3,32.4,23.1,0,0,37405.23,43419.62,19.4,5.49
14/03/2022,27.5,33,22.7,0,0,38838.95,43444.64,16.8,5.6
15/03/2022,27.3,33.9,21.7,0.1,0.1,39270.69,43469.69,11.2,5.36
