time,temperature_2m_mean (Â°C),temperature_2m_max (Â°C),temperature_2m_min (Â°C),precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
1/01/2022,25.1,28.3,23.2,3.1,3.1,38374.12,41798.62,24.2,3.08
2/01/2022,25,27.7,23.4,1.2,1.2,19185.25,41805.83,21.9,2.5
3/01/2022,26,28.6,23.6,0.3,0.3,31860.74,41813.67,25.3,3.53
4/01/2022,26.2,28.8,24.3,0,0,38496.73,41822.22,27.4,4.75
5/01/2022,26.5,29.5,24.4,0,0,38476.63,41831.5,23.6,4.63
6/01/2022,26.6,30.5,23.9,1,1,38457.04,41841.49,26.2,4.4
7/01/2022,26.2,29.7,23.5,2.2,2.2,38438.01,41852.17,19.9,3.89
8/01/2022,26.3,29.8,23.5,1.5,1.5,38490.05,41863.51,23.7,4.52
9/01/2022,26.5,30.5,23.4,0.4,0.4,38401.79,41875.5,20.9,4.61
10/01/2022,25.6,27.9,23.9,2.3,2.3,22442.92,41888.1,16.9,2.32
11/01/2022,25.8,28.7,23.7,2.2,2.2,38368.32,41901.3,19.6,3.45
12/01/2022,25.8,29.5,22.3,1.1,1.1,38487,41915.07,14.6,3.81
13/01/2022,26.4,30.4,22.5,1.1,1.1,38548.09,41929.4,12.3,4.29
14/01/2022,26.7,31.2,23,1.1,1.1,38533.56,41944.25,15.6,4.4
15/01/2022,27.1,31.2,23.4,1,1,38519.59,41959.62,18.8,4.77
16/01/2022,27.2,31.4,24,0.4,0.4,38589.1,41975.47,24.2,5.03
17/01/2022,26.8,30.8,24.5,1.4,1.4,38493.68,41991.79,24.8,4.67
18/01/2022,26.7,31,23.7,0.3,0.3,38567.66,42008.55,26.1,5.25
19/01/2022,26.2,30.1,23.3,0,0,38645.3,42025.73,23.2,5.13
20/01/2022,25.7,30.5,21.8,0,0,38992.17,42043.32,17.4,5.46
21/01/2022,25.2,30.5,20.7,0,0,38990.78,42061.29,13.4,4.98
22/01/2022,25.2,30.5,18.9,0,0,38990.05,42079.61,12.3,4.77
23/01/2022,25.7,30.2,20.9,0.3,0.3,38990.11,42098.28,15,4.71
24/01/2022,26.3,31.7,22,1.9,1.9,38710.89,42117.48,17.2,4.85
25/01/2022,26.4,32.1,22.2,0.8,0.8,38614.75,42137.29,18.3,4.96
26/01/2022,26.7,32,22.2,0.1,0.1,38612.77,42157.64,11.3,4.81
27/01/2022,26.6,32.3,22.3,0,0,38770.12,42178.52,24,5.53
28/01/2022,26.3,30,23.7,1.7,1.7,38611.32,42199.89,23.7,4.5
29/01/2022,26.9,29.3,24.8,1.5,1.5,36831.64,42221.73,27.6,4.05
30/01/2022,26.5,30.1,23.7,2.4,2.4,38613.17,42244.01,21.7,4.17
31/01/2022,27.3,31.6,24,0.5,0.5,39015.59,42266.69,20.4,5.09
1/02/2022,26.6,31.8,23,0,0,39526.18,42289.75,23.5,5.55
2/02/2022,25.7,31.3,20.9,0,0,39638.63,42313.17,22.3,5.88
3/02/2022,25.3,30.8,19.2,0,0,39800.34,42336.9,16.6,5.47
4/02/2022,26,30.8,20.6,0,0,39766.2,42360.93,14.3,5.39
5/02/2022,26.6,31.8,21.9,0.1,0.1,39572.21,42385.23,22.5,5.41
6/02/2022,26.9,32.5,22.5,0,0,39884.39,42409.77,24.5,5.87
7/02/2022,26.5,31.6,21.9,0,0,38194.28,42434.52,25.5,5.96
8/02/2022,26.4,30.8,22.5,0,0,38313.52,42459.45,25.9,5.99
9/02/2022,26.9,31,23.6,0,0,35657.58,42484.55,24.6,5.49
10/02/2022,25.9,29.6,23.7,9.8,9.8,21357.81,42509.79,23.9,3.38
11/02/2022,25.6,28.8,23.1,0.9,0.9,34217.01,42535.14,20.4,3.5
12/02/2022,25.3,28,23.7,10.5,10.5,25227.13,42560.58,19.6,2.87
13/02/2022,24.2,25.6,23.1,20.2,20.2,0,42586.34,18.9,1.2
14/02/2022,25.9,29.6,23.4,0,0,38772.34,42612.47,23.7,4.82
15/02/2022,25.3,28.7,21.6,0,0,40050.08,42638.96,22.7,4.98
16/02/2022,25.2,28.7,22.2,0,0,40070.12,42665.78,21.7,4.97
17/02/2022,25.1,29.1,20.4,0,0,40090.89,42692.9,20.6,5.03
18/02/2022,25.8,29.1,22.4,2.7,2.7,30340.84,42720.29,17.8,4.06
19/02/2022,25.9,29.3,23.5,2.9,2.9,31224.82,42747.93,20.4,3.84
20/02/2022,26.6,29.5,24.2,0.7,0.7,40157.09,42775.79,16.8,4.44
21/02/2022,26.4,30.4,22.8,0.1,0.1,40326.89,42803.86,11.7,4.88
22/02/2022,26.1,30.7,22.3,0.6,0.6,40357.91,42832.09,14.1,4.82
23/02/2022,26,30.3,23.6,2.3,2.3,38584.38,42860.47,21.8,4.31
24/02/2022,26.9,30.5,23.8,0.2,0.2,40142.2,42888.97,23.9,5.43
25/02/2022,26.9,31.4,23.6,0,0,40278.16,42917.58,23.7,5.53
26/02/2022,26.5,30.2,24.2,3.4,3.4,35481.19,42946.27,19.5,4.19
27/02/2022,26.9,32.2,23,0.2,0.2,40513.57,42975,24,5.71
28/02/2022,27.1,31.5,23.4,0.1,0.1,40244.08,43003.76,22.3,5.58
1/03/2022,27.3,31.6,24.1,0.3,0.3,40047.38,43032.54,24.3,5.64
2/03/2022,27.3,32,23.9,0,0,35391.62,43061.29,26,5.46
