time,temperature_2m_mean (Â°C),temperature_2m_max (Â°C),temperature_2m_min (Â°C),precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
1/01/2022 0:00,24.4,28.4,21.3,4.7,4.7,38855.23,42104.29,14.6,3.79
2/01/2022 0:00,24.1,27.8,21.8,2.2,2.2,34003.77,42110.25,17.1,3.49
3/01/2022 0:00,23.9,28.1,21.9,2.5,2.5,33565.27,42116.73,17.3,3.24
4/01/2022 0:00,23.7,27.5,21.6,0.8,0.8,33505.12,42123.8,18.6,3.28
5/01/2022 0:00,23.7,27,22,0.8,0.8,26934.76,42131.48,16.6,2.82
6/01/2022 0:00,24.6,28.9,21.9,0,0,36072.93,42139.73,18.8,4.06
7/01/2022 0:00,24.5,29.9,19.6,1.6,1.6,38798.03,42148.56,12.3,4.35
8/01/2022 0:00,23.8,29,19.3,0.1,0.1,38707.82,42157.94,16.7,4.1
9/01/2022 0:00,24.5,28.7,21.2,0,0,38688.98,42167.85,16.8,4.4
10/01/2022 0:00,23.1,25.4,20.9,1.8,1.8,0,42178.27,11.7,1.26
11/01/2022 0:00,24,29.3,19.8,1.1,1.1,38787.6,42189.18,13.8,3.9
12/01/2022 0:00,24.3,29.3,19.9,1.5,1.5,38692.19,42200.58,9.4,4.06
13/01/2022 0:00,24.6,29.7,20.2,0.2,0.2,38829.27,42212.43,9,4.25
14/01/2022 0:00,24.6,29.8,20.1,0.2,0.2,38893.34,42224.71,9.7,4.16
15/01/2022 0:00,25.1,30.8,20.2,0.2,0.2,39042.68,42237.43,12.2,4.64
16/01/2022 0:00,24.6,29.6,19.7,1,1,38699.97,42250.54,18,4.24
17/01/2022 0:00,24.8,29.4,21.3,0.4,0.4,38938.07,42264.04,16.6,4.62
18/01/2022 0:00,24.1,29.3,19.9,0.2,0.2,38841.58,42277.91,17.7,4.38
19/01/2022 0:00,24.4,29.4,21.3,0,0,38830.43,42292.12,16.4,4.86
20/01/2022 0:00,23.5,29.1,19.1,0,0,38908.63,42306.68,13.2,5.08
21/01/2022 0:00,23.2,30.1,16.3,0,0,39349.04,42321.54,12.3,5.23
22/01/2022 0:00,23.4,31.2,16.2,0,0,39438.31,42336.7,11.8,5.38
23/01/2022 0:00,23.9,31.4,17.4,0.6,0.6,39438.52,42352.16,9.6,5.18
24/01/2022 0:00,24.4,31.3,18.1,0,0,39346.43,42368.06,11.5,5.09
25/01/2022 0:00,24.3,30.5,19.2,0,0,38689.1,42384.45,11.5,4.83
26/01/2022 0:00,24,30.4,19.5,0,0,38968.25,42401.3,15.2,4.83
27/01/2022 0:00,23.6,29.2,18.8,0,0,38870.44,42418.59,15.9,4.98
28/01/2022 0:00,23.6,29.5,17.6,1.4,1.4,39255.3,42436.29,15.6,4.5
29/01/2022 0:00,25.4,29.9,22,0.9,0.9,32865.55,42454.37,7.6,3.9
30/01/2022 0:00,25.5,30.9,21.5,0.3,0.3,39456.97,42472.82,14.7,4.66
31/01/2022 0:00,25.2,29.6,21.7,1.2,1.2,39189.18,42491.61,12.7,4.24
1/02/2022 0:00,24.7,30.5,19.5,0,0,39967.02,42510.71,14.3,5.47
2/02/2022 0:00,23.7,30.7,16.4,0,0,39876.11,42530.11,14,5.38
3/02/2022 0:00,24.6,31.6,17.9,0,0,39683,42549.78,10.5,5.18
4/02/2022 0:00,25.4,32.7,18.5,0,0,40047.59,42569.69,9.4,5.47
5/02/2022 0:00,25.1,31.5,19.3,0,0,40071.39,42589.83,15.8,5.6
6/02/2022 0:00,24,30.8,17.3,0,0,39916.62,42610.16,15,5.67
7/02/2022 0:00,24.1,29.5,19.9,0.2,0.2,38446.3,42630.68,18.6,4.23
8/02/2022 0:00,24.5,30.5,18.7,0,0,36039.3,42651.35,15.6,5.37
9/02/2022 0:00,24.3,29.9,19.9,0,0,33374.05,42672.16,18.3,5.03
10/02/2022 0:00,24.2,29.4,19.9,11.6,11.6,31849.33,42693.08,13.1,3.91
11/02/2022 0:00,23.7,30.1,20.3,19.1,19.1,26831.85,42714.1,15.9,3.19
12/02/2022 0:00,23.4,28.7,21,4,4,14020.26,42735.21,11.8,2.43
13/02/2022 0:00,22,24.1,20.7,23,23,0,42756.57,11.2,1.25
14/02/2022 0:00,23.8,28,20.6,0.4,0.4,39381.87,42778.25,17.1,4.38
15/02/2022 0:00,23.6,28.6,18.8,0,0,40143.78,42800.23,17.3,4.76
16/02/2022 0:00,23.5,28.4,18.6,0,0,40340.66,42822.49,15.8,5.06
17/02/2022 0:00,23.4,29,18.6,0,0,39727.09,42844.99,14,5.13
18/02/2022 0:00,23.8,30,17.5,2.7,2.7,38799.64,42867.73,10.5,4.49
19/02/2022 0:00,24.3,29,20.8,3,3,33529.29,42890.67,13.3,3.62
20/02/2022 0:00,24.8,29.4,20.9,3.9,3.9,39912.37,42913.8,10.2,4.25
21/02/2022 0:00,25.3,30.5,20.5,0,0,40469.86,42937.1,10.8,4.93
22/02/2022 0:00,24.9,30.8,19.9,0,0,40496.02,42960.54,12.4,5.19
23/02/2022 0:00,24,30,18.2,1.6,1.6,40298.26,42984.11,12.6,4.74
24/02/2022 0:00,24.9,29.5,21,0.5,0.5,39562.12,43007.79,14.9,4.71
25/02/2022 0:00,24.6,30,20.3,1.2,1.2,38830.75,43031.55,15.6,4.82
26/02/2022 0:00,24.7,29.9,20.6,2.9,2.9,39931.12,43055.39,12.2,4.21
27/02/2022 0:00,24.7,29.5,20.7,0,0,40627.27,43079.26,18.7,5.2
28/02/2022 0:00,24.3,29.2,19.1,0,0,39759.87,43103.16,17.9,5.12
1/03/2022 0:00,24.4,29.9,20.2,0.6,0.6,38924.76,43127.08,17.9,4.71
2/03/2022 0:00,23.8,28.2,19.8,0.4,0.4,24555.77,43150.98,21.6,3.68
3/03/2022 0:00,24.7,28.5,21.4,0,0,27819.69,43174.85,19.1,4.33
4/03/2022 0:00,24.5,29.4,22,3.4,3.4,23914.9,43198.69,12,3.51
5/03/2022 0:00,24.7,29.8,20.4,1,1,40095.46,43222.65,13.1,4.53
6/03/2022 0:00,25.4,30.8,20.7,0,0,40808,43246.8,10.1,5.11
7/03/2022 0:00,25.5,31.5,19.8,0.3,0.3,40363.14,43271.12,11.5,5.18
8/03/2022 0:00,25.7,31.3,20.9,0.6,0.6,39523.44,43295.6,13.6,4.99
9/03/2022 0:00,25,31.7,18.7,0,0,40885.24,43320.2,14.5,5.7
10/03/2022 0:00,25,32,17.7,0,0,40911.07,43344.93,13,5.58
11/03/2022 0:00,25.5,31.6,19.5,0.1,0.1,40471.66,43369.75,14.6,5.42
12/03/2022 0:00,25,30.2,21.6,5,5,37251.12,43394.66,14.6,4.09
13/03/2022 0:00,25.8,30.9,21.4,0.4,0.4,38264.55,43419.62,17.6,5.07
14/03/2022 0:00,25.9,31.3,20.4,0,0,39277.18,43444.64,15.5,5.26
15/03/2022 0:00,25.4,32,19.2,0.2,0.2,38591.89,43469.69,11.5,5.29
16/03/2022 0:00,25.8,30.1,22,0.3,0.3,23231.6,43494.75,9,3.98
17/03/2022 0:00,25.8,30.9,22.5,1.7,1.7,37140.52,43519.8,10.9,4.08
18/03/2022 0:00,24.8,28.6,22.8,9.7,9.7,31301.59,43544.84,11.7,3.22
19/03/2022 0:00,24.8,29.5,22.3,2.4,2.4,40064.02,43569.84,16.9,4.02
20/03/2022 0:00,25.1,28.7,22.6,2.1,2.1,39965.18,43594.78,18.5,4.2
21/03/2022 0:00,25.8,30.8,22.2,1,1,40549.11,43619.65,12.5,5.07
22/03/2022 0:00,26.2,31.1,22.7,1,1,40896.35,43644.43,12.3,5.05
23/03/2022 0:00,25.7,32.6,22.6,5.4,5.4,39865.97,43669.09,13.6,4.83
24/03/2022 0:00,25,29.3,22.4,2.4,2.4,37638.73,43693.65,13.9,3.71
25/03/2022 0:00,25.2,30.2,21.6,2.6,2.6,34266.19,43718.24,10.9,4.11
26/03/2022 0:00,25.8,32.1,21.2,1.9,1.9,40025.28,43742.93,9.2,4.85
27/03/2022 0:00,25.9,32.2,21.1,1.9,1.9,40025.88,43767.7,11.1,5.1
28/03/2022 0:00,26.3,33.1,21.4,3.1,3.1,40551.49,43792.54,11.9,5.06
29/03/2022 0:00,25.7,31.9,21.5,4.5,4.5,35681.53,43817.42,13.8,4.58
30/03/2022 0:00,25.2,31.4,21.4,1.6,1.6,37812.77,43842.33,15.9,4.18
31/03/2022 0:00,26,33.3,21.3,0.4,0.4,40759.33,43867.26,14.2,5.27
1/04/2022 0:00,25.5,32.3,21.3,1.1,1.1,40036.23,43892.18,16.5,4.79
2/04/2022 0:00,25.1,31.4,21.5,14.1,14.1,30090.31,43917.09,10,3.83
3/04/2022 0:00,24.8,30.8,21.9,1.3,1.3,26681.52,43941.96,13.1,3.53
4/04/2022 0:00,24.7,31.3,21.2,10.8,10.8,36000,43966.77,14.4,4.33
5/04/2022 0:00,23.6,29.2,20.9,52.6,52.6,20266.94,43991.52,11.8,2.85
6/04/2022 0:00,23.8,29.7,20.7,2.2,2.2,30564.39,44016.19,14.8,3.92
7/04/2022 0:00,24.3,29.9,21,6.9,6.9,32027.85,44040.75,9.3,4.19
8/04/2022 0:00,23.7,28.2,21.7,16.7,16.7,23158.07,44065.19,10.8,3.06
9/04/2022 0:00,23.8,28.7,21.1,12.6,12.6,29835.74,44089.48,11.3,3.88
10/04/2022 0:00,23.4,27.5,21.8,6.1,6.1,22259.14,44113.62,11.8,2.88
11/04/2022 0:00,24.1,28.8,21.8,13.9,13.9,25200,44137.58,8.8,3.24
12/04/2022 0:00,24.3,29.2,21.7,9.6,9.6,25200,44161.35,8.5,3.58
13/04/2022 0:00,24.3,29.1,21.7,4.7,4.7,34238.98,44184.91,10.9,3.93
14/04/2022 0:00,25,29.7,21.6,3.6,3.6,33216.02,44208.42,12.8,4.42
15/04/2022 0:00,25.6,30.2,22.3,2.9,2.9,39229.57,44231.93,9.8,4.55
16/04/2022 0:00,25.4,30.8,21.7,2.6,2.6,39623.98,44255.41,14.7,4.84
17/04/2022 0:00,24.9,29.9,21.6,5.4,5.4,36062.31,44278.87,13.7,4.49
