time,temperature_2m_mean (Â°C),temperature_2m_max (Â°C),temperature_2m_min (Â°C),precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
1/01/2022,26.2,29.1,24.3,2.2,2.2,39025.59,42422.48,20.6,4.09
2/01/2022,26.6,29.2,24.7,2.8,2.8,36335.58,42427.14,23.2,4.36
3/01/2022,26.3,29.2,24.9,2,2,34760.62,42432.21,20.6,3.96
4/01/2022,25.4,28.6,23.7,13.8,13.8,29549.13,42437.74,17.1,3.25
5/01/2022,24.7,25.9,23.8,5.8,5.8,19825.72,42443.74,20.9,2.86
6/01/2022,25.6,27.7,23.3,1.8,1.8,38046.1,42450.2,15.1,3.53
7/01/2022,25.8,28.5,24.2,4.2,4.2,36831.42,42457.11,18.2,3.74
8/01/2022,25.5,27.4,24,4.7,4.7,37256.3,42464.45,13.6,3.87
9/01/2022,25.3,27.4,23.6,3.3,3.3,30773,42472.2,14.6,3.53
10/01/2022,25.2,27.1,24.1,5.5,5.5,21755.79,42480.36,16.5,3.17
11/01/2022,26,28.7,23.6,1,1,39020.51,42488.89,13.7,3.98
12/01/2022,26.2,27.7,24.7,0.4,0.4,38820.48,42497.81,10.2,4.09
13/01/2022,26.3,27.3,24.7,0.6,0.6,39239.56,42507.09,14.8,4.21
14/01/2022,26.2,27.6,25,1.2,1.2,39050.52,42516.71,15.9,3.88
15/01/2022,26.4,28.4,24.3,3.5,3.5,38767.89,42526.66,13.5,4.14
16/01/2022,26.5,29.2,24.6,2.2,2.2,38927.86,42536.93,23.6,4.02
17/01/2022,26.7,29,24.2,0.8,0.8,39002.43,42547.5,25.3,4.29
18/01/2022,25.8,28,23.5,0.2,0.2,39172.57,42558.36,25.3,4.43
19/01/2022,26,27.3,24.2,0.3,0.3,38974,42569.49,20,4.03
20/01/2022,25.9,27.3,23.4,0,0,39623.27,42580.89,17.6,4.43
21/01/2022,25.1,27.3,21.3,0,0,38043.81,42592.54,18.7,4.57
22/01/2022,24.7,27.2,21.2,2,2,39517.77,42604.42,20.1,4.36
23/01/2022,25.2,27,23.1,0,0,39220.92,42616.53,12.6,4.39
24/01/2022,25.5,27.1,22.5,0.1,0.1,39498.18,42628.98,11.5,4.18
25/01/2022,25.5,27.1,23.7,0.1,0.1,39209.25,42641.83,15.1,4.41
26/01/2022,25.7,27.9,23.9,1.2,1.2,39004.5,42655.04,18.9,4.38
27/01/2022,25.7,27.5,22.7,0,0,38814.52,42668.59,28.7,4.46
28/01/2022,26.1,28,24.4,1.2,1.2,39603.56,42682.47,22.2,4.85
29/01/2022,25.9,27.4,23.4,0,0,39808.38,42696.66,16.3,4.35
30/01/2022,26.6,27.9,25.1,0.1,0.1,39913.61,42711.12,20,4.22
31/01/2022,26,28.7,25,12.4,12.4,35030.3,42725.87,19.2,3.83
1/02/2022,26.3,28.9,24.3,0,0,39817.02,42740.86,24.5,4.81
2/02/2022,25.9,28.5,23.2,0,0,40135.16,42756.08,26.6,5.12
3/02/2022,26.3,28.6,23.9,0,0,40254.92,42771.51,14.5,5.05
4/02/2022,26.3,28.1,24.2,0.1,0.1,39830.73,42787.14,18.7,4.68
5/02/2022,26.6,28,24.5,0,0,39836.44,42802.95,26.9,4.75
6/02/2022,26.7,29.6,24,0,0,38648.06,42818.92,21.1,4.87
7/02/2022,26.2,28.4,24.9,5.2,5.2,28561.27,42835.03,16.6,3.72
8/02/2022,26.1,27.8,24.7,0,0,23999.27,42851.27,12.7,3.39
9/02/2022,26.5,28,24.1,0.1,0.1,36765.79,42867.62,14.9,4.32
10/02/2022,26.7,27.9,25.2,2.5,2.5,18007.53,42884.06,13.5,3.1
