time,temperature_2m_mean (Â°C),temperature_2m_max (Â°C),temperature_2m_min (Â°C),precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
1/01/2022,24.7,28.2,22.3,2.3,2.3,36256.2,42234.69,17,3.26
2/01/2022,24.5,28.2,22.6,2,2,33716.38,42240.11,17.2,3.31
3/01/2022,24.1,28,22.3,9,9,27462.74,42246.01,19.1,3.1
4/01/2022,24.4,27.8,22.6,3.9,3.9,38362.98,42252.45,22.4,3.4
5/01/2022,24.2,28.1,22.5,5.6,5.6,37196.36,42259.44,16.6,3.1
6/01/2022,25.1,28.5,23,1.5,1.5,38782.49,42266.96,23.3,3.55
7/01/2022,25.2,28.4,22.8,5.1,5.1,38992.08,42275,16.8,3.66
8/01/2022,24.6,28.3,22.6,3.1,3.1,36649.75,42283.54,18.9,3.41
9/01/2022,24.8,28.2,22.8,2.6,2.6,31752.95,42292.56,19.2,3.56
10/01/2022,23.7,26.4,22,18.4,18.4,15473.54,42302.06,16.6,2.04
11/01/2022,24.9,28.4,22.5,5.3,5.3,38919.95,42312,16.6,3.63
12/01/2022,25.2,29.2,22.5,6.1,6.1,38795.85,42322.38,14,3.85
13/01/2022,24.9,29.6,22,7.6,7.6,33057.13,42333.17,7.6,3.59
14/01/2022,25.2,30,21.8,3,3,38866.6,42344.36,9.2,3.73
15/01/2022,25.6,30,22.4,1.6,1.6,38851.67,42355.95,14.3,4.18
16/01/2022,24.9,28.2,23.1,3.2,3.2,36132.12,42367.89,17.9,3.58
17/01/2022,25.3,28.9,22.7,0.7,0.7,38954.73,42380.19,17.7,4.17
18/01/2022,24.9,28.2,22.9,2.4,2.4,38940.5,42392.82,18.9,4.1
19/01/2022,25.3,29.7,22.6,0,0,38801.29,42405.78,19.5,4.8
20/01/2022,24.8,29.4,21.5,0,0,39158.94,42419.04,15.9,4.82
21/01/2022,23.8,30.8,18.1,0,0,39482.15,42432.58,14.3,5.37
22/01/2022,23.7,31,17.2,0,0,39312.38,42446.4,13,5.24
23/01/2022,24.5,31,19.2,0,0,39308.85,42460.48,8.2,5.06
24/01/2022,24.7,30.5,19.7,0,0,39306.07,42474.98,8.3,4.87
25/01/2022,24.3,29.7,18.5,0,0,38780.55,42489.91,10.1,4.64
26/01/2022,24,29.2,19.4,0,0,39390.85,42505.27,12.5,4.72
27/01/2022,24.3,29.6,20.3,0,0,39034.19,42521.02,17.9,4.61
28/01/2022,24.9,29.7,20.6,1.3,1.3,38851.02,42537.16,16.7,4.38
29/01/2022,25.6,29.5,22.5,1.7,1.7,38228.82,42553.64,10.1,3.75
30/01/2022,25.6,30.1,21.7,2.8,2.8,39028.1,42570.46,13,4.13
31/01/2022,25.3,29.2,22.5,1.1,1.1,33541.61,42587.59,15.3,3.65
1/02/2022,25.4,30.9,21.7,0,0,39776.19,42605.01,15.7,5.13
2/02/2022,24.5,30,20,0,0,39217.75,42622.7,13,5.18
3/02/2022,25.8,32,21.2,0.2,0.2,39695.96,42640.62,10.2,5.23
4/02/2022,26,32.5,21.3,0,0,39799.03,42658.78,14,5.36
5/02/2022,25.6,31.6,20.5,0,0,39903.93,42677.14,18.1,5.38
6/02/2022,25.7,31,21.3,0,0,38777.13,42695.69,15.8,5.53
7/02/2022,25.7,29.4,23.7,0.9,0.9,26589.21,42714.4,21.9,4
8/02/2022,25.7,30.2,21.4,0,0,34347.01,42733.26,17.3,4.86
9/02/2022,26.3,31.2,23.5,0,0,36452.87,42752.24,18.5,5.66
10/02/2022,25.6,31.6,21.7,5,5,34223.73,42771.33,13.2,4.41
11/02/2022,24.8,29.9,21.9,6.8,6.8,29916.74,42790.5,13.5,3.2
12/02/2022,24.8,29.8,22,5.2,5.2,32182.62,42809.75,15.8,3.42
13/02/2022,22.9,24.4,21.8,23,23,0,42829.25,14.3,1.2
14/02/2022,24.9,28.8,22.5,0.4,0.4,33731.36,42849.03,21.2,3.81
15/02/2022,25.5,30.9,22.5,0,0,38877.3,42869.09,19.5,5.43
16/02/2022,25.4,31.3,21.7,0,0,38885.34,42889.39,18.6,5.56
17/02/2022,25.5,30.4,21.9,0,0,39551.09,42909.93,16.5,5.61
18/02/2022,25.8,30.9,20.9,0.1,0.1,37067.12,42930.68,12.6,4.73
19/02/2022,25.5,29.6,22.8,1.4,1.4,33048.56,42951.62,14.7,3.75
20/02/2022,26.3,31.8,22.1,1,1,37348.45,42972.73,12.1,4.38
21/02/2022,26.9,32.2,22.2,1.7,1.7,40435.29,42994,11.9,4.98
22/02/2022,26.5,32,22.6,0.6,0.6,40353.34,43015.4,11.6,5.09
23/02/2022,25.2,29.8,21.9,3,3,39761.6,43036.92,17.9,4.13
24/02/2022,26,30,22.8,1.1,1.1,40394.46,43058.54,17.7,4.67
25/02/2022,25.7,29.6,23.1,1.9,1.9,31504.63,43080.23,18.7,4.18
26/02/2022,25.3,30.3,22.9,1.2,1.2,31623.39,43102,15.8,3.91
27/02/2022,26.2,31,23,0,0,40561.09,43123.8,20,5.57
28/02/2022,26.5,31.1,23.1,0,0,39152.59,43145.64,20.5,5.71
1/03/2022,26.7,30.7,23.9,1.6,1.6,39146.15,43167.48,22.1,5.39
2/03/2022,25.1,28.5,23.1,2.5,2.5,13338.56,43189.3,24.5,3.25
3/03/2022,26,30.3,23.1,1.5,1.5,32918.02,43211.12,22.9,4.9
4/03/2022,25.3,29.7,22.2,2.2,2.2,19911.92,43232.89,10,3.09
5/03/2022,26.3,32.4,22.2,2,2,37489.23,43254.78,9.8,4.9
6/03/2022,26.1,32.5,21.4,0.5,0.5,36638.45,43276.85,11.6,4.57
7/03/2022,25.9,31.6,22.3,4.3,4.3,39694.71,43299.07,11.3,4.17
8/03/2022,26.5,31.5,23.3,4.9,4.9,40158.48,43321.44,15.8,4.85
9/03/2022,26.4,32,22.3,0,0,40794.07,43343.93,15,5.64
10/03/2022,26.8,32.7,22.4,0.1,0.1,40616.91,43366.52,14.8,5.69
11/03/2022,26.7,32.7,22.1,1.3,1.3,36030.96,43389.21,18.3,5.25
12/03/2022,25.9,32.4,22.8,9.2,9.2,35827.27,43411.97,14.5,4.42
13/03/2022,26.7,31.4,23.1,0.3,0.3,39455.91,43434.8,18,5
14/03/2022,27,32,22.8,0.2,0.2,40623.73,43457.67,16.5,5.21
