time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
1/01/2022,15.2,18.2,12.8,1.5,1.5,38931.35,42205.74,13.7,2.7
2/01/2022,15.6,18.7,13.6,2.9,2.9,35190.02,42211.28,15,2.77
3/01/2022,15.2,18,13.9,7.1,7.1,28407.83,42217.31,15.9,2.22
4/01/2022,15,17.5,13.5,8.3,8.3,29842.19,42223.89,11.2,2.08
5/01/2022,15.1,17.3,13.2,3.7,3.7,30495.18,42231.03,9,2.29
6/01/2022,15.4,19.1,12.4,0.1,0.1,38855.23,42238.72,13,3.17
7/01/2022,15.4,20,11.5,0.5,0.5,38966.51,42246.93,10.1,3.6
8/01/2022,14.6,19.6,9.7,1.1,1.1,37106.28,42255.66,10.8,3.51
9/01/2022,14.6,18.3,12.3,5.8,5.8,27631.94,42264.88,8.8,2.47
10/01/2022,14.6,17.3,12.2,9.6,9.6,9309.16,42274.58,8.8,1.65
11/01/2022,15.2,19.2,11.8,1.1,1.1,38886.87,42284.73,10.5,3.01
12/01/2022,15.3,19,11.6,1.4,1.4,38791.16,42295.34,6,3.31
13/01/2022,15.4,19.3,12,1.8,1.8,38927.65,42306.36,9.1,3.23
14/01/2022,14.6,19,10.4,1.4,1.4,38831.32,42317.8,8.2,3.32
15/01/2022,15.3,19.9,11,0.7,0.7,38895.39,42329.63,8.1,3.84
16/01/2022,14.9,19.4,11.3,1.1,1.1,39128.95,42341.84,13.5,3.37
17/01/2022,14.7,18.6,12.4,1,1,38696.93,42354.4,13.6,3.19
18/01/2022,14.7,18.7,10.5,2.6,2.6,38766.15,42367.31,10.1,3.35
19/01/2022,15.1,19.3,13,1.2,1.2,36052.5,42380.55,9.1,3.58
20/01/2022,14.5,18.5,10.1,0,0,39532.87,42394.09,10.5,4.13
21/01/2022,14.4,18.3,10,0,0,39838.62,42407.93,12.2,4.54
22/01/2022,13,18.6,7.7,0,0,39801.8,42422.05,13.7,4.78
23/01/2022,12.9,18.8,6.7,0,0,39529.74,42436.43,11.5,4.6
24/01/2022,13.5,18.9,8.4,0,0,39066.89,42451.24,8.4,4.38
25/01/2022,13.4,18.6,7.7,0,0,38596.73,42466.5,9.1,3.89
26/01/2022,13.4,18.9,8.1,0.7,0.7,38870.46,42482.18,10.6,3.56
27/01/2022,13.5,18.7,8.3,0,0,36705.55,42498.28,9,3.91
28/01/2022,14.1,20.1,8,0.7,0.7,38862.63,42514.76,11.3,3.75
29/01/2022,16.1,21.1,13.1,1.1,1.1,38735.39,42531.6,9.4,3.71
30/01/2022,15.7,20.8,9.8,0.1,0.1,39837.14,42548.79,10.7,4.08
31/01/2022,15.2,18.7,12.3,2.7,2.7,35577.7,42566.28,8.4,2.55
1/02/2022,14.9,20.8,9.4,0,0,39353.86,42584.07,8.5,4.49
2/02/2022,15.8,21.1,9.9,0.1,0.1,40075.8,42602.14,7.9,4.45
3/02/2022,15.5,20.7,11.1,2.6,2.6,39866.18,42620.45,7.9,4.15
4/02/2022,16.9,21.2,10.6,0,0,40120.04,42639,11.5,4.7
5/02/2022,16.1,21.1,10.6,1.1,1.1,39679.82,42657.76,9.1,4.49
6/02/2022,14.3,21,7.7,0,0,39585.75,42676.7,8.3,4.84
7/02/2022,14.3,18.9,10.2,2.2,2.2,22214.98,42695.81,11.2,2.52
8/02/2022,15.1,21.2,10.3,0,0,35033.25,42715.07,9,4.19
9/02/2022,15.6,20.9,11.5,0,0,33058.96,42734.46,5.4,4.06
10/02/2022,15.2,19.5,11.6,9.3,9.3,38005.25,42753.95,5.6,3.21
11/02/2022,15.4,19.7,12.5,9.7,9.7,17845.58,42773.54,6.6,2.33
12/02/2022,15.6,19.2,12.6,3.9,3.9,29505.72,42793.2,6.6,2.67
13/02/2022,14.6,16.4,13,9.5,9.5,572.52,42813.11,6.7,1.18
14/02/2022,14.9,19.3,12.7,2,2,37326.66,42833.31,8.3,2.97
15/02/2022,15.1,18.8,12.2,0,0,39366.8,42853.8,10.5,3.65
16/02/2022,15.8,19.3,12.7,0,0,39912.07,42874.54,11.1,4.39
17/02/2022,16.3,20.4,11.6,0,0,40419.61,42895.51,11.1,4.79
18/02/2022,15.6,21.6,10.4,1.8,1.8,37798.61,42916.7,4.7,4.17
19/02/2022,15.7,19.8,12.5,0.8,0.8,11047.29,42938.08,6.8,2.41
20/02/2022,16.3,20.2,11.7,1.4,1.4,40492.45,42959.65,10,3.91
21/02/2022,16.7,20.9,12.5,0,0,40516.96,42981.36,11.3,4.43
22/02/2022,16,20.4,9.5,0,0,40541.53,43003.22,11.8,4.62
23/02/2022,14.6,20.9,8.1,1.5,1.5,39718.77,43025.2,8.2,4.53
24/02/2022,15.3,19.1,12.9,3.9,3.9,37704.18,43047.27,11.7,3.15
25/02/2022,14.7,19.5,10.4,1.8,1.8,39545.65,43069.43,8.7,3.77
26/02/2022,15.5,19.4,12.8,1.6,1.6,40103.44,43091.64,10.9,3.47
27/02/2022,15.3,19.5,12.2,0,0,40664.68,43113.91,12.6,3.99
28/02/2022,14.4,20.1,9.2,1.9,1.9,39396.25,43136.2,7.7,3.98
1/03/2022,15,19.9,11.3,1.4,1.4,38991.91,43158.5,15.4,4.2
2/03/2022,14.9,17.6,12.3,4,4,18316.24,43180.79,17,2.75
3/03/2022,15,18.7,12,1.2,1.2,28498.59,43203.06,16,2.84
4/03/2022,16,19.5,12.8,1.8,1.8,30756.28,43225.29,11.8,3.12
5/03/2022,16.4,20.5,12.3,0.7,0.7,40368.84,43247.64,11.2,4.14
6/03/2022,16.2,21.6,11.8,1.4,1.4,39964.52,43270.18,11.9,4.19
7/03/2022,16.2,21.9,10.5,1.3,1.3,39882.65,43292.87,11.3,4.27
8/03/2022,15.8,20.8,11.7,1.8,1.8,37815.22,43315.7,8.1,3.99
9/03/2022,15.6,21.2,10.9,0,0,40906.34,43338.66,8.9,4.99
10/03/2022,16.4,21.7,11.1,0.7,0.7,40708.65,43361.72,8.3,4.9
11/03/2022,16.5,21.6,11.4,0.1,0.1,40202.95,43384.89,11,4.55
12/03/2022,15.8,20,12.5,1.6,1.6,37836.46,43408.12,9.2,3.51
13/03/2022,16.1,20.8,13.2,1.2,1.2,38690.83,43431.42,12,3.87
14/03/2022,16.6,21.8,12.3,0,0,39129.83,43454.77,9,4.65
15/03/2022,16.7,21.8,12.5,0.1,0.1,32527.63,43478.15,11.2,4.15
16/03/2022,16.2,20,13.7,0,0,19483.47,43501.54,12.3,2.79
17/03/2022,16.7,20.8,14,1.2,1.2,37810.46,43524.93,9.7,3.75
18/03/2022,15.8,19.2,13.1,2.3,2.3,24085.14,43548.29,8.3,2.38
19/03/2022,15.6,19.7,12.7,0.9,0.9,40431.07,43571.63,15.9,3.37
20/03/2022,15.6,19,12.7,0.2,0.2,41169.79,43594.91,16.2,3.68
21/03/2022,17.3,21.5,13.9,1.2,1.2,40906.11,43618.13,10.5,4.57
22/03/2022,17.1,22,12.6,1,1,40725.16,43641.26,8.4,4.6
23/03/2022,16.5,21.9,12.2,3.4,3.4,39920.43,43664.3,8,3.91
24/03/2022,16.4,19.9,13.7,2.6,2.6,36018.07,43687.22,5.6,3.12
25/03/2022,16.5,21.7,12.7,2.4,2.4,39421.38,43710.19,10.7,3.85
26/03/2022,16,21.2,11.6,1.7,1.7,40856.54,43733.25,8.5,4.25
27/03/2022,16.8,22.2,12.1,1,1,39926.34,43756.38,7.4,4.55
28/03/2022,17.3,22.6,12.8,1,1,40648.17,43779.58,7.8,4.56
29/03/2022,16.7,22.2,12.7,1.9,1.9,41058.47,43802.81,9.5,4.48
30/03/2022,15.7,20.7,12.7,5,5,40134.04,43826.08,8,3.43
31/03/2022,16.4,21.3,12.2,0.8,0.8,40850.47,43849.37,10.5,4.36
1/04/2022,15.8,20.9,11.9,3.2,3.2,39930.89,43872.64,11.6,3.56
2/04/2022,15.4,20.3,12.4,18.7,18.7,31582.25,43895.91,4.7,3.06
3/04/2022,15.2,19.4,12.2,14.8,14.8,36589.27,43919.15,7.9,3.03
4/04/2022,15.3,19.7,11,3.2,3.2,37344.1,43942.33,8.7,3.42
5/04/2022,15.3,19.4,12.8,20.9,20.9,28152.5,43965.46,5.4,2.96
6/04/2022,14.8,18.6,12.4,16.7,16.7,25200,43988.5,6.2,2.47
7/04/2022,15.3,19.4,12,10.6,10.6,32568.4,44011.45,8.5,3.33
8/04/2022,15.1,18,12.5,15,15,12698.62,44034.29,8,2.15
9/04/2022,15.2,18.7,12.3,3,3,32797.12,44056.99,9.3,3.01
10/04/2022,15.1,18.8,12.1,6.7,6.7,23095.52,44079.55,10.2,2.34
11/04/2022,16.4,19.6,14.8,5.6,5.6,27679.94,44101.94,12,2.59
12/04/2022,16.1,20.1,13.5,11.8,11.8,21600,44124.16,8.3,2.74
13/04/2022,16.2,20.4,13,7.9,7.9,28394.68,44146.18,7,3.1
14/04/2022,16.1,20.5,12.8,4.6,4.6,29449.24,44168.15,10.6,3.19
15/04/2022,16.9,21.1,12.7,2.5,2.5,37182.02,44190.12,8.9,3.7
16/04/2022,18.1,21.2,15,1.9,1.9,39341.73,44212.08,6.2,3.76
17/04/2022,16.7,20.2,13.8,4.8,4.8,35714.55,44234,6.4,3.21
18/04/2022,16.5,20.5,13.3,2.2,2.2,37918.28,44255.88,7.9,3.81
19/04/2022,16.1,19.4,13.3,1.9,1.9,38698.33,44277.69,7.1,3.23
20/04/2022,17.3,21.1,14.2,2.5,2.5,40247.65,44299.42,9,4.15
21/04/2022,16.4,20.2,13.3,4.1,4.1,26315.43,44321.05,4.3,3.06
22/04/2022,15.9,19.8,12.8,9.8,9.8,29439.45,44342.57,5.8,2.99
23/04/2022,15.8,18.7,12.7,9.1,9.1,18233.57,44363.95,7.2,2.26
24/04/2022,16.9,20.7,13.8,4.4,4.4,32400,44385.19,6.2,3.67
25/04/2022,16.2,20.8,13.3,1.5,1.5,32799.58,44406.26,8.2,3.52
26/04/2022,16.3,20.9,12.6,2.6,2.6,38342.1,44427.14,7.3,3.65
27/04/2022,16.9,21.4,12.9,1.4,1.4,39909.08,44447.82,5.5,4.26
28/04/2022,16.4,20.8,13.7,9.6,9.6,28097.35,44468.28,6.4,2.89
29/04/2022,16.6,20.7,13.3,8,8,36328.35,44488.5,6.6,3.46
30/04/2022,16.3,20.1,13.4,3.3,3.3,40052.96,44508.46,11.1,3.47
1/05/2022,16.1,19.8,14,0.3,0.3,34845.13,44528.13,14.3,3.29
2/05/2022,17,21,14.6,0,0,40449.93,44547.51,13.8,4.16
3/05/2022,17.2,21.2,13.8,2.2,2.2,38769.23,44566.58,6.9,4.26
4/05/2022,16.7,20.7,13.9,1.2,1.2,40253.89,44585.46,9.1,3.74
5/05/2022,15.9,19.3,13.7,4.7,4.7,28822.91,44604.21,13.3,2.84
6/05/2022,16.2,18.7,13.9,2,2,36392.12,44622.81,13,3.19
7/05/2022,16.8,20.6,13.8,0,0,33809.93,44641.24,11.4,3.74
8/05/2022,16.8,20.6,14.3,0.1,0.1,33581.27,44659.48,11.9,3.46
9/05/2022,16.5,19.8,14.8,1.7,1.7,36516.04,44677.52,20.2,3.18
10/05/2022,16,18.2,14.7,7.5,7.5,32457.3,44695.34,19.9,2.58
11/05/2022,15.2,16.8,13.8,27.7,27.7,36463.32,44712.93,26.2,2.39
12/05/2022,15.5,17.4,13.7,6.6,6.6,38117.7,44730.26,22.3,2.58
13/05/2022,16,17.1,15.5,49.8,49.8,18631.76,44747.32,22.6,1.78
14/05/2022,15.9,16.7,15.2,59.3,59.3,256.3,44764.09,26.2,1.07
15/05/2022,15.3,16.4,14.5,37.9,37.9,3852.14,44780.54,24.5,1.29
16/05/2022,15.8,17.9,14.1,25.6,25.6,24926.34,44796.68,25.3,2.37
17/05/2022,16.3,18.3,15.1,16.1,16.1,31427.78,44812.46,26,2.23
18/05/2022,16.3,17.9,15.5,16.4,16.4,34505.1,44827.88,27.2,2.75
19/05/2022,16.2,18.5,14.7,12.8,12.8,36055.46,44842.92,23.8,2.84
20/05/2022,16.1,18.9,14.8,5.9,5.9,38587.66,44857.55,22.2,3.1
21/05/2022,15.9,19.4,14.5,6.6,6.6,36568.46,44871.75,22.5,3.09
22/05/2022,15.4,18.8,14,7.3,7.3,39855.55,44885.52,26.7,2.9
23/05/2022,15.4,18,14,10.2,10.2,36888.95,44898.83,20.8,2.8
24/05/2022,15.7,17.2,14.7,6.2,6.2,18886.57,44911.79,18.4,1.8
25/05/2022,16.1,18.4,14.9,2.9,2.9,25919.95,44924.42,14.4,2.46
26/05/2022,15.9,18.6,14.4,2,2,36552.7,44936.71,17.4,2.85
27/05/2022,15.3,18,13.6,3.8,3.8,39883.44,44948.66,20.1,3
28/05/2022,15.5,18.9,13.9,3.7,3.7,37845.09,44960.25,22.4,2.98
29/05/2022,15,16.5,14.2,10,10,17800.13,44971.47,21.9,1.77
30/05/2022,15.5,17.6,14.2,7.4,7.4,26376.45,44982.3,22.9,2.29
31/05/2022,15.1,16.5,14.2,13.7,13.7,8323.44,44992.74,25.8,1.31
1/06/2022,14.9,16.8,13.7,12.9,12.9,19189.18,45002.77,25.8,1.74
2/06/2022,14.7,16,13.2,14.1,14.1,31700.72,45012.38,29.7,2.15
3/06/2022,15.4,17.4,14.2,8.9,8.9,32437.71,45021.56,18.9,2.45
4/06/2022,16.1,19.9,14.3,5.1,5.1,32840.62,45030.29,16.1,3.03
5/06/2022,15.8,19.2,14.2,1.1,1.1,33465.71,45038.55,14.7,2.76
6/06/2022,15.4,17.9,14.3,2.9,2.9,24533.64,45046.36,18.1,2.43
7/06/2022,15.5,17.5,14.3,2.7,2.7,29044.73,45053.68,21.1,2.31
8/06/2022,15.5,18.4,13.9,0.8,0.8,38474.07,45060.5,17.9,3.12
9/06/2022,15.5,18.3,13.8,2.8,2.8,29840.94,45066.82,18,2.42
10/06/2022,15.7,19.2,13.7,0.5,0.5,38821.29,45072.61,16.9,3.23
11/06/2022,15.1,18.4,12.8,1.6,1.6,38663.59,45077.88,18.8,2.88
12/06/2022,15,17.9,13.1,2.1,2.1,36724.53,45082.61,15.2,2.57
13/06/2022,15.2,18.6,12.8,1.2,1.2,38280.91,45086.83,15.1,3.23
14/06/2022,16.1,20.3,12.4,5.6,5.6,32400,45090.56,9.5,3.16
15/06/2022,15.5,18.6,13.6,14,14,26466.85,45093.79,10.2,2.44
16/06/2022,15.5,18.3,13.8,3.6,3.6,11277.72,45096.53,11.9,2.08
17/06/2022,15.2,18.6,13.5,5.4,5.4,28465.91,45098.79,12.9,2.56
18/06/2022,15.9,19,13.3,1.6,1.6,26876.82,45100.54,14,2.62
19/06/2022,15.1,18.2,12.5,12,12,30040.05,45101.8,14.4,2.16
20/06/2022,15.4,18.4,12.5,2.1,2.1,40047.72,45102.58,14.3,2.84
21/06/2022,14.9,16.9,13.3,4.3,4.3,38284.6,45102.86,18.2,2.61
22/06/2022,14.6,17.4,12.7,2.7,2.7,39805.38,45102.65,21,2.78
23/06/2022,15.3,18.7,13.1,1.1,1.1,36000,45101.95,16,3.04
24/06/2022,15.1,17.5,13.9,6.3,6.3,36000,45100.76,19,2.6
25/06/2022,14.6,16.5,13.4,6.1,6.1,37317.81,45099.09,26.6,2.19
26/06/2022,15.1,17.7,13.7,2.2,2.2,27739.41,45096.93,22,2.07
27/06/2022,15.1,18.6,13.6,1.8,1.8,41494.45,45094.29,25.3,3.04
28/06/2022,15.1,18.2,13.7,3.8,3.8,40050.6,45091.16,22.4,2.98
29/06/2022,15.3,18,14,6.9,6.9,36424.03,45087.55,22.7,2.52
30/06/2022,15.3,18.3,14.2,11.3,11.3,31495.48,45083.46,21.3,2.36
1/07/2022,15.9,18.4,13.7,2.6,2.6,40649.97,45078.91,19.6,3.34
2/07/2022,16.3,19.7,13.8,3.5,3.5,35914.61,45073.87,17.3,3.17
3/07/2022,15.3,17,14.3,40.8,40.8,21283.18,45068.31,25.1,1.68
4/07/2022,14.7,17.2,12.7,12.1,12.1,36308.91,45062.21,28.4,2.29
5/07/2022,14.5,15.3,13.9,39.1,39.1,16162.09,45055.59,26.3,1.65
6/07/2022,14.5,16.5,13.6,8.4,8.4,28272.4,45048.47,27.4,1.91
7/07/2022,14.7,15.9,13.5,2.6,2.6,0,45040.85,26,1.36
8/07/2022,15.2,18,13,3.7,3.7,40384.23,45032.75,24.1,3.06
9/07/2022,14.2,16,13.1,13.4,13.4,32653.11,45024.18,28.5,1.9
10/07/2022,14.2,16.1,12.9,8.8,8.8,29963.18,45015.16,26.7,1.95
11/07/2022,13.9,14.8,13.2,19.8,19.8,1039.25,45005.7,25.4,1.08
12/07/2022,14.3,17.1,13.1,2.8,2.8,25826.92,44995.81,23.7,2.14
13/07/2022,13.9,16.3,12.7,9.9,9.9,33185.14,44985.5,25.7,2.24
14/07/2022,14,16.8,12.6,13.1,13.1,38225.86,44974.8,25.7,2.5
15/07/2022,14.8,17.6,13,5.1,5.1,38596.68,44963.71,25.1,2.81
16/07/2022,15.2,18.7,13.4,1.2,1.2,36178.76,44952.25,19.5,3.06
17/07/2022,16.3,19.8,14.1,1,1,30483.87,44940.43,12.6,3.19
18/07/2022,16.4,19.9,14.1,3.5,3.5,30496.82,44928.27,6.7,2.58
19/07/2022,16.5,19.8,14,11,11,39654.98,44915.77,7.2,3.73
20/07/2022,16.2,19.4,13.3,3.1,3.1,34932.09,44902.95,9.4,3.15
21/07/2022,16.4,19.8,14.6,7.4,7.4,31840.83,44889.82,9.8,3
22/07/2022,15.4,17.8,14.4,9.3,9.3,14529.27,44876.4,18.6,1.86
23/07/2022,14.7,17,13.5,9.9,9.9,31858.61,44862.57,25.6,2.12
24/07/2022,14.7,17.8,12.9,2.1,2.1,17681.53,44848.29,26.2,2.35
25/07/2022,16.2,19.8,12.9,1,1,39600,44833.61,13.8,4.01
26/07/2022,16.1,19.8,13.1,3.2,3.2,27162.18,44818.52,9.4,3.17
27/07/2022,16.1,19.3,14,10.3,10.3,25107.23,44803.05,7.2,2.58
28/07/2022,15.7,18.7,13.7,3.5,3.5,12893.81,44787.23,7.6,2.2
29/07/2022,16,18.7,13,6,6,0,44771.07,5.6,1.85
30/07/2022,15.5,20,12.3,2.2,2.2,27001.16,44754.59,8.2,2.84
31/07/2022,15.6,19.8,12.7,3.3,3.3,25374.94,44737.8,10.4,2.89
1/08/2022,14.5,16.3,12.9,56.4,56.4,12628.64,44720.74,29.4,1.3
2/08/2022,14.2,15.4,13.3,54.2,54.2,3600,44703.4,30.4,0.97
3/08/2022,14.3,14.9,13.3,54.1,54.1,466.79,44685.82,30.9,1.04
4/08/2022,14.2,15,13.5,54.2,54.2,2931.39,44668.02,31,1.05
5/08/2022,13.8,14.9,12.9,25.8,25.8,28805.41,44650,34.2,1.75
6/08/2022,14,15.3,13,8.5,8.5,7983.93,44631.78,26.7,1.66
7/08/2022,14,17,12.5,3.5,3.5,34677.72,44613.39,27.4,2.5
8/08/2022,13.6,15.7,12.1,10.2,10.2,32960.52,44594.84,28,2.48
9/08/2022,14.3,17.3,12,2.6,2.6,39715.94,44576.15,26.3,3.19
10/08/2022,14.2,17.9,11.2,0,0,41568.84,44557.33,22.3,3.44
11/08/2022,15,18.6,12.2,0.1,0.1,41552.07,44538.38,26.1,3.43
12/08/2022,15.1,18.8,13.1,3.4,3.4,34282.71,44519.19,23.1,2.78
13/08/2022,15.5,19.4,12.3,1.1,1.1,40476.28,44499.7,14.6,3.4
14/08/2022,16.1,20.2,12.1,2.4,2.4,40029.46,44479.94,8.2,3.58
15/08/2022,16.4,21,12.4,1.8,1.8,39715.98,44459.93,6.5,3.73
16/08/2022,16.9,20.5,12.6,1.9,1.9,39909.86,44439.68,7.2,3.78
17/08/2022,16.2,19.5,12.7,1.1,1.1,39005.91,44419.22,9.2,3.14
18/08/2022,15.6,19.1,13.7,1.6,1.6,32904.54,44398.56,12.4,2.81
19/08/2022,15.4,18.2,13.9,3.9,3.9,32496.86,44377.71,15.9,2.93
20/08/2022,15.8,18.9,13.7,1.8,1.8,34590.27,44356.71,14.3,2.98
21/08/2022,15.2,18.3,13.7,2.5,2.5,33193.68,44335.55,19.9,3.07
22/08/2022,14.9,18,13.8,13,13,30478.9,44314.27,26.3,2.25
23/08/2022,14.6,17.2,13.2,9.5,9.5,31467.25,44292.88,27.2,2.5
24/08/2022,14.3,15.4,13.6,12.7,12.7,8827.61,44271.39,24.1,1.44
25/08/2022,14.9,18.1,13.1,5.2,5.2,27115.17,44249.82,17.6,2.63
26/08/2022,15.2,18.3,13.5,8.8,8.8,11570.3,44228.19,18.1,2.11
27/08/2022,14.7,17.4,13,10.9,10.9,24524.44,44206.5,22.5,2.37
28/08/2022,14.6,17.8,12.9,3.3,3.3,36439.49,44184.79,23.6,2.94
29/08/2022,15.5,19.2,13.3,13.8,13.8,35302.66,44163.06,13.9,2.88
30/08/2022,15.9,19.5,14,34.2,34.2,18531.95,44141.32,8.2,2.39
31/08/2022,14.8,15.8,14,41,41,0,44119.59,16.7,1.03
1/09/2022,14.3,15.7,13.3,18.1,18.1,8094.34,44097.73,19.7,1.51
