time,temperature_2m_mean (Â°C),temperature_2m_max (Â°C),temperature_2m_min (Â°C),precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
1/01/2022,24.2,27.9,22.4,17,17,24835.1,42017.18,15.1,2.39
2/01/2022,23.6,25.1,22.6,10.7,10.7,2234.91,42023.49,12.5,1.4
3/01/2022,23.9,27.1,22.3,30.1,30.1,15508.47,42030.36,14.8,2.16
4/01/2022,24.6,28,22,5.6,5.6,24239.23,42037.84,17.2,2.59
5/01/2022,24.5,27.3,22.6,4.2,4.2,25724,42045.98,13.8,2.39
6/01/2022,25.4,29.1,22.3,2.7,2.7,37449,42054.73,19,3.69
7/01/2022,25.4,28.8,22.7,2.3,2.3,38800.64,42064.09,14.7,3.36
8/01/2022,24.8,29.2,22,3.2,3.2,33995.38,42074.02,14.5,3.33
9/01/2022,25.7,29.9,22.6,0.9,0.9,37452.82,42084.52,15.1,4.11
10/01/2022,23.8,25.1,23,16,16,0,42095.56,11.8,1.13
11/01/2022,24.7,28.2,23.1,8.9,8.9,30886.24,42107.13,10.8,2.63
12/01/2022,25.7,30,23,1.3,1.3,38711.41,42119.2,12.4,3.67
13/01/2022,26,30.7,22.4,1.5,1.5,38763.77,42131.75,9.9,4.21
14/01/2022,26,30.5,22.6,0.7,0.7,38680.89,42144.78,8.4,3.93
15/01/2022,26,30.6,22.6,0.5,0.5,37988.29,42158.24,13,4.1
16/01/2022,25.6,29.4,22.7,2.1,2.1,35630.19,42172.14,16,3.51
17/01/2022,25.7,30,22.3,1.7,1.7,38849.98,42186.44,17.3,4.24
18/01/2022,24.9,28.6,22,3,3,37193.7,42201.13,15.3,3.42
19/01/2022,25.5,30,22.3,0.4,0.4,38906.99,42216.19,16.5,4.43
20/01/2022,24.4,29.6,20.1,0,0,38979.24,42231.61,10.8,4.71
21/01/2022,23.9,29.6,18.8,0,0,39137.12,42247.36,8.4,4.68
22/01/2022,23.9,31.1,18.4,0,0,39134.29,42263.42,11,4.77
23/01/2022,24.5,31.5,18.8,0,0,39216.83,42279.79,10.1,4.78
24/01/2022,24.9,31.3,20.1,0,0,38590.38,42296.64,12,4.76
25/01/2022,25,31,20.2,0,0,38956.64,42313.99,12.7,4.71
26/01/2022,25.1,30.2,21.1,0,0,38582.35,42331.84,11.6,4.39
27/01/2022,24.8,30.2,21,0,0,39042.35,42350.15,14.7,4.48
28/01/2022,24.7,29.2,21.6,1.9,1.9,35082.77,42368.9,14,3.33
29/01/2022,25.7,29,23.4,3.2,3.2,30849.89,42388.05,13.4,2.83
30/01/2022,25.8,29.6,23.4,4.7,4.7,38586.53,42407.59,13.5,3.79
31/01/2022,25.7,30.2,22.9,0.5,0.5,37658.11,42427.49,14.7,3.93
1/02/2022,25.6,31.2,21.9,0,0,39614.02,42447.73,14.5,4.78
2/02/2022,24.4,30.3,20.2,0,0,39622.99,42468.27,13.4,4.73
3/02/2022,25.3,30.7,20.3,0,0,39537.27,42489.09,9.6,4.98
4/02/2022,25.8,32.3,21.3,0,0,39642.46,42510.18,10.8,5.1
5/02/2022,25.6,31,21.5,0.1,0.1,39459.68,42531.5,15.4,4.86
6/02/2022,25.6,30.5,22.4,0,0,38699.13,42553.03,12.3,4.8
7/02/2022,25.5,30.5,22,0.5,0.5,38628.85,42574.75,17.2,4.1
8/02/2022,25.7,31.4,21.4,0,0,38638.28,42596.64,14.9,4.77
9/02/2022,25.6,30.3,21.9,0,0,31025.18,42618.67,16.4,4
10/02/2022,24.8,28.9,22.6,5.5,5.5,36824.99,42640.83,10,3.27
11/02/2022,24.8,29.6,22.8,13.7,13.7,24271.21,42663.08,12.9,2.61
12/02/2022,24.3,27,22.8,26.8,26.8,10723.8,42685.42,12.4,2.01
13/02/2022,23,24,22.2,56.8,56.8,0,42708.04,10.5,0.75
14/02/2022,25.2,29.4,21.9,1,1,39467.1,42730.99,18.2,4.39
15/02/2022,25.1,30,21.4,0,0,39889.2,42754.25,15.3,4.74
16/02/2022,24.9,30.1,20.8,0,0,38989.21,42777.8,14.9,4.86
17/02/2022,25,30,20.5,0,0,39925.37,42801.62,13.1,4.84
18/02/2022,25.1,28.9,21.6,1.9,1.9,38780.31,42825.68,10.8,3.96
19/02/2022,24.9,27.6,22.9,7.5,7.5,20452.25,42849.96,11.9,2.69
20/02/2022,25.8,29.6,23,0.9,0.9,39470.16,42874.45,12,4.06
21/02/2022,26.3,31.4,22.6,0,0,40191.59,42899.1,8.2,4.54
22/02/2022,26.3,31.6,23.1,0.1,0.1,40456.82,42923.91,11.9,5
23/02/2022,25,28.6,22.3,7.1,7.1,38982.78,42948.85,16.7,3.38
