time,temperature_2m_mean (Â°C),temperature_2m_max (Â°C),temperature_2m_min (Â°C),precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
1/01/2022,25.4,29.7,23.5,5.2,5.2,32200.74,41988.1,18.9,3.25
2/01/2022,25.4,28.3,23.6,3.1,3.1,32400,41994.53,20.9,3
3/01/2022,25,28.5,23.3,17.2,17.2,38559.51,42001.53,20,2.95
4/01/2022,25.6,29.4,22.8,0,0,32081.13,42009.16,22.2,3.71
5/01/2022,25.3,28.7,22.3,2.3,2.3,37414.05,42017.44,18.1,3.59
6/01/2022,26.5,31.2,22.9,0,0,36161.43,42026.36,23.8,4.13
7/01/2022,26.1,30.4,23.2,1.3,1.3,38505.34,42035.89,16.5,3.93
8/01/2022,26,30.1,22.9,0.5,0.5,38426.72,42046.02,17.7,3.94
9/01/2022,26.5,31.1,23.3,0.4,0.4,38467.86,42056.71,19,4.59
10/01/2022,24.8,27.2,23.2,4.3,4.3,13921.94,42067.96,14.5,1.61
11/01/2022,25.7,30,23.3,3.6,3.6,38561.18,42079.75,17.1,3.75
12/01/2022,25.9,30.7,22.7,1.2,1.2,38542.05,42092.04,14.5,3.99
13/01/2022,26.1,30.6,23.1,1.3,1.3,38775.9,42104.83,11.8,4.1
14/01/2022,26.4,30.7,23.5,1.5,1.5,38762.49,42118.1,11.4,4.19
15/01/2022,27.2,31.6,24,0,0,38575.27,42131.82,14.2,4.64
16/01/2022,27.2,32,23.7,0.1,0.1,38648.66,42145.97,19,4.84
17/01/2022,26.8,31.6,23.5,0.5,0.5,38725.52,42160.54,18.6,4.85
18/01/2022,26.4,30.7,23.2,1.3,1.3,38805.78,42175.51,20,4.74
19/01/2022,26.3,31.6,22.1,0,0,38981.86,42190.86,16.1,5.16
20/01/2022,25.2,30.5,21.4,0,0,39069.81,42206.56,17.2,5.11
21/01/2022,24.3,30.2,19.7,0,0,39255.64,42222.6,16.2,4.79
22/01/2022,24.5,29.6,18.4,0,0,39158.69,42238.96,12.9,4.58
23/01/2022,25.2,29.5,21,0,0,34386.09,42255.64,14.5,4.29
24/01/2022,25.7,30.2,21.9,0.8,0.8,39156.81,42272.8,15.3,4.57
25/01/2022,25.6,30.3,22.5,2.3,2.3,39156.93,42290.48,16.6,4.38
26/01/2022,25.5,31.5,21.5,0.4,0.4,39157.71,42308.66,14.4,4.3
27/01/2022,26.2,31.7,22.5,0.8,0.8,36642.12,42327.32,15.8,5.03
28/01/2022,25.4,30.1,21,1.4,1.4,39059.69,42346.41,17.8,4.16
29/01/2022,26.4,30.9,23.6,1,1,34366.82,42365.93,19.5,3.51
30/01/2022,26.7,30.8,23.5,0.5,0.5,39167.55,42385.83,16.9,4.46
31/01/2022,26.7,31.6,23.6,0.9,0.9,39167.82,42406.1,17.3,4.13
1/02/2022,26.5,32.1,23,0,0,39490.42,42426.7,20.7,5.27
2/02/2022,25.3,31.4,20.8,0,0,39914.21,42447.63,15.5,5.34
3/02/2022,24.6,30,20.4,0,0,39823.89,42468.84,14.5,4.93
4/02/2022,25.3,31.1,21.3,0,0,39964.37,42490.32,16.8,5.03
5/02/2022,26,30.6,21.3,0,0,39845.3,42512.03,16.1,4.92
6/02/2022,26.7,32.5,22.5,0,0,39856.71,42533.97,19,5.75
7/02/2022,26.6,33.1,21.6,0,0,38338.38,42556.09,20.8,5.85
8/02/2022,25.8,31,21.2,0,0,38348.02,42578.38,24.8,5.49
9/02/2022,26.4,32.1,22.1,0,0,35056.01,42600.83,15.3,4.83
10/02/2022,25.6,30.7,21.8,0.1,0.1,35200.5,42623.39,19.8,3.68
11/02/2022,25.9,32.6,23,5.8,5.8,26199.13,42646.05,14.4,3.83
12/02/2022,25.3,29.9,23.4,11.6,11.6,28548.84,42668.8,16,3.27
13/02/2022,23.8,25.2,22.8,20.8,20.8,0,42691.84,15.9,1.02
14/02/2022,25.9,30.2,22.8,0.5,0.5,37824.53,42715.22,18.9,4.61
15/02/2022,25.7,30.8,21.5,0,0,40205.69,42738.91,18.7,5.13
16/02/2022,25.5,30.3,21.5,0,0,40000.47,42762.89,17.8,5.1
17/02/2022,25.4,30.6,20.8,0,0,38545.55,42787.16,14.3,5.05
18/02/2022,25.6,30,21.7,1.1,1.1,38492.18,42811.66,13.6,4.4
19/02/2022,26.1,30.9,23.3,1.7,1.7,38511.79,42836.39,14.9,3.86
20/02/2022,26.5,30.6,23.4,0.4,0.4,40302.68,42861.32,15.5,4.34
21/02/2022,26.4,30.3,23.3,1.1,1.1,40415.69,42886.42,12.3,4.56
22/02/2022,26.8,31.6,23.5,0.5,0.5,40443.7,42911.69,14,4.89
23/02/2022,26.6,31,23.5,1,1,39239.79,42937.09,16.9,4.59
24/02/2022,27.1,31.9,23.4,0.3,0.3,39261.54,42962.6,19.4,5.31
25/02/2022,27.2,32.1,23.7,0,0,39848.81,42988.2,17.4,5.59
26/02/2022,26.1,31.3,23.2,2.2,2.2,35141.26,43013.88,17.3,4.01
27/02/2022,27.1,32.5,23.3,0,0,40584.23,43039.6,21.3,5.65
28/02/2022,26.9,32.6,22.6,0,0,40372,43065.36,18.2,5.57
1/03/2022,27.1,32.5,22.9,0,0,39264.16,43091.11,19.3,5.44
2/03/2022,26.6,32.4,22.3,0,0,29919.5,43116.86,23.2,4.55
3/03/2022,26.3,30.2,23.9,0,0,13479.66,43142.57,21.4,3.54
4/03/2022,26.2,29.2,23.4,1.5,1.5,35329.93,43168.24,23.4,3.97
5/03/2022,26.4,30,23.3,0.1,0.1,39362.62,43194.05,20.6,4.82
6/03/2022,26.3,30.2,22.7,0.2,0.2,40181.57,43220.07,19.1,4.56
7/03/2022,26.3,30.5,23.1,1.1,1.1,40774.35,43246.26,16.6,4.4
8/03/2022,27.5,32,23.7,0.9,0.9,40122.53,43272.61,16,4.96
9/03/2022,27.2,32.6,23.1,0,0,40860.87,43299.11,16.1,5.45
10/03/2022,26.7,31.8,22.5,0.1,0.1,40857.16,43325.73,20.3,5.13
11/03/2022,26.9,31.5,23,0.4,0.4,40659.91,43352.45,21.9,5.18
12/03/2022,26.7,30.6,23.7,3.9,3.9,39786.76,43379.26,16.1,4.18
13/03/2022,27.5,33,23.7,0.8,0.8,39704.45,43406.14,18.1,5.05
14/03/2022,27.4,32.3,23.7,0.5,0.5,40973.23,43433.07,18.3,5.09
15/03/2022,26.2,30.7,22.9,0,0,39653.93,43460.03,17.6,4.85
16/03/2022,26.9,30.2,23.6,0,0,35568.75,43487.01,11.6,4.78
17/03/2022,28.2,30.9,26.2,0,0,39492.58,43513.97,14.7,4.82
18/03/2022,27.8,31.1,25.2,1.6,1.6,33539.07,43540.92,17.2,4.44
19/03/2022,27.7,29.9,25.2,2.8,2.8,39609.6,43567.82,20.2,4.51
20/03/2022,28,30.4,25.9,3.3,3.3,39406.98,43594.66,24.5,4.78
21/03/2022,28.3,31,25.7,0,0,41070.14,43621.42,20.5,5.2
22/03/2022,28.6,31.2,26.6,0.1,0.1,41217.34,43648.08,17.2,5.44
23/03/2022,28,31.3,25.8,4.6,4.6,40027.07,43674.62,17.3,4.66
24/03/2022,27,29.1,25.5,5.1,5.1,40824.4,43701.04,16.7,3.76
25/03/2022,27.3,30.2,24.5,1,1,40520.48,43727.5,16.1,4.41
26/03/2022,27.3,31.4,24.4,2.3,2.3,40772.55,43754.07,11.8,4.63
27/03/2022,27.1,30.7,24.6,2.4,2.4,40359.36,43780.71,12.4,4.69
28/03/2022,27.2,30.8,24.1,2.6,2.6,40611.71,43807.42,12.7,4.55
29/03/2022,27.7,30.5,24.8,2.1,2.1,40532.03,43834.19,15.2,4.68
30/03/2022,27.5,30.7,25.5,1.9,1.9,41115.12,43860.98,19.1,4.71
31/03/2022,27.7,31,25,0,0,41004.82,43887.79,16.7,5.02
1/04/2022,27.7,30.9,24.8,2.3,2.3,40894.23,43914.59,16.1,4.74
2/04/2022,27.9,31.1,25.4,2.8,2.8,40674.06,43941.38,15.5,4.71
3/04/2022,27.1,30.5,24.5,4,4,40234.98,43968.12,12.8,4.39
4/04/2022,26.5,31.7,23.6,14.7,14.7,40345.27,43994.81,14,4.45
5/04/2022,25.8,30.5,23.2,20.1,20.1,36000,44021.42,14.8,4.52
6/04/2022,25.9,28.4,23,10,10,37711.87,44047.95,13.9,3.87
7/04/2022,26.7,30.3,24.1,2.3,2.3,40346.91,44074.35,10.6,4.41
8/04/2022,25.8,28.9,23.7,16.5,16.5,31980.68,44100.62,10.8,3.38
9/04/2022,26.1,29.5,23.4,7.7,7.7,39600,44126.74,15.3,4.01
10/04/2022,25.7,28.6,24.5,15.7,15.7,25394.72,44152.69,12.8,2.91
11/04/2022,26.3,29,24.1,5.5,5.5,30655.5,44178.45,9.4,3.46
12/04/2022,26.2,29.8,24.2,19.4,19.4,35557.47,44204,10.5,3.75
13/04/2022,26.4,29.7,24.4,9.4,9.4,31308.23,44229.32,16.8,3.54
