time,temperature_2m_mean (Â°C),temperature_2m_max (Â°C),temperature_2m_min (Â°C),precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
1/01/2022,25.1,30.2,21.3,14.7,14.7,35286.2,42263.61,6.2,4.01
2/01/2022,25.4,29.5,21.4,7.5,7.5,30260.14,42268.93,7.9,3.53
3/01/2022,25,29.4,22.1,27.1,27.1,28040.18,42274.7,7.4,3.42
4/01/2022,24.9,30.2,21.7,3.1,3.1,29937.39,42280.99,13.9,3.45
5/01/2022,24.6,28.8,22.3,1.8,1.8,28545.58,42287.83,14.6,2.96
6/01/2022,25.4,30.8,21.3,0.9,0.9,38508.13,42295.19,7.6,3.96
7/01/2022,25.7,30.4,22.6,3.5,3.5,38755.77,42303.05,11.3,4.04
8/01/2022,25.5,30.3,21.5,0.8,0.8,38735.84,42311.41,10.7,4.24
9/01/2022,24.9,29.7,22.2,7.5,7.5,25592.09,42320.24,13.3,3.28
10/01/2022,24.6,27.1,23.1,3.3,3.3,12987.03,42329.53,7.7,1.77
11/01/2022,25.9,30.3,21.9,1.6,1.6,38722.95,42339.25,11.3,4.21
12/01/2022,25.4,30,22.4,1.4,1.4,38662.12,42349.4,6.2,3.82
13/01/2022,25.9,30.5,22.9,2.4,2.4,39020,42359.96,6.4,3.94
14/01/2022,25.7,29.9,22.5,1.5,1.5,38645.04,42370.91,5.8,3.83
15/01/2022,26,30.8,22.7,0.7,0.7,38814.88,42382.24,9,3.93
16/01/2022,25.7,30.9,22.4,0.9,0.9,38930.7,42393.93,12.4,4.16
17/01/2022,25.2,30.5,21.7,5.6,5.6,38782.54,42405.96,13.5,4.09
18/01/2022,25.5,30.8,21.4,0,0,38951.11,42418.32,9.8,4.45
19/01/2022,26,31.7,22,0.1,0.1,38563.55,42431,12.2,4.37
20/01/2022,25.2,30.9,21,0,0,39681.16,42443.97,17.4,5.16
21/01/2022,24.3,31.9,19,0,0,39584.56,42457.23,17.9,5.06
22/01/2022,24.4,31.3,18.1,0.5,0.5,39197.91,42470.75,9.7,4.86
23/01/2022,24.8,30.7,19.3,0,0,38609.97,42484.52,11,4.81
24/01/2022,25.2,31.3,20.1,2,2,39188.5,42498.7,10.9,4.76
25/01/2022,25.1,29.9,20.8,0.6,0.6,39184.95,42513.32,8.1,4.45
