time,temperature_2m_mean (Â°C),temperature_2m_max (Â°C),temperature_2m_min (Â°C),precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
1/01/2022,24.2,26,22.7,30.7,30.7,26487.94,41886.18,16.5,2.24
2/01/2022,24.5,26.4,22.6,14.1,14.1,27739.14,41893.03,17.1,2.26
3/01/2022,24.5,26.9,22.6,18.3,18.3,30035.19,41900.48,18.9,2.5
4/01/2022,26,27.7,22.7,1.9,1.9,36475.77,41908.61,23.9,4.01
5/01/2022,25.1,26.6,23.7,6,6,35901.37,41917.43,17.7,3
6/01/2022,26.1,28,24.6,5.4,5.4,38792.71,41926.92,22.4,3.7
7/01/2022,25.7,27.9,24.1,2.2,2.2,38731.41,41937.07,16.8,3.48
8/01/2022,25.6,27.8,23.2,2.9,2.9,38754.71,41947.84,20.5,3.6
9/01/2022,26.3,28.5,23.6,1.7,1.7,38736.61,41959.23,16.1,4.32
10/01/2022,25.2,26.2,24.2,10.9,10.9,11810.21,41971.21,14.3,2.02
11/01/2022,25.7,28.3,23.7,10.4,10.4,32539.74,41983.75,19.4,3.01
12/01/2022,26.4,28.5,24.8,1.6,1.6,38686.55,41996.85,14.3,3.83
13/01/2022,26.2,28.9,23.6,0.1,0.1,38746.21,42010.46,12.2,3.82
14/01/2022,26.5,29.1,23.9,0.4,0.4,38665.09,42024.58,12.2,3.87
15/01/2022,26.6,28.8,24.1,0.9,0.9,38714.59,42039.19,14.5,4.13
16/01/2022,26.8,28.2,25.4,2.3,2.3,38631.26,42054.26,21.6,4.13
17/01/2022,26.9,28.6,25,0.8,0.8,38685.64,42069.77,17.9,4.66
18/01/2022,26,28.3,23.6,2.2,2.2,38672.34,42085.7,19.9,4.25
19/01/2022,26.1,28.1,24.7,0,0,38807.76,42102.04,17.9,4.59
20/01/2022,25.2,27.9,22.3,0,0,38950.38,42118.75,13.1,4.69
21/01/2022,24.6,28.3,20.7,0,0,39022.84,42135.82,10.2,4.54
22/01/2022,24.3,29.1,19.4,0,0,37597.36,42153.24,12.6,4.48
23/01/2022,24.7,29.5,21,0,0,38939.4,42170.99,10.5,4.51
24/01/2022,25.3,29.8,21.9,0,0,39018.43,42189.25,13.8,4.78
25/01/2022,25.2,28.6,21.9,0,0,38771.74,42208.07,12.9,4.4
26/01/2022,25.3,28.5,22.1,0.2,0.2,38685.45,42227.42,12.8,4.34
27/01/2022,26,28.3,22.6,0,0,38391.36,42247.27,15.8,4.61
28/01/2022,25.6,27.8,23.3,4,4,38363.59,42267.59,19.6,3.81
29/01/2022,25.6,27.2,23.5,6.1,6.1,33565.4,42288.36,15.3,2.66
30/01/2022,25.9,28,24.2,3.8,3.8,38678.15,42309.54,14.5,3.52
31/01/2022,26.5,28.8,24.4,0.6,0.6,39122.43,42331.1,15.7,4.47
1/02/2022,26.1,28.7,23.8,0,0,39307.79,42353.03,11.8,4.89
2/02/2022,25.4,27.9,23.5,0,0,39497.4,42375.29,13.1,4.91
3/02/2022,25.6,29.2,22.6,0,0,39416.59,42397.86,13,4.95
4/02/2022,25.6,29.9,21.2,0,0,39426.94,42420.71,13.6,4.91
5/02/2022,25.9,29.4,22.2,0,0,39530.88,42443.82,13,4.75
6/02/2022,26.4,28.6,24.9,0,0,39543.07,42467.15,14.8,5.08
7/02/2022,26.7,28.9,24.8,0,0,38623.39,42490.69,19.7,4.61
8/02/2022,26.5,29.3,23.8,0,0,38633.75,42514.41,15.5,4.75
9/02/2022,26.4,28.8,25,0,0,24940.46,42538.27,17.7,3.87
10/02/2022,25.3,27.6,23.2,9.4,9.4,24660.38,42562.27,12.5,2.67
11/02/2022,25.2,27.8,23.1,7.2,7.2,38139.9,42586.38,13.5,3.38
12/02/2022,24.7,26.6,23,38.9,38.9,18461.04,42610.58,14.5,2.23
13/02/2022,24,26,23,60.8,60.8,0,42635.08,17.1,0.92
14/02/2022,26.3,28.4,24.8,2.4,2.4,36004.62,42659.94,20.3,4.94
15/02/2022,26.4,28.7,24.6,0,0,39677.07,42685.14,16.4,5.34
16/02/2022,26.3,28.8,24.7,0,0,38725.32,42710.65,17.8,5.14
17/02/2022,26.3,28.5,24.1,0,0,39715,42736.45,14.8,5.17
18/02/2022,26.5,27.9,24.4,2.2,2.2,38785.41,42762.5,15.6,4.31
19/02/2022,25.8,26.9,24.4,5.1,5.1,33787.02,42788.8,14.9,3.1
20/02/2022,26.1,28.4,24.1,2.4,2.4,37065.97,42815.3,13.8,3.79
21/02/2022,26.4,29.5,23.2,0.6,0.6,40302.57,42842,11.6,4.42
22/02/2022,26.5,29.9,24,0.2,0.2,40177.11,42868.86,13.3,4.96
23/02/2022,25.7,27.8,23,7.3,7.3,36849.8,42895.87,16.4,3.74
24/02/2022,27.2,28.9,26.1,0.5,0.5,39970.43,42922.99,19.6,5.2
25/02/2022,27,28.8,25.4,0,0,38942.77,42950.21,16,5.06
26/02/2022,26.3,28.2,23.9,3.4,3.4,38363.91,42977.5,16.9,3.78
27/02/2022,26.3,29,22.3,2.3,2.3,40247.7,43004.84,18.6,5
28/02/2022,26.9,28.9,25.1,0.7,0.7,39764.7,43032.21,17.2,5.22
1/03/2022,27,29.3,25.6,0.2,0.2,39043.77,43059.59,19.2,5.18
2/03/2022,26.9,28.5,25.6,3,3,28393.19,43086.96,23.2,4.21
3/03/2022,26.4,28.6,24.1,4.5,4.5,18975.04,43114.29,21.2,3.66
4/03/2022,25.3,28.1,23.1,6.2,6.2,17847.93,43141.57,20.4,2.51
5/03/2022,26.2,29.1,23.5,0.6,0.6,39280.86,43169,21.1,4.63
6/03/2022,26.3,29,23.7,2.2,2.2,40328.88,43196.64,11.8,3.9
7/03/2022,26.6,29.3,23.6,1.2,1.2,39948.42,43224.47,16.7,4.58
8/03/2022,26.9,29.3,24.4,0.5,0.5,40487.38,43252.47,15.1,5.07
9/03/2022,27,29.2,25.5,0,0,40618.42,43280.62,13.4,5.3
10/03/2022,27,29.4,25.3,0,0,40443.94,43308.91,12.8,5.26
11/03/2022,27.2,29.7,25.1,0,0,40270.16,43337.3,17.1,4.82
12/03/2022,26.9,28.6,25,1.3,1.3,39486.29,43365.79,15.6,3.83
13/03/2022,27.3,29.5,25.8,0,0,39517.94,43394.34,15.5,5.14
14/03/2022,27.4,29.6,25.9,0,0,39956.34,43422.95,15.5,5.1
15/03/2022,27.1,29.7,25.3,0,0,39886.69,43451.59,11.6,4.97
16/03/2022,26.6,30.8,23.6,0.1,0.1,30550.12,43480.25,10.7,3.79
17/03/2022,27,31.5,23.7,7.5,7.5,31971.25,43508.89,11.8,3.26
18/03/2022,26.9,32,23.9,17.2,17.2,34055.19,43537.51,13.7,4.29
19/03/2022,27.6,33,24.4,3.1,3.1,38563.7,43566.08,12.6,4.78
20/03/2022,28.5,33.9,24.7,0,0,40741.66,43594.59,21.4,5.57
21/03/2022,28.9,34.5,25,0.1,0.1,40438.75,43623,15.1,5.43
22/03/2022,28.8,34.5,25.7,0.5,0.5,40337.82,43651.32,16.4,5.35
23/03/2022,27.5,30.9,25.2,0.4,0.4,39995.01,43679.51,10.5,3.85
24/03/2022,27.1,32,25,1.8,1.8,40337.49,43707.56,10.2,4.15
25/03/2022,27.1,31.3,24.8,1.4,1.4,37897.32,43735.66,9.5,4.12
26/03/2022,27.5,31.1,24.3,1,1,40737.8,43763.86,14.9,5.04
27/03/2022,27.7,31.3,24.3,0.1,0.1,40637.13,43792.16,14.4,5.25
28/03/2022,27.8,31,25,0.7,0.7,40736.43,43820.52,14.7,5.07
29/03/2022,27.9,32.2,24.5,0.2,0.2,40636.03,43848.93,15.9,5.25
30/03/2022,28.1,32,25.4,0.8,0.8,40436.37,43877.38,12.6,4.67
31/03/2022,27.7,32.9,23.9,0,0,40734.32,43905.84,18.5,5.48
1/04/2022,27.8,32.4,24.7,0.8,0.8,40535.16,43934.29,15.7,5.14
2/04/2022,27.4,32.3,24.5,4.7,4.7,40039.41,43962.73,11.2,4.8
3/04/2022,27.2,31.9,24.3,0.7,0.7,40435.55,43991.11,14.7,4.95
4/04/2022,27.4,30.9,24.5,1.8,1.8,40336.63,44019.44,13.8,4.92
5/04/2022,27,30.8,24,2.5,2.5,40040.82,44047.69,13.1,4.81
6/04/2022,26.4,30.5,23.7,4.2,4.2,39745.86,44075.83,11.9,4.14
7/04/2022,27.2,30.9,24.2,1,1,36000,44103.86,13.5,4.9
8/04/2022,26.4,29.6,24.5,1.6,1.6,33189.18,44131.74,11.3,3.81
9/04/2022,25.4,29,23.6,24.9,24.9,21705.72,44159.46,14.1,2.85
10/04/2022,25.8,31.2,23.2,10.7,10.7,24364.24,44187,11.9,3.23
11/04/2022,26.2,30.4,23.8,5.3,5.3,28800,44214.34,13.2,3.58
12/04/2022,26.4,30.5,24.4,6.2,6.2,29422.18,44241.45,9.6,3.79
13/04/2022,26.2,31,24.1,13.1,13.1,31890.75,44268.32,15.7,3.94
14/04/2022,27.2,32.4,24.4,1.4,1.4,36932.05,44295.13,12.2,4.17
15/04/2022,27.9,32.7,25,0.6,0.6,39850.29,44321.94,13.6,4.8
16/04/2022,27.7,32.1,25.1,4.7,4.7,39911.14,44348.73,12.1,4.77
17/04/2022,27.6,32.7,25.1,5.6,5.6,39657.98,44375.46,9.4,4.62
18/04/2022,27.7,32.9,25,3.7,3.7,37278.97,44402.14,14.8,4.78
19/04/2022,27.8,32.2,25.3,1.2,1.2,39653.04,44428.74,16.1,4.42
20/04/2022,27.9,31.4,25.1,0.8,0.8,40341.77,44455.23,12.8,4.84
21/04/2022,27.6,30.8,24.8,1.2,1.2,39803.76,44481.61,13.4,4.86
22/04/2022,26.8,31.2,24.2,10.7,10.7,33289.27,44507.84,12.7,3.87
23/04/2022,26,30.4,24,11.2,11.2,23292.28,44533.91,15.9,2.95
24/04/2022,27.9,31.6,24.9,0.7,0.7,40246.68,44559.79,13.5,4.9
25/04/2022,28.2,31.4,25.3,0.4,0.4,40247.43,44585.47,11.5,5.09
26/04/2022,28.3,31.5,25.1,0.1,0.1,40346.19,44610.92,11.3,5.06
27/04/2022,28.4,31.4,25.6,0.5,0.5,40249,44636.12,13.3,5.04
28/04/2022,27.6,32,25.5,5.9,5.9,36110.51,44661.04,11.5,4.36
29/04/2022,27.6,33,25.3,5.6,5.6,38346.73,44685.68,11.6,4.61
30/04/2022,29,33.8,25.2,1.3,1.3,39879.81,44709.98,18.3,5.29
1/05/2022,29.6,34.6,26.3,0,0,38174.32,44733.95,18.8,5.77
2/05/2022,29.8,35.6,26,0,0,39862.8,44757.55,15.2,5.74
3/05/2022,29.4,35.3,26.1,0,0,40155.52,44780.77,17,5.53
4/05/2022,29.3,34.3,26.4,1.2,1.2,39660.02,44803.76,11.9,5.06
5/05/2022,28.3,34.2,26,3.5,3.5,39698.52,44826.59,15.5,4.78
6/05/2022,29.3,34.8,25.8,0.2,0.2,39607.48,44849.23,16.5,5.03
7/05/2022,29.7,35.3,26.1,0.7,0.7,39785.77,44871.67,16.1,5.22
8/05/2022,30.1,34.9,26.8,0,0,35720.68,44893.88,18.2,5.42
9/05/2022,30.2,34.6,27.5,0,0,35836.1,44915.84,24.5,5.86
10/05/2022,29.9,34.4,26.3,1.2,1.2,33136.31,44937.52,25.6,6.19
11/05/2022,29.7,34.4,26.1,0,0,40050.08,44958.93,30.3,6.98
12/05/2022,29.5,34.2,26.5,0,0,39458.62,44980.01,26.3,6.68
13/05/2022,28.3,31.9,25.7,1.9,1.9,39844.16,45000.77,26.3,5.5
14/05/2022,28,31.4,25.8,3.2,3.2,38558.08,45021.17,28.2,4.95
15/05/2022,28.5,32.9,25.7,0.5,0.5,13420.02,45041.2,26,4.19
16/05/2022,29,33.1,26.2,0,0,39650.26,45060.82,25.5,5.87
17/05/2022,29.1,33.2,26.3,0.5,0.5,38903.27,45080.02,30.8,5.93
18/05/2022,29.2,33.9,26.5,0.8,0.8,39959.85,45098.78,30.3,5.97
19/05/2022,28.9,33.8,26.3,1.2,1.2,34654.79,45117.07,30.9,5.68
20/05/2022,29.4,33.9,26.2,0.5,0.5,40148.62,45134.87,27.7,6.19
21/05/2022,29.6,34.5,26.2,0,0,40170.11,45152.15,28.3,6.58
22/05/2022,29.9,35,26.5,0.5,0.5,40064.91,45168.89,28.7,6.89
23/05/2022,29.9,34.9,26.6,1.5,1.5,39639.87,45185.08,26.2,6.43
24/05/2022,28.9,34,25.9,4.6,4.6,38691.09,45200.83,27.5,5.58
25/05/2022,28.6,33.9,25.3,0.7,0.7,39132.1,45216.19,22.7,5.23
26/05/2022,29,34,25.5,0.6,0.6,40172.88,45231.14,23.2,5.94
27/05/2022,29.1,33.8,25.6,1.1,1.1,40173.3,45245.67,26.5,6.09
28/05/2022,29,34.2,25.5,0.1,0.1,39629.4,45259.76,27.7,6.35
29/05/2022,28.4,32.7,25.4,1.1,1.1,40137.93,45273.4,28.3,5.95
30/05/2022,28.5,33.4,25.5,0.7,0.7,37906.98,45286.57,29.9,5.83
31/05/2022,28.1,32.7,25.3,0.5,0.5,40063.85,45299.26,29.8,5.51
1/06/2022,28.9,33.3,25.7,0,0,40285.54,45311.46,31.6,6.25
2/06/2022,29.4,34.4,26.2,0,0,40174.51,45323.14,29,6.61
3/06/2022,29.5,35,26.2,0.3,0.3,40473.55,45334.29,25.1,6.29
4/06/2022,29.8,35.4,26,0,0,39787.79,45344.9,21,6.14
5/06/2022,29.5,35.3,26.3,1.2,1.2,37088.57,45354.95,24.3,6.16
6/06/2022,29.1,33.8,26,0.6,0.6,37614.06,45364.43,26.5,5.31
7/06/2022,28.9,32.9,26.1,0.1,0.1,34262.09,45373.33,26.3,5.16
8/06/2022,29.7,35.2,25.9,0.1,0.1,39926.09,45381.62,23.7,6.44
9/06/2022,29.6,34.3,26.2,0,0,39826.71,45389.3,27.5,6.28
10/06/2022,29.5,33.8,26.1,0.5,0.5,40172.5,45396.34,27.2,6.29
11/06/2022,29.3,33.7,26.3,0.4,0.4,34443.5,45402.75,27.6,5.92
12/06/2022,29.1,34.5,26.1,1.3,1.3,39055.92,45408.49,22.2,5.84
13/06/2022,29.3,35.9,25.8,0.8,0.8,40288.14,45413.62,19.8,5.74
14/06/2022,28.3,35.5,25.5,21.1,21.1,32579.33,45418.15,17.2,4.72
15/06/2022,28.2,33.7,25.6,2.1,2.1,36472.71,45422.09,21.1,4.62
16/06/2022,27.2,32.5,25.4,12,12,36900.68,45425.42,16.5,4.11
17/06/2022,26.6,30.5,24.6,4.8,4.8,15374.38,45428.15,14.5,2.75
18/06/2022,27,30.8,24.4,2.9,2.9,28905.28,45430.29,15,3.47
19/06/2022,28,32.8,25.2,7.2,7.2,39924.96,45431.82,18.5,4.85
20/06/2022,28.8,33.7,25.6,1.5,1.5,39815.3,45432.76,16.3,5.33
21/06/2022,28.8,33.2,26,1.1,1.1,38496.36,45433.1,21.7,5.54
22/06/2022,29.1,33.6,26,0.3,0.3,39675.75,45432.85,20.9,5.8
23/06/2022,29.5,34.6,25.9,0.6,0.6,39511.59,45432,20.6,6.06
24/06/2022,29,32.6,26,1.1,1.1,40647.77,45430.55,26.9,5.51
25/06/2022,29.3,33.9,26.1,0.5,0.5,40034.81,45428.52,25.4,6.21
26/06/2022,29.8,35.2,26,0,0,39600,45425.89,22.2,6.22
27/06/2022,29.9,34.7,26.4,0,0,33678.72,45422.68,24.2,5.99
28/06/2022,30,35.5,26.7,0,0,35687.48,45418.88,19.9,6.29
