time,temperature_2m_mean (Â°C),temperature_2m_max (Â°C),temperature_2m_min (Â°C),precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
1/01/2022,23.8,26.7,22,7.9,7.9,25024.68,41842.42,19,2.42
2/01/2022,23.6,25.8,22.5,5.4,5.4,18000,41849.45,17.6,1.8
3/01/2022,24.3,26.9,22.5,4.7,4.7,34167.31,41857.1,20.6,2.81
4/01/2022,24.7,28,22.7,0,0,38655.9,41865.44,19.9,3.6
5/01/2022,24.5,27.5,22.6,1.6,1.6,36995.24,41874.49,19.2,3.13
6/01/2022,25.3,28.9,22.6,0.9,0.9,36075.61,41884.23,21.6,3.86
7/01/2022,25,29.1,22.8,0.9,0.9,38560.26,41894.64,17.2,3.6
8/01/2022,24.9,28.4,22,1,1,38593.59,41905.7,19,3.84
9/01/2022,25.3,29.3,22.2,0.4,0.4,38560.29,41917.39,16.7,4.24
10/01/2022,23.8,25,23,5.4,5.4,0,41929.68,12.4,1.13
11/01/2022,24.5,28.2,22.6,4.2,4.2,38526.49,41942.55,15.5,2.97
12/01/2022,25.1,29.5,21.7,0.4,0.4,38510.72,41955.98,11.4,3.59
13/01/2022,25.1,29.7,21.2,1.8,1.8,38632.94,41969.95,10.2,3.77
14/01/2022,25.8,30.2,22,0.9,0.9,38481.66,41984.44,9.9,4.13
15/01/2022,25.8,29.9,22.6,0.3,0.3,38602.87,41999.43,14.5,4.1
16/01/2022,25.8,29.6,23.3,0,0,38665.35,42014.89,18.8,4.4
17/01/2022,25.6,29.2,23.2,0.4,0.4,38497.21,42030.8,18.8,4.25
18/01/2022,24.9,28.3,21.6,0.7,0.7,38642.62,42047.14,20,4.12
19/01/2022,24.6,29.2,21.6,0,0,38713.71,42063.9,16.5,4.38
20/01/2022,24,29.6,20.6,0,0,38954,42081.05,12.1,4.85
21/01/2022,24.1,30.6,19.3,0,0,38951.07,42098.57,9.6,4.77
22/01/2022,23.9,30.9,17.4,0,0,39034.3,42116.44,11.1,4.7
23/01/2022,24.8,31.1,20,0,0,38687.64,42134.65,10.5,4.56
24/01/2022,25.3,31.6,20.7,0,0,38683.51,42153.39,10.8,4.75
25/01/2022,25.2,30.9,21.3,0,0,38502.29,42172.7,13,4.53
26/01/2022,24.8,29.8,21.1,0.3,0.3,38948.05,42192.55,12.8,4.4
27/01/2022,24.4,29.4,20.3,0,0,38393.64,42212.91,17.2,4.57
28/01/2022,24.5,28.1,21.8,0.5,0.5,38767.63,42233.76,18.1,3.63
29/01/2022,24.9,27.1,23.4,3.5,3.5,33526.25,42255.06,16.8,2.67
30/01/2022,25.1,29,22.7,2.3,2.3,38676.44,42276.79,15.8,3.31
31/01/2022,25.6,29.8,22.9,0.1,0.1,39248.25,42298.91,16.4,4.46
1/02/2022,25,30.2,21.7,0,0,39447.75,42321.41,13.6,4.86
2/02/2022,23.7,29.2,18.7,0,0,39554.47,42344.25,12.9,4.87
3/02/2022,24.5,30.7,19.5,0,0,39565.79,42367.4,9.2,4.96
4/02/2022,25.2,32.3,19.7,0,0,39381.05,42390.84,13.8,5.1
5/02/2022,25.3,31.5,21.2,0,0,39589.84,42414.54,17.4,4.73
6/02/2022,25,29.8,21.9,0,0,39901.56,42438.47,14.8,4.96
7/02/2022,24.8,30.2,21.3,0,0,33217.88,42462.61,17.3,4.7
8/02/2022,24.8,30.6,20.5,0,0,38464.71,42486.94,18,5.11
9/02/2022,24.7,29.9,21.3,0,0,25658.35,42511.43,17.3,4
10/02/2022,23.5,26.2,21.7,9.3,9.3,23666.36,42536.04,13.5,2.09
11/02/2022,24.5,28.7,22.1,6.6,6.6,34521.79,42560.77,15.1,3.22
12/02/2022,24.5,27.8,22.8,5.2,5.2,26527.06,42585.59,14.6,2.79
13/02/2022,23.4,24.7,22.3,22.7,22.7,0,42610.72,15.3,1.21
14/02/2022,24.8,28.7,22.3,0.7,0.7,39287.2,42636.22,19.9,4.51
15/02/2022,24.6,29,21,0,0,39845.29,42662.07,15.9,4.76
16/02/2022,24.3,29.4,21,0,0,39027.61,42688.23,16.1,4.7
17/02/2022,24.3,29,20.3,0,0,39255.02,42714.68,14.6,4.8
18/02/2022,25,28,22.3,1.4,1.4,38619.6,42741.41,14.5,3.8
19/02/2022,24.9,27.7,22.8,2.5,2.5,37089.44,42768.38,16.8,3.37
20/02/2022,25.3,29.1,22.8,2.2,2.2,39631.78,42795.55,12.6,3.64
21/02/2022,26,31.4,22.5,0.1,0.1,40347.48,42822.93,10.5,4.82
22/02/2022,25.7,31.5,22.2,0,0,37670.73,42850.48,13.5,4.95
23/02/2022,24.8,28.3,22.2,3.2,3.2,39699.64,42878.18,18,3.84
24/02/2022,25.8,29.7,22.9,0,0,40042.89,42905.98,18.8,5
25/02/2022,25.5,29.7,22.5,0,0,39640.91,42933.9,16.9,4.67
26/02/2022,25.1,29.4,23,5.1,5.1,39558.61,42961.89,16.9,3.67
27/02/2022,25.3,30.1,21.9,0,0,40529.96,42989.93,18.6,5.1
28/02/2022,25.7,30.1,22.5,0.1,0.1,39929.48,43018,17.2,5.1
1/03/2022,25.8,30.7,22.6,0,0,39312.57,43046.07,18.7,5.03
2/03/2022,25.7,29.8,22.7,0,0,38612.12,43074.13,20.7,4.54
3/03/2022,25.5,28.2,23.7,0.1,0.1,2694.29,43102.15,20.1,2.7
4/03/2022,24.8,28.6,22.8,3,3,15356.09,43130.12,17.8,2.77
5/03/2022,25.6,30,22.5,1.3,1.3,39523.12,43158.25,17.5,4.53
6/03/2022,25.7,30,22.7,1.8,1.8,39443.08,43186.59,12.8,4.34
7/03/2022,25.8,31.2,21.4,0.2,0.2,37366.9,43215.12,16.3,4.63
8/03/2022,26.1,30.9,23,0.1,0.1,40788.73,43243.84,16.6,5.02
9/03/2022,25.9,31,22.7,0,0,40830.05,43272.7,14.4,5.3
10/03/2022,26,31.5,21.9,0,0,40847.71,43301.7,14.4,5.21
11/03/2022,26.1,31.3,22,0,0,40770.59,43330.81,17.4,5.2
12/03/2022,26.2,30.2,23.1,1.8,1.8,36640.38,43360.02,14.2,3.78
13/03/2022,26.4,31.3,23.3,0,0,38697.41,43389.29,16.1,5.24
14/03/2022,26.5,31.7,22.4,0,0,40328.09,43418.62,14.9,5.41
15/03/2022,26.4,32.1,22.2,0,0,39294.2,43447.98,13.4,5.2
16/03/2022,26.1,30.7,22.2,0,0,27546.03,43477.35,6.5,3.5
17/03/2022,27.7,33.1,22.9,0.4,0.4,39997.01,43506.72,10,4.58
18/03/2022,27.3,33.4,24,11.9,11.9,33822.64,43536.06,12.5,4.44
19/03/2022,27.6,32,24.1,1.2,1.2,40381.23,43565.34,14.1,4.94
20/03/2022,27.9,33.6,24.1,0.1,0.1,40944.97,43594.56,19.5,5.46
21/03/2022,28,34.2,24.1,0.3,0.3,40551.26,43623.7,17.3,5.22
22/03/2022,28.9,34.6,24.9,0.6,0.6,40370.44,43652.72,16.6,5.44
23/03/2022,27.3,33.2,24.6,0.8,0.8,40189.69,43681.61,14.4,4.83
24/03/2022,26.5,31.7,23.9,2.3,2.3,38971.23,43710.37,13,4.06
25/03/2022,26.4,32.4,23.5,2,2,37068.83,43739.17,8.9,3.89
26/03/2022,26.7,32.8,22.7,1.7,1.7,40026.4,43768.08,9.1,5.05
27/03/2022,26.8,32.8,23,1.4,1.4,40449.46,43797.07,12,4.96
28/03/2022,27.8,33.3,23.3,0.7,0.7,40343.89,43826.15,9.7,5.21
29/03/2022,27.8,33.6,22.8,0.6,0.6,40660.29,43855.27,12.3,5.24
30/03/2022,27.1,33.6,24,11.8,11.8,40344.18,43884.43,10.7,4.81
31/03/2022,27.6,35,23.2,0,0,40028.86,43913.6,14.6,5.25
