YearWeek,temp_mean_C,temp_max_C,temp_min_C,rain_sum,sunshine_duration,daylight_duration,wind_speed_max,et0_evapotranspiration,District_anuradhapura,District_badulla,District_batticaloa,District_colombo,District_galle,District_gampaha,District_hambantota,District_jaffna,District_kalmunai,District_kalutara,District_kandy,District_kegalle,District_kilinochchi,District_kurunegala,District_mannar,District_matale,District_matara,District_monaragala,District_mullaitivu,District_nuwara eliya,District_polonnaruwa,District_puttalam,District_ratnapura,District_trincomalee,District_vavuniya,risk_level
2022-W01,24.486,28.9,21.7,50.8,57.412933333333335,82.02304722222222,21.4,19.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W01,24.971,29.9,21.9,14.1,71.00490833333333,81.60996388888888,20.4,24.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W01,21.6495,24.9,18.0,78.1,49.88259722222222,82.13289444444445,14.5,16.71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W01,25.314,28.2,23.1,67.1,65.86163055555555,81.85804166666667,23.6,21.62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W01,26.214,32.0,22.8,27.9,68.098525,82.16033333333334,22.6,29.46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W01,25.243,29.2,22.3,45.3,63.54448055555556,82.48909166666667,16.7,24.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W01,26.357,32.6,22.4,26.2,69.67958055555555,82.10544166666668,22.3,29.94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W01,26.471,31.7,23.7,15.6,69.34641944444444,82.46173055555555,29.2,29.86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W01,25.714,28.4,23.0,3.6,74.34075555555555,81.08368055555556,26.5,27.34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W01,25.557,28.3,22.6,103.6,57.59602777777778,81.96807777777778,24.6,20.85,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W01,25.443,31.3,21.6,32.8,67.54143055555555,82.29743888888889,13.9,26.71,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W01,23.414,27.9,20.2,11.3,68.72210277777778,82.02304722222222,22.1,25.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W01,24.9,30.8,20.1,15.2,72.52518611111111,82.02304722222222,18.2,28.05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W01,25.629,28.1,23.1,5.9,73.61303333333333,81.1947861111111,24.5,26.64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W01,25.557,31.7,22.0,4.6,70.28285555555556,81.94058055555556,22.7,28.38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2022-W01,26.329,30.5,23.4,5.4,72.95027499999999,81.36112777777778,27.4,30.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2022-W01,24.1,29.9,19.3,5.8,68.40914166666667,81.94058055555556,18.8,26.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-W01,25.514,29.2,23.3,35.6,63.06730277777778,82.54379166666668,20.9,24.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2022-W01,26.014,28.0,23.5,17.6,72.36274166666666,81.25027777777778,23.7,27.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2022-W01,21.6495,24.2,17.299999999999997,26.6,64.25143333333334,82.13289444444445,15.9,19.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2022-W01,24.9,29.9,22.0,49.0,59.21376111111111,81.77542777777778,19.0,21.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022-W01,25.857,31.2,22.3,21.7,72.11556666666667,81.72030833333334,23.8,26.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2022-W01,25.614,28.5,22.6,38.4,71.50771388888889,81.52710555555556,23.9,24.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2022-W01,24.857,29.3,22.0,9.5,72.66894444444445,81.44416388888888,21.6,25.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-W02,25.157,30.1,22.0,33.1,66.12686666666667,82.15970277777778,15.1,22.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W02,25.457,30.9,21.8,9.6,63.76389722222222,81.76761388888889,18.3,24.98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W02,21.6495,26.4,17.299999999999997,33.3,66.8043111111111,82.26396666666668,10.9,22.44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W02,25.757,28.6,23.2,24.9,65.79483611111111,82.0030861111111,22.1,23.62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W02,26.143,31.7,22.2,12.8,74.29440555555556,82.29001944444444,19.2,28.22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W02,25.9,29.3,23.0,18.3,70.98169722222222,82.60208611111112,13.8,26.39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W02,26.357,34.0,22.0,18.1,71.6998611111111,82.23790833333332,13.6,28.09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W02,26.5,31.0,22.9,15.8,71.59470555555555,82.57611111111112,23.7,28.41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W02,26.043,29.6,23.0,8.5,69.43249722222222,81.2681361111111,22.0,25.51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W02,26.029,28.3,23.7,31.7,67.05386666666666,82.10752777777778,20.2,23.74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W02,25.943,30.0,22.4,13.8,72.92614722222223,82.42015833333333,12.5,28.23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W02,23.7,29.3,19.0,15.5,65.69270833333333,82.15970277777778,20.9,26.71,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W02,25.114,31.5,20.4,8.4,66.02431666666666,82.15970277777778,15.3,27.51,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W02,25.571,29.7,22.3,7.5,64.96360555555556,81.37358055555556,20.7,24.37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W02,25.786,32.3,21.1,7.3,65.38334722222221,82.08142777777778,21.1,28.09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2022-W02,26.371,31.4,22.3,9.2,70.41349444444444,81.53144722222223,24.2,28.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2022-W02,24.329,30.8,19.7,6.0,64.70695833333333,82.08142777777778,18.0,26.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-W02,26.114,29.2,23.6,14.4,70.99516944444444,82.6540138888889,23.6,27.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-W02,26.3,28.6,23.8,13.5,64.28468611111111,81.42623888888889,20.0,25.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
