YearWeek,WeekStartDate,WeekEndDate,Cases,temp_mean_C,temp_max_C,temp_min_C,precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm),District_ampara,District_anuradhapura,District_badulla,District_batticaloa,District_colombo,District_galle,District_gampaha,District_hambantota,District_jaffna,District_kalmunai,District_kalutara,District_kandy,District_kegalle,District_kilinochchi,District_kurunegala,District_mannar,District_matale,District_matara,District_monaragala,District_mullaitivu,District_nuwara eliya,District_polonnaruwa,District_puttalam,District_ratnapura,District_trincomalee,District_vavuniya
2022-W01,2022-01-03,2022-01-09,8,24.486,28.9,21.7,50.8,50.8,206686.56,295282.97,21.4,19.92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W01,2022-01-03,2022-01-09,12,24.971,29.9,21.9,14.1,14.1,255617.67,293795.87,20.4,24.22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W01,2022-01-03,2022-01-09,64,21.1,24.9,18.0,78.1,78.1,179577.35,295678.42,14.5,16.71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W01,2022-01-03,2022-01-09,26,25.314,28.2,23.1,67.1,67.1,237101.87,294688.95,23.6,21.62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W01,2022-01-03,2022-01-09,563,26.214,32.0,22.8,27.9,27.9,245154.69,295777.2,22.6,29.46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W01,2022-01-03,2022-01-09,95,25.243,29.2,22.3,45.3,45.3,228760.13,296960.73,16.7,24.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W01,2022-01-03,2022-01-09,457,26.357,32.6,22.4,26.2,26.2,250846.49,295579.59,22.3,29.94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W01,2022-01-03,2022-01-09,22,26.471,31.7,23.7,15.6,15.6,249647.11,296862.23,29.2,29.86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W01,2022-01-03,2022-01-09,31,25.714,28.4,23.0,3.6,3.6,267626.72,291901.25,26.5,27.34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W01,2022-01-03,2022-01-09,27,25.557,28.3,22.6,103.6,103.6,207345.7,295085.08,24.6,20.85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W01,2022-01-03,2022-01-09,180,25.443,31.3,21.6,32.8,32.8,243149.15,296270.78,13.9,26.71,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W01,2022-01-03,2022-01-09,89,23.414,27.9,20.2,11.3,11.3,247399.57,295282.97,22.1,25.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W01,2022-01-03,2022-01-09,55,24.9,30.8,20.1,15.2,15.2,261090.67,295282.97,18.2,28.05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W01,2022-01-03,2022-01-09,4,25.629,28.1,23.1,5.9,5.9,265006.92,292301.23,24.5,26.64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-W01,2022-01-03,2022-01-09,115,25.557,31.7,22.0,4.6,4.6,253018.28,294986.09,22.7,28.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-W01,2022-01-03,2022-01-09,28,26.329,30.5,23.4,5.4,5.4,262620.99,292900.06,27.4,30.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-W01,2022-01-03,2022-01-09,20,24.1,29.9,19.3,5.8,5.8,246272.91,294986.09,18.8,26.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-W01,2022-01-03,2022-01-09,44,25.514,29.2,23.3,35.6,35.6,227042.29,297157.65,20.9,24.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2022-W01,2022-01-03,2022-01-09,0,26.014,28.0,23.5,17.6,17.6,260505.87,292501.0,23.7,27.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2022-W01,2022-01-03,2022-01-09,8,15.043,20.0,9.7,26.6,26.6,231305.16,295678.42,15.9,19.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022-W01,2022-01-03,2022-01-09,7,24.9,29.9,22.0,49.0,49.0,213169.54,294391.54,19.0,21.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-W01,2022-01-03,2022-01-09,104,25.857,31.2,22.3,21.7,21.7,259616.04,294193.11,23.8,26.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-W01,2022-01-03,2022-01-09,23,25.614,28.5,22.6,38.4,38.4,257427.77,293497.58,23.9,24.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-W01,2022-01-03,2022-01-09,2,24.857,29.3,22.0,9.5,9.5,261608.2,293198.99,21.6,25.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W02,2022-01-10,2022-01-16,7,25.157,30.1,22.0,33.1,33.1,238056.72,295774.93,15.1,22.92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
